ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-112316,Neuronal System,64/656,144/4133,0.4444444444444444,2.800135501355013,9.549577455558971,1.1041408930156296e-16,1.3691347073393807e-13,1.0901938501564849e-13,2037/217/55970/5594/5578/5595/2036/4646/59345/18/2771/2783/5879/818/10313/817/5567/4128/2782/590/347733/7915/7280/1312/55327/2752/10611/6812/94030/23136/27020/57669/6507/1739/6506/160/3845/5789/8573/1173/2773/3556/781/6196/4905/7277/2898/163/1175/83988/5565/79861/2893/7102/80086/8825/10382/28964/54413/2890/6844/10381/23236/3766,64,ATRT_vs_Glial,Down,Reactome
R-HSA-112315,Transmission across Chemical Synapses,55/656,115/4133,0.4782608695652174,3.013189289501591,9.509513426587553,3.3492872736494226e-16,2.076558109662642e-13,1.653490243517452e-13,217/55970/5594/5578/5595/2036/4646/59345/18/2771/2783/5879/818/817/5567/4128/2782/590/347733/7915/7280/1312/55327/2752/6812/27020/6507/1739/6506/160/3845/8573/1173/2773/781/6196/4905/7277/2898/163/1175/83988/5565/79861/2893/7102/80086/8825/10382/28964/2890/6844/10381/23236/3766,55,ATRT_vs_Glial,Down,Reactome
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,43/656,87/4133,0.4942528735632184,3.113943790299972,8.655055420354843,1.5609598726447203e-13,6.451967473598177e-11,5.1374749492657814e-11,55970/5594/5578/5595/2036/4646/59345/2771/2783/5879/818/817/5567/2782/347733/7280/55327/27020/1739/160/3845/8573/1173/2773/6196/4905/7277/2898/163/1175/83988/5565/79861/2893/7102/80086/8825/10382/28964/2890/10381/23236/3766,43,ATRT_vs_Glial,Down,Reactome
R-HSA-199991,Membrane Trafficking,110/656,400/4133,0.275,1.7325838414634147,6.695577892056381,2.849864254916947e-10,8.834579190242535e-8,7.034664923979201e-8,2664/6709/6711/50813/10254/23396/79735/56894/5869/7248/1783/4646/5879/5048/830/966/10552/9146/8976/5868/27131/6305/5898/7082/84516/57465/6814/7249/79643/10652/22905/287/9230/11311/2665/10890/8774/7879/7529/347733/201475/23303/23011/9135/89953/3796/1639/11258/85021/81846/23557/11336/51164/5870/7280/51128/81876/29924/7531/208/27342/8027/51560/8867/1785/6272/9371/11021/26052/10640/10671/274/160/2060/2017/207/11345/22920/6845/1173/6810/9847/112574/9342/9341/5872/4905/7277/8773/10540/26088/163/1175/5565/11031/79861/80086/30011/10382/5049/156/2890/6844/10381/57731/547/9026/288/8905/4644,110,ATRT_vs_Glial,Down,Reactome
R-HSA-194315,Signaling by Rho GTPases,101/656,369/4133,0.27371273712737126,1.7244736929076607,6.333455543716195,2.3487494970662977e-9,5.824898752724418e-7,4.6381621647330265e-7,120/6709/6711/10254/5594/57580/10006/5578/26999/388/5595/10787/9459/1783/4646/10672/1027/5879/114793/5048/5516/394/10552/9146/8976/8776/5295/9815/10152/10160/9217/10652/29062/51479/7879/23580/7529/391/347733/11188/23122/89953/3796/23191/7280/51347/5217/7531/396/8027/1499/63916/5290/124997/55852/55914/57551/144402/55619/2017/29/9578/55160/10409/116985/23365/10163/5529/1152/7431/5526/5364/51517/11180/2631/9341/7277/8773/667/5881/613/79861/55240/80086/11135/7074/5289/7204/10382/28964/10458/4983/26084/8153/10381/79784/23348/22800/3014/80243/55004,101,ATRT_vs_Glial,Down,Reactome
R-HSA-9013148,CDC42 GTPase cycle,35/656,82/4133,0.4268292682926829,2.6891545211183816,6.7100370059175996,4.724985145335604e-9,9.76496930036025e-7,7.775501870745259e-7,57580/9459/10672/114793/394/8976/5295/9815/10160/10652/29062/7879/23580/396/124997/144402/55619/29/9578/116985/23365/9341/8773/613/55240/11135/7074/7204/28964/10458/4983/26084/23348/80243/55004,35,ATRT_vs_Glial,Down,Reactome
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",101/656,377/4133,0.26790450928381965,1.6878800866921138,6.084856650468278,8.372931162018213e-9,1.4832049487003692e-6,1.1810239744320429e-6,120/6709/6711/10254/5594/57580/10006/5578/26999/388/5595/10787/9459/1783/4646/10672/1027/5879/114793/5048/5516/394/10552/9146/8976/8776/5295/9815/10152/10160/9217/10652/29062/51479/7879/23580/7529/391/347733/11188/23122/89953/3796/23191/7280/51347/5217/7531/396/8027/1499/63916/5290/124997/55852/55914/57551/144402/55619/2017/29/9578/55160/10409/116985/23365/10163/5529/1152/7431/5526/5364/51517/11180/2631/9341/7277/8773/667/5881/613/79861/55240/80086/11135/7074/5289/7204/10382/28964/10458/4983/26084/8153/10381/79784/23348/22800/3014/80243/55004,101,ATRT_vs_Glial,Down,Reactome
R-HSA-5653656,Vesicle-mediated transport,111/656,428/4133,0.25934579439252337,1.633957573512651,6.016136807394707,1.0067916578017804e-8,1.5605270695927596e-6,1.2425928618658816e-6,2664/6709/6711/50813/10254/23396/79735/56894/5869/7248/1783/4646/5879/5048/830/966/10552/9146/8976/4035/5868/27131/6305/5898/7082/84516/57465/6814/7249/79643/10652/22905/287/9230/11311/2665/10890/8774/7879/7529/347733/201475/23303/23011/9135/89953/3796/1639/11258/85021/81846/23557/11336/51164/5870/7280/51128/81876/29924/7531/208/27342/8027/51560/8867/1785/6272/9371/11021/26052/10640/10671/274/160/2060/2017/207/11345/22920/6845/1173/6810/9847/112574/9342/9341/5872/4905/7277/8773/10540/26088/163/1175/5565/11031/79861/80086/30011/10382/5049/156/2890/6844/10381/57731/547/9026/288/8905/4644,111,ATRT_vs_Glial,Down,Reactome
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,26/656,53/4133,0.49056603773584906,3.090715600552232,6.653230103889056,1.405335119351461e-8,1.936239497773124e-6,1.5417594642709596e-6,5879/5898/6814/10890/7529/347733/11336/7280/7531/208/9371/10640/207/22920/6810/9847/5872/7277/8773/5565/79861/80086/10382/6844/10381/4644,26,ATRT_vs_Glial,Down,Reactome
R-HSA-9013149,RAC1 GTPase cycle,38/656,98/4133,0.3877551020408163,2.4429753608760576,6.2788472033683735,2.5221251333481102e-8,3.1274351653516566e-6,2.4902667106110816e-6,57580/10006/26999/10787/9459/10672/5879/394/8976/5295/9815/10152/10160/10652/7879/23580/11188/23191/51347/396/5290/55914/55619/29/116985/10163/9341/8773/613/11135/7074/7204/28964/10458/4983/23348/80243/55004,38,ATRT_vs_Glial,Down,Reactome
