ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-6790901,rRNA modification in the nucleus and cytosol,31/308,48/4133,0.6458333333333334,8.666328463203465,15.158345647056743,3.459412975909101e-24,3.196497589740009e-21,2.9350387985081427e-21,84128/27292/25926/84916/25879/79050/10436/22984/10199/55813/11056/27340/55272/55226/5822/9790/55127/57647/56902/23160/10885/51096/57050/4839/10607/51202/65083/134430/10813/84135/2091,31,ATRT_vs_Glial,Up,Reactome
R-HSA-72312,rRNA processing,52/308,162/4133,0.32098765432098764,4.307279140612473,12.184794537068216,2.664528157172796e-21,1.1360673562300277e-18,1.043142275143999e-18,10799/55781/84128/27292/25926/84916/25879/79050/10436/22984/23517/10199/55813/11056/9188/27340/22894/55272/55720/51106/55226/5394/5822/9790/55127/57647/56902/23160/10885/5393/51096/57050/4839/10607/51202/23016/65083/10556/705/134430/51010/117246/10813/27043/55131/6231/90459/23481/23246/6192/84135/2091,52,ATRT_vs_Glial,Up,Reactome
R-HSA-8868773,rRNA processing in the nucleus and cytosol,51/308,157/4133,0.3248407643312102,4.358983373314583,12.175149071855463,3.68853037737022e-21,1.1360673562300277e-18,1.043142275143999e-18,10799/55781/84128/27292/25926/84916/25879/79050/10436/22984/23517/10199/55813/11056/9188/27340/22894/55272/55720/55226/5394/5822/9790/55127/57647/56902/23160/10885/5393/51096/57050/4839/10607/51202/23016/65083/10556/705/134430/51010/117246/10813/27043/55131/6231/90459/23481/23246/6192/84135/2091,51,ATRT_vs_Glial,Up,Reactome
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,48/308,148/4133,0.32432432432432434,4.352053352053352,11.783312948756134,6.714430768393722e-20,1.55103350749895e-17,1.424166105085616e-17,10799/55781/84128/25926/84916/25879/79050/10436/22984/23517/10199/55813/11056/9188/27340/22894/55272/55720/5394/5822/9790/55127/57647/56902/23160/10885/5393/51096/57050/10607/51202/23016/65083/10556/705/134430/51010/117246/10813/27043/55131/6231/90459/23481/23246/6192/84135/2091,48,ATRT_vs_Glial,Up,Reactome
R-HSA-69190,DNA strand elongation,13/308,22/4133,0.5909090909090909,7.9293093270366,9.246286493293882,4.6172159526351695e-10,8.532615080469794e-8,7.834686437524099e-8,5111/5558/4172/4175/4171/5983/4176/2237/5982/4174/5422/4173/3978,13,ATRT_vs_Glial,Up,Reactome
R-HSA-68962,Activation of the pre-replicative complex,10/308,16/4133,0.625,8.386769480519481,8.399702391750958,2.4550766543961204e-8,3.7808180477700256e-6,3.47156453235662e-6,5558/4172/4175/4171/4999/4176/4174/5422/4173/23595,10,ATRT_vs_Glial,Up,Reactome
R-HSA-1474290,Collagen formation,15/308,39/4133,0.38461538461538464,5.161088911088911,7.408071662231098,4.230032835235025e-8,5.583643342510232e-6,5.126927015337489e-6,136227/10536/4015/5351/64175/7837/10491/871/79709/5033/8974/5034/1301/5352/8985,15,ATRT_vs_Glial,Up,Reactome
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,13/308,30/4133,0.43333333333333335,5.81482683982684,7.509833987733581,6.41840007602045e-8,7.41325208780362e-6,6.806882185884846e-6,136227/10536/5351/64175/10491/871/79709/5033/8974/5034/1301/5352/8985,13,ATRT_vs_Glial,Up,Reactome
R-HSA-176187,Activation of ATR in response to replication stress,10/308,18/4133,0.5555555555555556,7.454906204906205,7.787195244776944,1.1714315854403377e-7,1.20266976105208e-5,1.1042969097835232e-5,4172/4175/4171/5983/4999/4176/5982/4174/4173/23595,10,ATRT_vs_Glial,Up,Reactome
R-HSA-176974,Unwinding of DNA,6/308,6/4133,1,13.418831168831169,8.637317987397813,1.636858106823563e-7,1.5124568907049722e-05,1.3887448779997808e-5,4172/4175/4171/4176/4174/4173,6,ATRT_vs_Glial,Up,Reactome
R-HSA-73863,RNA Polymerase I Transcription Termination,7/308,12/4133,0.5833333333333334,7.8276515151515165,6.7204825414039275,6.825534694088737e-6,5.733449143034538e-4,5.26447939084739e-4,2071/902/84172/6908/5437/9533/1022,7,ATRT_vs_Glial,Up,Reactome
R-HSA-69242,S Phase,19/308,86/4133,0.22093023255813954,2.9646254907882814,5.223988269092558,1.1790803296889873e-5,8.928448865083199e-4,8.198142840347527e-4,5111/5558/4172/4175/23244/902/4171/5983/4999/4176/2237/5982/4174/5422/4173/23595/996/3978/1022,19,ATRT_vs_Glial,Up,Reactome
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,5/308,6/4133,0.8333333333333334,11.182359307359308,7.081848042216324,1.256167048117766e-5,8.928448865083199e-4,8.198142840347527e-4,2810/5111/983/10498/3276,5,ATRT_vs_Glial,Up,Reactome
R-HSA-73762,RNA Polymerase I Transcription Initiation,9/308,23/4133,0.391304347826087,5.250846979107849,5.800404404168725,2.0258008128445906e-5,0.0013370285364774298,0.0012276657557539399,2071/902/84172/6908/5437/9533/3065/1022/10919,9,ATRT_vs_Glial,Up,Reactome
R-HSA-69239,Synthesis of DNA,16/308,68/4133,0.23529411764705882,3.157372039724981,5.08966293718068,2.5494949128300473e-5,0.0015704888663033091,0.0014420301050814164,5111/5558/4172/4175/4171/5983/4999/4176/2237/5982/4174/5422/4173/23595/996/3978,16,ATRT_vs_Glial,Up,Reactome
R-HSA-73772,RNA Polymerase I Promoter Escape,7/308,15/4133,0.4666666666666667,6.262121212121212,5.792994298778912,4.5551439354059026e-5,0.0026305956226969087,0.0024154250078533934,2071/902/84172/6908/5437/9533/1022,7,ATRT_vs_Glial,Up,Reactome
R-HSA-5250941,Negative epigenetic regulation of rRNA expression,9/308,26/4133,0.34615384615384615,4.64498001998002,5.290043820410274,6.337078751307099e-5,0.0034443886860045644,0.003162653543995989,2071/902/84172/6908/23411/5437/9533/3065/1022,9,ATRT_vs_Glial,Up,Reactome
R-HSA-69206,G1/S Transition,15/308,66/4133,0.22727272727272727,3.049734356552538,4.762908705126716,7.053930206963087e-5,0.003621017506241052,0.003324834939656286,5111/5558/4172/4175/902/4171/4999/4176/4174/5422/4173/23595/983/3065/1022,15,ATRT_vs_Glial,Up,Reactome
R-HSA-69186,Lagging Strand Synthesis,7/308,16/4133,0.4375,5.870738636363637,5.53865327479804,7.584908739385672e-5,0.0036886608816801897,0.003386945398307397,5111/5558/5983/2237/5982/5422/3978,7,ATRT_vs_Glial,Up,Reactome
R-HSA-69306,DNA Replication,16/308,77/4133,0.2077922077922078,2.7883285545623213,4.494521843119386,1.2775595978731068e-4,0.005902325342173754,0.00541954229413539,5111/5558/4172/4175/4171/5983/4999/4176/2237/5982/4174/5422/4173/23595/996/3978,16,ATRT_vs_Glial,Up,Reactome
R-HSA-73854,RNA Polymerase I Promoter Clearance,9/308,29/4133,0.3103448275862069,4.164464845499329,4.85216312752417,1.6624626072066047e-4,0.007167799073401993,0.006581506098384605,2071/902/84172/6908/5437/9533/3065/1022/10919,9,ATRT_vs_Glial,Up,Reactome
R-HSA-453279,Mitotic G1 phase and G1/S transition,15/308,71/4133,0.2112676056338028,2.8349643314432047,4.425136141108098,1.7066188270004745e-4,0.007167799073401993,0.006581506098384605,5111/5558/4172/4175/902/4171/4999/4176/4174/5422/4173/23595/983/3065/1022,15,ATRT_vs_Glial,Up,Reactome
R-HSA-2514853,Condensation of Prometaphase Chromosomes,5/308,9/4133,0.5555555555555556,7.454906204906205,5.500366867292641,2.184313537970959e-4,0.00821154602559446,0.007539879353644493,64151/10051/10592/983/23397,5,ATRT_vs_Glial,Up,Reactome
