ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-212165,Epigenetic regulation of gene expression,60/480,109/4133,0.5504587155963303,4.739678899082569,14.341497971635073,3.807184511674238e-29,4.3782621884253736e-26,3.5627231903983136e-26,22880/53615/6613/57459/9031/23411/7343/8467/55729/6599/4221/57492/1788/10445/9611/3066/6605/4297/11168/25942/6598/6597/9112/5925/22976/6601/5929/8359/23309/11335/79813/3054/259282/64426/9739/7913/3020/1108/6602/5469/10155/79718/26993/9219/5928/8289/9862/10919/54815/1810/9612/8841/23468/112869/29128/1107/5977/1020/1786/79611,60,ATRT_vs_MB,Down,Reactome
R-HSA-4839726,Chromatin organization,55/480,94/4133,0.5851063829787234,5.03800975177305,14.353912769672014,1.316928766292972e-28,7.572340406184588e-26,6.161840385444486e-26,23774/53615/57459/7468/57634/55929/51412/55729/8089/6599/11143/84864/57492/1788/51317/10445/23028/9611/3066/6605/4297/339287/10902/6598/6597/9112/6601/5929/8359/79813/3054/317772/55257/64426/51780/9739/1108/6602/55193/79718/8295/9219/196528/5928/8289/10919/54815/1810/9612/8841/23186/23326/112869/1107/5977,55,ATRT_vs_MB,Down,Reactome
R-HSA-3247509,Chromatin modifying enzymes,54/480,92/4133,0.5869565217391305,5.053940217391305,14.252884553064986,3.423755292255132e-28,1.3124395286978006e-25,1.0679713876543201e-25,23774/53615/57459/7468/57634/55929/51412/55729/8089/6599/11143/84864/57492/1788/51317/10445/23028/9611/3066/6605/4297/339287/10902/6598/6597/9112/6601/5929/8359/79813/3054/317772/55257/64426/51780/9739/1108/6602/55193/79718/8295/9219/196528/5928/8289/10919/54815/1810/9612/8841/23186/23326/112869/1107,54,ATRT_vs_MB,Down,Reactome
R-HSA-73857,RNA Polymerase II Transcription,119/480,430/4133,0.27674418604651163,2.3828827519379847,10.980412883254639,1.5131012533320375e-22,4.350166103329608e-20,3.5398605637162675e-20,6045/23774/1912/53615/57459/7182/84733/4802/57060/10569/51412/1385/23411/51592/8089/6599/57332/4221/57492/9611/3066/6605/4297/6877/25942/6598/6597/27338/5430/5925/6601/5929/8359/23309/142/7248/11335/79813/5494/84324/23168/6878/26097/9739/7913/3020/1108/6602/6015/5469/1027/5728/7249/65109/10155/10189/91875/55193/8396/4204/79718/22938/81857/9219/11051/10978/9656/4292/196528/5928/8289/9862/10919/4686/1021/84271/22916/6429/54815/7936/9785/5395/6426/6829/9150/79869/55756/55197/9612/8841/6635/2962/23468/7469/4848/1107/207/7531/84248/5436/6428/6432/54971/8731/10013/2963/7001/6427/10432/1020/11338/5300/5305/4089/51593/55174/23327/6714/7532,119,ATRT_vs_MB,Down,Reactome
R-HSA-72163,mRNA Splicing - Major Pathway,61/480,161/4133,0.37888198757763975,3.2623317805383025,10.613058387448243,8.81029537661517e-19,1.688639947184574e-16,1.3740969455808572e-16,63932/10569/1659/55696/5430/8241/10084/51729/11325/27336/10929/65109/10189/22938/10285/85313/9716/3181/10465/23759/5511/4686/5546/55100/22916/6429/5411/3550/9785/51747/10523/6426/6635/2962/24148/9092/51691/10236/3184/9416/23020/5436/6428/6432/27316/3191/10713/2963/22985/1655/8559/4670/6427/988/2521/220988/9129/11338/10286/3178/51593,61,ATRT_vs_MB,Down,Reactome
R-HSA-72172,mRNA Splicing,61/480,161/4133,0.37888198757763975,3.2623317805383025,10.613058387448243,8.81029537661517e-19,1.688639947184574e-16,1.3740969455808572e-16,63932/10569/1659/55696/5430/8241/10084/51729/11325/27336/10929/65109/10189/22938/10285/85313/9716/3181/10465/23759/5511/4686/5546/55100/22916/6429/5411/3550/9785/51747/10523/6426/6635/2962/24148/9092/51691/10236/3184/9416/23020/5436/6428/6432/27316/3191/10713/2963/22985/1655/8559/4670/6427/988/2521/220988/9129/11338/10286/3178/51593,61,ATRT_vs_MB,Down,Reactome
R-HSA-9842860,Regulation of endogenous retroelements,28/480,41/4133,0.6829268292682927,5.880284552845529,11.382697641038762,1.3227047528369982e-17,2.173014951089354e-15,1.768247406424198e-15,22880/53615/6613/57459/55729/6599/57492/1788/3066/6605/6598/6597/9112/6601/8359/79813/3020/1108/6602/10155/9219/5928/8289/10919/54815/23468/1107/5977,28,ATRT_vs_MB,Down,Reactome
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,71/480,225/4133,0.31555555555555553,2.7170648148148144,9.600118846776946,1.1753958271489156e-16,1.6802412808235777e-14,1.3672626989951129e-14,63932/5514/10569/1659/55696/5430/8241/10084/51729/11325/27336/84324/26097/10929/65109/10189/22938/10285/11051/9589/10978/85313/9716/3181/10465/23759/5511/4686/84271/5546/55100/22916/6429/23636/5411/3550/9785/51747/10523/6426/79869/6635/2962/24148/9092/51691/10236/3184/9416/23020/84248/5436/6428/6432/27316/3191/10713/2963/22985/1655/8559/4670/6427/988/2521/220988/9129/11338/10286/3178/51593,71,ATRT_vs_MB,Down,Reactome
R-HSA-212436,Generic Transcription Pathway,93/480,345/4133,0.26956521739130435,2.32106884057971,9.28979115262756,1.3149714371662782e-16,1.6802412808235777e-14,1.3672626989951129e-14,6045/23774/1912/53615/57459/7182/84733/4802/57060/51412/1385/23411/51592/8089/6599/57332/4221/57492/9611/3066/6605/4297/6877/25942/6598/6597/27338/5430/5925/6601/5929/8359/23309/142/7248/11335/79813/5494/6878/9739/7913/3020/1108/6602/6015/5469/1027/5728/7249/10155/91875/55193/8396/4204/79718/22938/81857/9219/9656/4292/196528/5928/8289/9862/10919/1021/54815/7936/5395/6829/9150/9612/8841/2962/23468/7469/4848/1107/207/7531/5436/54971/10013/2963/7001/10432/1020/5300/5305/4089/23327/6714/7532,93,ATRT_vs_MB,Down,Reactome
R-HSA-3214815,HDACs deacetylate histones,19/480,23/4133,0.8260869565217391,7.112952898550725,10.655405837825318,7.038352995847138e-15,8.094105945224208e-13,6.58641664558748e-13,53615/57459/51317/23028/9611/3066/9112/8359/317772/64426/1108/79718/9219/5928/54815/9612/8841/23186/1107,19,ATRT_vs_MB,Down,Reactome
