ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-877300,Interferon gamma signaling,17/329,39/4133,0.4358974358974359,5.47587873119788,8.258373997792143,1.3986968550147169e-9,1.3063828625837457e-6,1.0998174217852565e-6,817/3383/5595/10612/5781/3106/3115/3105/6772/5594/3107/3122/2634/816/818/960/3123,17,EPN_like_vs_Glial,Down,Reactome
R-HSA-74752,Signaling by Insulin receptor,15/329,35/4133,0.42857142857142855,5.38384715588363,7.658810082498924,1.7876630852290692e-8,8.348386608019753e-6,7.028338550874288e-6,5295/5595/51606/529/523/526/2246/5781/51382/528/534/5290/208/5594/2247,15,EPN_like_vs_Glial,Down,Reactome
R-HSA-166663,Initial triggering of complement,8/329,11/4133,0.7272727272727273,9.13622547665101,7.945535560070812,1.9829176173629304e-7,6.173483515389923e-5,5.1973314391933655e-5,721/720/715/718/629/713/714/716,8,EPN_like_vs_Glial,Down,Reactome
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,18/329,62/4133,0.2903225806451613,3.647122266888911,6.175571382789727,7.496339712621936e-7,1.7503953228972222e-4,1.4736225698233125e-4,5295/5595/10006/26999/1793/10095/2214/63916/5290/4627/10768/51517/5594/2534/196051/4641/4644/23646,18,EPN_like_vs_Glial,Down,Reactome
R-HSA-388396,GPCR downstream signalling,29/329,140/4133,0.20714285714285716,2.6021927920104213,5.671357019924256,9.876933061680703e-7,1.8450110959219556e-4,1.5532776835948392e-4,817/5295/5595/5578/9459/57580/389/9475/23236/50865/6001/1608/5290/409/10768/208/5594/64805/2840/10681/718/26084/388/3827/816/818/10203/11343/117,29,EPN_like_vs_Glial,Down,Reactome
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,42/329,248/4133,0.1693548387096774,2.127487989018531,5.385178512078451,1.2121709022511172e-6,1.8869460378375725e-4,1.588581866634359e-4,3685/5295/5595/5578/10006/26999/1793/6678/5906/51606/529/523/526/51072/2246/348/26052/5781/9475/5803/10755/30011/51382/528/534/63916/64759/5290/3675/2670/10768/208/6772/5594/2534/6285/1536/2247/3911/5340/6456/117,42,EPN_like_vs_Glial,Down,Reactome
R-HSA-1222556,ROS and RNS production in phagocytes,9/329,17/4133,0.5294117647058824,6.650634721973896,6.865020883513134,1.5812407836299827e-6,2.109826988443434e-4,1.776220850182853e-4,51606/529/523/526/51382/528/534/84329/1536,9,EPN_like_vs_Glial,Down,Reactome
R-HSA-372790,Signaling by GPCR,29/329,146/4133,0.19863013698630136,2.495253362201774,5.409111688740261,2.4512485554187646e-6,2.861832688451408e-4,2.4093193038129178e-4,817/5295/5595/5578/9459/57580/389/9475/23236/50865/6001/1608/5290/409/10768/208/5594/64805/2840/10681/718/26084/388/3827/816/818/10203/11343/117,29,EPN_like_vs_Glial,Down,Reactome
R-HSA-917977,Transferrin endocytosis and recycling,8/329,15/4133,0.5333333333333333,6.699898682877405,6.5032050186876145,5.811319907796188e-6,6.030858659868488e-4,5.077258445758777e-4,51606/529/523/526/51382/528/534/55240,8,EPN_like_vs_Glial,Down,Reactome
R-HSA-109582,Hemostasis,47/329,314/4133,0.14968152866242038,1.8803457688808007,4.772007607890298,9.737068396529732e-6,9.094421882358771e-4,7.656410623376538e-4,3685/391/5295/23052/51571/5595/5578/1793/6678/5906/23303/5868/5781/7102/12/347733/7280/30846/30845/1608/5290/3675/482/409/3684/972/5594/2534/5027/64805/2161/10681/5267/5265/3689/388/3818/3827/5271/7277/710/1/5340/11343/960/140885/58494,47,EPN_like_vs_Glial,Down,Reactome
R-HSA-9664407,Parasite infection,13/329,43/4133,0.3023255813953488,3.7979076836078316,5.423302211230143,1.6580468702864596e-5,0.0011912429052673486,0.0010028834106105148,5595/10006/26999/1793/10095/2214/63916/4627/51517/5594/2534/4641/4644,13,EPN_like_vs_Glial,Down,Reactome
R-HSA-9664417,Leishmania phagocytosis,13/329,43/4133,0.3023255813953488,3.7979076836078316,5.423302211230143,1.6580468702864596e-5,0.0011912429052673486,0.0010028834106105148,5595/10006/26999/1793/10095/2214/63916/4627/51517/5594/2534/4641/4644,13,EPN_like_vs_Glial,Down,Reactome
R-HSA-9664422,FCGR3A-mediated phagocytosis,13/329,43/4133,0.3023255813953488,3.7979076836078316,5.423302211230143,1.6580468702864596e-5,0.0011912429052673486,0.0010028834106105148,5595/10006/26999/1793/10095/2214/63916/4627/51517/5594/2534/4641/4644,13,EPN_like_vs_Glial,Down,Reactome
R-HSA-9658195,Leishmania infection,20/329,93/4133,0.21505376344086022,2.7015720495473414,4.880440091849256,2.8449425326685142e-5,0.001771450883674928,0.0014913488223883373,5595/10006/26999/1793/10095/2687/2214/63916/4627/10768/51517/5594/2534/5027/4641/10681/718/29108/4907/4644,20,EPN_like_vs_Glial,Down,Reactome
R-HSA-9824443,Parasitic Infection Pathways,20/329,93/4133,0.21505376344086022,2.7015720495473414,4.880440091849256,2.8449425326685142e-5,0.001771450883674928,0.0014913488223883373,5595/10006/26999/1793/10095/2687/2214/63916/4627/10768/51517/5594/2534/5027/4641/10681/718/29108/4907/4644,20,EPN_like_vs_Glial,Down,Reactome
R-HSA-6798695,Neutrophil degranulation,43/329,292/4133,0.14726027397260275,1.8499292168047632,4.430062792422758,3.667097383609512e-5,0.0021406680976820526,0.0018021853589186222,3685/391/55313/11031/2171/9961/3417/5906/230/823/8895/3106/5836/12/1992/51382/4831/23406/11240/84329/4332/55276/196527/3684/929/5594/64114/3107/84514/5834/1536/718/5265/29108/3689/5788/25840/210/1075/1/960/1116/140885,43,EPN_like_vs_Glial,Down,Reactome
R-HSA-74751,Insulin receptor signalling cascade,8/329,19/4133,0.42105263157894735,5.289393697008478,5.510594029662341,5.134005261231318e-5,0.00253564879131649,0.0021347116500771085,5295/5595/2246/5781/5290/208/5594/2247,8,EPN_like_vs_Glial,Down,Reactome
R-HSA-5654689,PI-3K cascade:FGFR1,5/329,7/4133,0.7142857142857143,8.973078593139384,6.208237239428267,5.7011375393625575e-5,0.00253564879131649,0.0021347116500771085,5295/2246/5781/5290/2247,5,EPN_like_vs_Glial,Down,Reactome
R-HSA-5654695,PI-3K cascade:FGFR2,5/329,7/4133,0.7142857142857143,8.973078593139384,6.208237239428267,5.7011375393625575e-5,0.00253564879131649,0.0021347116500771085,5295/2246/5781/5290/2247,5,EPN_like_vs_Glial,Down,Reactome
R-HSA-5654710,PI-3K cascade:FGFR3,5/329,7/4133,0.7142857142857143,8.973078593139384,6.208237239428267,5.7011375393625575e-5,0.00253564879131649,0.0021347116500771085,5295/2246/5781/5290/2247,5,EPN_like_vs_Glial,Down,Reactome
R-HSA-5654720,PI-3K cascade:FGFR4,5/329,7/4133,0.7142857142857143,8.973078593139384,6.208237239428267,5.7011375393625575e-5,0.00253564879131649,0.0021347116500771085,5295/2246/5781/5290/2247,5,EPN_like_vs_Glial,Down,Reactome
