ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-6790901,rRNA modification in the nucleus and cytosol,39/528,48/4133,0.8125,6.359966856060606,14.29325611121633,2.1973543963644224e-27,2.5203654926299923e-24,2.0932691881155815e-24,114049/9790/57647/11056/79050/57050/9136/22984/55651/51096/134430/55272/51202/84916/27340/55127/11103/4809/5822/23160/55226/10813/55813/10607/51602/10528/27292/10199/56902/1736/10436/54433/84135/4839/55505/2091/25926/10885/25879,39,MB_vs_EPN_like,Up,Reactome
R-HSA-212165,Epigenetic regulation of gene expression,59/528,109/4133,0.5412844036697247,4.236985682513206,13.105980715614226,8.050050222858419e-26,4.616703802809303e-23,3.8343660272036155e-23,22880/23411/6613/9611/9031/6599/5925/8726/8467/55729/79813/57492/10445/1788/29128/10919/4297/7343/53615/6597/1786/29115/6602/9188/7913/22976/3066/11335/57459/10514/23309/1107/9070/9439/6908/5469/9219/5929/64426/259282/10155/23517/6598/9862/5928/3054/1108/4221/1387/9282/6605/5437/10849/80335/23468/84172/1022/4641/2932,59,MB_vs_EPN_like,Up,Reactome
R-HSA-8868773,rRNA processing in the nucleus and cytosol,69/528,157/4133,0.4394904458598726,3.440178054429647,11.92868687226263,3.8037653075002206e-23,1.454306269234251e-20,1.2078623169430529e-20,26168/5394/114049/55131/9188/22894/51010/79707/9790/57647/54881/11056/79050/57050/23246/5393/9136/22984/55651/51096/23404/134430/55272/11340/51202/84916/23517/81887/117246/55720/27340/55127/705/11103/4809/5822/57418/23160/55226/27043/54512/8568/26354/10813/55813/10607/51602/10528/27292/10199/56902/1736/10436/54433/10969/118460/84135/23481/51013/10556/4839/55505/2091/10799/55781/25926/10885/25879/1454,69,MB_vs_EPN_like,Up,Reactome
R-HSA-72312,rRNA processing,70/528,162/4133,0.43209876543209874,3.382318555929667,11.837278904677195,6.043717563807433e-23,1.7330360114217815e-20,1.4393590513804547e-20,26168/5394/114049/55131/9188/22894/51010/79707/9790/57647/54881/11056/79050/57050/23246/5393/9136/22984/55651/51096/23404/134430/55272/11340/51202/84916/23517/81887/117246/55720/27340/55127/705/11103/4809/5822/57418/23160/55226/27043/54512/8568/26354/10813/55813/10607/51602/10528/27292/10199/56902/1736/10436/54433/10969/118460/84135/23481/60528/51013/10556/4839/55505/2091/10799/55781/25926/10885/25879/1454,70,MB_vs_EPN_like,Up,Reactome
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,62/528,148/4133,0.4189189189189189,3.2791513104013106,10.80523798074693,1.565824483215072e-19,3.592001364495376e-17,2.983307699599243e-17,26168/5394/114049/55131/9188/22894/51010/79707/9790/57647/54881/11056/79050/57050/23246/5393/9136/22984/51096/23404/134430/55272/11340/51202/84916/23517/81887/117246/55720/27340/55127/705/11103/4809/5822/57418/23160/27043/54512/8568/26354/10813/55813/10607/51602/10528/10199/56902/10436/10969/118460/84135/23481/51013/10556/2091/10799/55781/25926/10885/25879/1454,62,MB_vs_EPN_like,Up,Reactome
R-HSA-3247509,Chromatin modifying enzymes,47/528,92/4133,0.5108695652173914,3.9989089262187094,11.131591192498654,2.498758453966946e-19,4.776793244500145e-17,3.967327019017695e-17,23774/7468/9611/51412/6599/339287/8726/57634/8089/55729/84864/79813/51317/57492/10445/1788/10919/4297/23028/53615/23210/6597/11143/55929/6602/8295/10902/3066/57459/55257/317772/1107/9070/9219/5929/64426/6598/5928/3054/23186/1108/1387/23326/6605/55193/8520/3276,47,MB_vs_EPN_like,Up,Reactome
R-HSA-4839726,Chromatin organization,47/528,94/4133,0.5,3.913825757575758,10.935409768303328,7.892221167826539e-19,1.2829897179054078e-16,1.0655767399664059e-16,23774/7468/9611/51412/6599/339287/8726/57634/8089/55729/84864/79813/51317/57492/10445/1788/10919/4297/23028/53615/23210/6597/11143/55929/6602/8295/10902/3066/57459/55257/317772/1107/9070/9219/5929/64426/6598/5928/3054/23186/1108/1387/23326/6605/55193/8520/3276,47,MB_vs_EPN_like,Up,Reactome
R-HSA-73857,RNA Polymerase II Transcription,119/528,430/4133,0.27674418604651163,2.16625704721635,9.776786602362629,8.948489749994125e-19,1.2829897179054078e-16,1.0655767399664059e-16,23411/23774/10569/84733/7182/57060/1912/9611/51412/10212/6599/5925/8726/4802/8089/79813/57492/6830/10919/4292/27338/4297/29028/6878/53615/51592/6597/23168/6602/7913/11198/3066/11335/9877/6877/142/57459/4436/23309/5494/10914/6045/1107/2959/10978/9984/4686/9070/9439/54623/6908/5469/8563/6827/9219/5929/6749/5984/10155/6924/57332/80145/5982/5983/6598/9862/5928/9939/92105/5985/81857/26155/1108/22916/3516/4221/6829/10189/5436/26173/57103/1387/9282/6605/55197/4089/29883/8731/1017/5111/5437/8732/1385/8189/6426/55193/51593/55174/7532/9656/2963/3276/4869/6714/3930/65109/11052/23468/5395/4839/1022/84271/2932/25896/23283/1021/114787/10398/3674,119,MB_vs_EPN_like,Up,Reactome
R-HSA-212436,Generic Transcription Pathway,89/528,345/4133,0.2579710144927536,2.0193072024593763,7.567529776760129,4.716926912948466e-12,6.011461299057657e-10,4.99277059206826e-10,23411/23774/84733/7182/57060/1912/9611/51412/6599/5925/8726/4802/8089/79813/57492/10919/4292/27338/4297/29028/6878/53615/51592/6597/6602/7913/11198/3066/11335/6877/142/57459/4436/23309/5494/6045/1107/9070/9439/6908/5469/6827/9219/5929/6749/5984/10155/6924/57332/5982/5983/6598/9862/5928/5985/81857/26155/1108/3516/4221/6829/5436/57103/1387/9282/6605/4089/29883/1017/5111/5437/1385/55193/7532/9656/2963/3276/4869/6714/3930/23468/5395/4839/1022/2932/1021/114787/10398/3674,89,MB_vs_EPN_like,Up,Reactome
R-HSA-1640170,Cell Cycle,82/528,311/4133,0.26366559485530544,2.0638823930624572,7.465741660597208,1.1113745313139087e-11,1.2747465874170533e-9,1.0587304745674603e-9,7468/4174/57060/4176/64151/4175/4173/4085/3978/54892/5925/4171/8467/10592/9918/23310/1060/4172/10051/23244/4292/27338/7153/55920/4999/23397/2237/7112/5422/51773/23595/5558/10274/23063/203068/23224/55651/5001/546/23047/7443/5984/5982/5983/7298/5928/25777/5985/6418/1719/5436/7014/25836/23225/9184/8243/11083/5529/23383/1017/27436/5111/5437/4926/54386/1736/10381/54433/7532/9656/9126/4869/6714/3930/1104/1022/55505/347733/23636/2932/1021/1454,82,MB_vs_EPN_like,Up,Reactome
