ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-877300,Interferon gamma signaling,21/616,39/4133,0.5384615384615384,3.612762237762238,6.860292030997279,1.4005011598013095e-8,1.5825663105754796e-5,1.3400584781677794e-5,5594/5595/960/817/7706/3383/2633/6772/818/3716/3106/5781/3105/2634/3107/4940/3122/3123/3115/3119/816,21,MB_vs_Glial,Down,Reactome
R-HSA-112316,Neuronal System,46/616,144/4133,0.3194444444444444,2.1432855339105337,5.8437047402756175,1.1703091549371611e-7,6.61224672539496e-5,5.5990053780941036e-5,5578/5594/59345/18/5595/817/2037/1312/55970/2771/6507/2783/160/27020/217/7915/818/5562/2752/7102/10313/8825/590/5571/6506/10611/2036/1173/8573/54413/2782/3556/1175/94030/4128/2787/3845/23236/2915/3766/6538/10681/7277/83988/816/6529,46,MB_vs_Glial,Down,Reactome
R-HSA-112315,Transmission across Chemical Synapses,39/616,115/4133,0.3391304347826087,2.275367024280068,5.80448196378778,1.9211050185915556e-7,7.23616223669486e-5,6.127313901402541e-5,5578/5594/59345/18/5595/817/1312/55970/2771/6507/2783/160/27020/217/7915/818/5562/2752/7102/8825/590/5571/6506/2036/1173/8573/2782/1175/4128/2787/3845/23236/3766/6538/10681/7277/83988/816/6529,39,MB_vs_Glial,Down,Reactome
R-HSA-397014,Muscle contraction,25/616,59/4133,0.423728813559322,2.842972705260841,5.966487363018597,2.719051883823016e-7,7.681321571800021e-5,6.504258322092426e-5,482/817/493/10580/10768/477/476/1756/7431/309/217/3709/7111/29767/818/6717/5348/301/302/10174/483/25802/2977/3693/816,25,MB_vs_Glial,Down,Reactome
R-HSA-388396,GPCR downstream signalling,42/616,140/4133,0.3,2.012824675324675,5.10191201312677,2.7660487747037065e-6,4.692997393212942e-4,3.9738561997490127e-4,5578/389/5594/59345/5595/57580/817/9459/55970/2771/10768/2783/5364/998/3709/2776/5295/818/29/1608/50865/5516/10203/10672/301/11343/55160/2782/2840/2768/2787/64805/3845/26084/7410/23236/2915/117/388/10681/5660/816,42,MB_vs_Glial,Down,Reactome
R-HSA-372790,Signaling by GPCR,43/616,146/4133,0.2945205479452055,1.9760607543141788,5.024750352313554,3.596502914946311e-6,4.692997393212942e-4,3.9738561997490127e-4,5578/389/5594/59345/5595/57580/817/9459/55970/2771/10768/2783/5364/998/3709/2776/5295/818/29/1608/50865/5516/10203/10672/301/11343/55160/2782/2840/2768/2787/1901/64805/3845/26084/7410/23236/2915/117/388/10681/5660/816,43,MB_vs_Glial,Down,Reactome
R-HSA-6798695,Neutrophil degranulation,72/616,292/4133,0.2465753424657534,1.6543764454723358,4.853793087526828,3.7289892506971585e-6,4.692997393212942e-4,3.9738561997490127e-4,391/5594/230/30/960/3685/57020/5269/10533/25840/1471/5870/8895/23191/57153/7879/966/2992/6709/11031/5869/3916/5834/5236/3920/5836/5315/8566/5906/823/3958/54472/80301/5223/3106/64114/9961/1992/178/140885/196527/11240/961/1512/3417/302/26578/10577/9588/84514/1476/210/23114/4257/967/23406/3689/5547/3684/2495/175/3107/929/2512/1536/1116/4332/5660/1508/5806/29952/226,72,MB_vs_Glial,Down,Reactome
R-HSA-416482,G alpha (12/13) signalling events,17/616,36/4133,0.4722222222222222,3.168335137085137,5.468006273983529,3.819093228787288e-6,4.692997393212942e-4,3.9738561997490127e-4,389/59345/57580/9459/55970/2783/5364/29/10672/55160/2782/2768/2787/26084/7410/388/10681,17,MB_vs_Glial,Down,Reactome
R-HSA-8982491,Glycogen metabolism,11/616,17/4133,0.6470588235294118,4.341386554621849,5.776939598079571,3.892406798031562e-6,4.692997393212942e-4,3.9738561997490127e-4,5257/2992/7360/5834/5236/5836/2997/178/5255/5260/7957,11,MB_vs_Glial,Down,Reactome
R-HSA-109582,Hemostasis,76/616,314/4133,0.24203821656050956,1.623934982215237,4.8129755907429415,4.153095038241542e-6,4.692997393212942e-4,3.9738561997490127e-4,5578/391/482/5594/59345/5595/6814/960/3685/23052/493/5269/9948/55970/2771/23303/6810/2783/5868/998/3920/1793/928/5906/3709/2776/51706/5295/6520/1191/6717/5781/7102/1608/5525/5516/50808/140885/56992/961/58494/10672/6281/3675/11343/6678/302/8140/2782/135228/5270/2768/30845/5027/2787/967/5271/972/3689/5547/64805/3845/3684/7410/483/2977/2152/388/10681/7277/23657/3655/83692/5660/3673/226,76,MB_vs_Glial,Down,Reactome
