ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,180/738,225/4133,0.8,4.480216802168022,25.026996275385326,2.674735845601403e-99,2.7977736944990674e-96,2.100371516651207e-96,63932/1659/10569/5514/10212/10929/55100/55696/9589/4686/9716/10482/10189/8449/9939/9877/9984/10713/10285/84324/11325/85313/5546/8559/51747/3550/23020/6635/3187/5430/1665/56949/51692/8241/5411/51729/10250/9775/10523/23517/55660/84271/24148/10915/9343/11051/2521/53981/6426/10594/4236/51593/1479/56339/26097/1660/11052/3190/29894/10946/51340/23759/58517/10450/22938/6627/9129/3178/80145/9295/8189/65109/9092/10291/11338/10236/9416/55339/10914/1655/10084/9410/51639/10992/3184/3191/8106/57461/57187/1477/3192/22985/81608/9879/23450/220988/22826/10465/6626/23451/10284/6432/8175/8563/51691/6636/51503/26121/6431/4670/9584/10762/5437/7307/10978/27339/55234/7919/2962/56259/55749/6427/22916/25804/4904/6633/2963/79171/3183/4809/6634/23350/27316/6428/6434/10921/10286/10283/22803/79869/79228/23283/10262/6629/6632/7536/6429/10898/9972/6625/9785/11157/23398/27336/84991/3181/5436/10772/51690/9128/5434/23524/57819/57703/23636/27238/84321/6631/8896/84844/6430/5511/8683/4928/988/8899/22827/3185/27258/1478,180,MB_vs_Glial,Up,Reactome
R-HSA-72163,mRNA Splicing - Major Pathway,143/738,161/4133,0.8881987577639752,4.974153747748658,23.979572189274208,8.248302503544266e-91,2.8759081395691006e-88,2.1590293570680782e-88,63932/1659/10569/10929/55100/55696/4686/9716/10189/8449/9939/10713/10285/11325/85313/5546/8559/51747/3550/23020/6635/3187/5430/1665/56949/8241/5411/51729/10250/9775/10523/23517/55660/24148/10915/9343/2521/6426/10594/4236/51593/1660/3190/10946/51340/23759/58517/10450/22938/6627/9129/3178/9295/65109/9092/10291/11338/10236/9416/1655/10084/9410/51639/10992/3184/3191/57461/3192/22985/9879/23450/220988/22826/10465/6626/23451/10284/6432/8175/51691/6636/51503/26121/6431/4670/9584/5437/7307/27339/55234/7919/2962/56259/55749/6427/22916/25804/4904/6633/2963/79171/3183/4809/6634/23350/27316/6428/6434/10921/10286/10283/10262/6629/6632/7536/6429/6625/9785/11157/23398/27336/84991/3181/5436/10772/51690/9128/5434/23524/57819/57703/27238/6631/8896/84844/6430/5511/8683/988/8899/22827/3185/27258,143,MB_vs_Glial,Up,Reactome
R-HSA-72172,mRNA Splicing,143/738,161/4133,0.8881987577639752,4.974153747748658,23.979572189274208,8.248302503544266e-91,2.8759081395691006e-88,2.1590293570680782e-88,63932/1659/10569/10929/55100/55696/4686/9716/10189/8449/9939/10713/10285/11325/85313/5546/8559/51747/3550/23020/6635/3187/5430/1665/56949/8241/5411/51729/10250/9775/10523/23517/55660/24148/10915/9343/2521/6426/10594/4236/51593/1660/3190/10946/51340/23759/58517/10450/22938/6627/9129/3178/9295/65109/9092/10291/11338/10236/9416/1655/10084/9410/51639/10992/3184/3191/57461/3192/22985/9879/23450/220988/22826/10465/6626/23451/10284/6432/8175/51691/6636/51503/26121/6431/4670/9584/5437/7307/27339/55234/7919/2962/56259/55749/6427/22916/25804/4904/6633/2963/79171/3183/4809/6634/23350/27316/6428/6434/10921/10286/10283/10262/6629/6632/7536/6429/6625/9785/11157/23398/27336/84991/3181/5436/10772/51690/9128/5434/23524/57819/57703/27238/6631/8896/84844/6430/5511/8683/988/8899/22827/3185/27258,143,MB_vs_Glial,Up,Reactome
R-HSA-72187,mRNA 3'-end processing,116/738,127/4133,0.9133858267716536,5.115208159955616,21.959712202904043,2.0779428035984504e-76,5.433820431409948e-74,4.0793298196959055e-74,10569/5514/10212/10929/4686/10189/9939/9877/9984/10285/84324/11325/6635/3187/5430/1665/51692/8241/10250/9775/10523/55660/84271/10915/11051/2521/53981/6426/51593/1479/26097/1660/11052/3190/29894/10946/58517/6627/3178/80145/9295/8189/65109/10291/11338/10236/55339/10914/1655/51639/10992/3184/3191/8106/57187/1477/3192/81608/9879/23450/220988/22826/6626/23451/6432/8175/8563/6636/6431/4670/9584/5437/7307/10978/7919/2962/55749/6427/22916/4904/6633/2963/3183/6634/23350/27316/6428/6434/10921/22803/79869/79228/23283/10262/6629/6632/6429/10898/6625/9785/27336/84991/3181/5436/10772/5434/23524/84321/6631/84844/6430/5511/8683/22827/3185/1478,116,MB_vs_Glial,Up,Reactome
R-HSA-9770562,mRNA Polyadenylation,96/738,106/4133,0.9056603773584906,5.071943549624176,19.799412987145498,4.0375060118395665e-62,8.446462576768373e-60,6.341009441752246e-60,5514/10929/4686/10285/11325/6635/3187/5430/1665/51692/8241/10523/55660/10915/11051/2521/53981/6426/51593/1479/1660/11052/3190/29894/10946/58517/6627/3178/9295/8189/10291/11338/10236/55339/10914/1655/51639/10992/3184/3191/8106/1477/3192/81608/9879/23450/220988/22826/6626/23451/6432/8175/6636/6431/4670/9584/5437/7307/10978/2962/55749/6427/22916/4904/6633/2963/3183/6634/23350/27316/6428/6434/22803/79869/23283/10262/6629/6632/6429/10898/6625/27336/84991/3181/5436/10772/5434/23524/6631/84844/6430/5511/8683/22827/3185/1478,96,MB_vs_Glial,Up,Reactome
R-HSA-9918481,Dengue Virus-Host Interactions,127/738,188/4133,0.675531914893617,3.783161794383901,18.20884180788759,4.8900471793209234e-54,8.524982249282811e-52,6.399956483812998e-52,221914/10949/23168/55696/4686/9716/1993/10189/8449/10285/11325/85313/5546/23020/6635/3187/5430/1665/56949/51692/8241/51729/10250/9775/10523/24148/9343/11051/54623/2521/53981/6426/10594/9646/51593/1479/1660/11052/3190/29894/10946/51340/10450/22938/6627/3178/9295/8189/10291/11338/10236/9416/55339/10914/1655/10084/9410/51639/10992/3184/3191/8106/57461/1477/3192/81608/9879/23450/220988/22826/23451/6432/8175/6636/51503/6431/4670/5437/7307/10978/27339/2962/56259/55749/6427/22916/8359/4904/6633/2963/3183/6634/23350/27316/6428/10921/10286/317772/10283/79869/23283/10421/10262/6629/6632/6429/10898/9785/84991/3181/5436/5434/23524/57703/1994/27238/11100/8896/84844/6430/8683/988/22827/3185/79577/1478/10082,127,MB_vs_Glial,Up,Reactome
R-HSA-73857,RNA Polymerase II Transcription,201/738,430/4133,0.46744186046511627,2.6178010966156173,16.52231680603495,2.126793465330364e-49,3.1780370924793724e-47,2.3858465039645887e-47,23774/23411/10569/7182/84733/1912/53615/3066/6045/57060/4436/4802/6599/79813/8726/9611/6597/10212/57459/11335/11198/51592/51412/4292/5983/6878/6749/142/5925/4297/23168/23309/7913/5982/6602/10155/57492/25942/4686/5469/5928/57332/8089/5929/10919/10189/9939/5111/27338/9877/9984/84324/29028/2959/9439/55677/1107/6908/6635/6605/5430/5984/6830/51692/6598/9862/1385/9739/10250/9775/6829/1108/11091/84271/7936/196528/9070/11051/54623/53981/6426/9219/9646/51593/1479/983/8731/26097/11052/29894/22938/92105/80145/9295/8189/65109/6117/6877/81857/11338/4869/55339/55197/10914/4089/1025/90390/6924/55174/8106/25904/51808/57187/1477/81608/3516/6432/23468/8563/6827/6636/6431/1387/9656/5437/9150/7307/23019/10978/26173/55193/7919/5985/51497/2962/5395/6427/1021/7528/6601/58490/22916/3276/8359/81556/4904/80789/7469/2963/6634/6428/4221/10921/8841/79869/79228/23283/1022/54815/6429/10898/9785/79718/26155/9282/29883/86/9612/6015/5436/8289/23248/8732/4839/10432/9477/25920/5434/2958/84321/7874/6430/902/9125/8683/55756/54971/8881/25896/1017/8148/3020/79577/3930/1478/6119/6603/2071/10398/114787/3674,201,MB_vs_Glial,Up,Reactome
R-HSA-212165,Epigenetic regulation of gene expression,87/738,109/4133,0.7981651376146789,4.469941075557545,17.115705723736856,1.362211166108537e-46,1.781091099686912e-44,1.3371178025223272e-44,22880/23411/8467/6613/53615/3066/9031/6599/79813/8726/7343/9611/6597/55729/57459/11335/1788/5925/4297/29128/23309/7913/6602/10155/10445/57492/25942/5469/5928/5929/10919/22976/9439/3054/1107/6908/6605/1786/64426/29115/259282/6598/9862/9739/23517/1108/11091/9112/9070/9219/9869/9188/112869/10514/90390/23451/10284/23468/55596/11168/30827/1387/5437/6601/8359/4221/8841/1022/54815/79718/9282/5977/86/26993/9612/8289/9477/10849/5434/902/80335/1810/84172/9274/3020/6603/2071,87,MB_vs_Glial,Up,Reactome
R-HSA-73856,RNA Polymerase II Transcription Termination,53/738,55/4133,0.9636363636363636,5.396624784429663,15.302612670250435,4.729179905148929e-38,5.496357978650867e-36,4.126278607299533e-36,10569/10212/4686/10189/9939/9877/9984/84324/6635/51692/10250/9775/84271/11051/53981/6426/1479/26097/11052/29894/80145/9295/8189/65109/11338/55339/10914/8106/57187/1477/81608/6432/8563/6636/6431/7307/10978/7919/6427/22916/6634/6428/10921/79869/79228/23283/6429/10898/9785/84321/6430/8683/1478,53,MB_vs_Glial,Up,Reactome
R-HSA-9839923,Dengue Virus Infection,132/738,265/4133,0.4981132075471698,2.7895689522932967,14.038366900569654,4.209729284519943e-35,4.40337683160786e-33,3.305745311844081e-33,221914/10949/23168/55696/4686/9716/3838/1993/10189/8449/10285/11325/85313/5546/23020/6635/3187/5430/1665/56949/51692/8241/51729/10250/9775/10523/24148/9343/11051/54623/2521/53981/6426/10594/9646/51593/1479/1660/11052/3190/29894/10946/51340/10450/22938/6627/3178/9295/8189/7991/10291/11338/10236/9416/55339/10914/1655/10084/9410/51639/10992/3184/3191/8106/57461/1477/3192/81608/9879/23450/220988/22826/23451/6432/8175/6636/51503/6431/4670/5437/7307/4691/10978/27339/2962/56259/55749/6427/22916/8359/4904/6633/2963/3183/6634/23350/27316/6428/10921/10286/317772/10283/79869/23283/10421/10262/6629/6632/6429/10898/9785/84991/3181/5436/5434/23524/57703/1994/27238/11100/8896/84844/6430/64225/8683/988/22827/25777/3185/79577/1478/10082,132,MB_vs_Glial,Up,Reactome
