Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
OBSL1,-2.2977166529951667,2.220699678020571e-6,ATRT_vs_EPN_like,OBSL1,23363,Down
PITPNA,-2.384533553126513,8.851604200401601e-6,ATRT_vs_EPN_like,PITPNA,5306,Down
ITM2C,-3.226663371222326,9.123044306821767e-6,ATRT_vs_EPN_like,ITM2C,81618,Down
ADD1,-3.4104763304621635,1.0183296621316722e-5,ATRT_vs_EPN_like,ADD1,118,Down
NDRG2,-5.597136909524238,1.2481060373714562e-5,ATRT_vs_EPN_like,NDRG2,57447,Down
ATP4A,-3.5831603872273696,1.2491909780660333e-5,ATRT_vs_EPN_like,ATP4A,495,Down
ALDH2,-3.081488422884437,1.5568321156658265e-5,ATRT_vs_EPN_like,ALDH2,217,Down
PROM1,-1.845002415725716,1.5865975898005728e-05,ATRT_vs_EPN_like,PROM1,8842,Down
DDAH1,-3.896430234458755,1.833425156599429e-5,ATRT_vs_EPN_like,DDAH1,23576,Down
RDX,-1.9479046911273805,2.528809412912717e-5,ATRT_vs_EPN_like,RDX,5962,Down
SLC44A1,-3.170051467912959,2.7713292839963362e-5,ATRT_vs_EPN_like,SLC44A1,23446,Down
GNG12,-3.109690867298198,3.2094834106353385e-5,ATRT_vs_EPN_like,GNG12,55970,Down
HDHD2,-2.6293358891243983,3.950949141051104e-5,ATRT_vs_EPN_like,HDHD2,84064,Down
PURA,-2.250245928936504,4.10130546593505e-5,ATRT_vs_EPN_like,PURA,5813,Down
PTPRA,-2.2619648038428757,5.12082083266536e-5,ATRT_vs_EPN_like,PTPRA,5786,Down
LZTFL1,-3.027332917095265,6.920921945062661e-5,ATRT_vs_EPN_like,LZTFL1,54585,Down
ARHGAP5,-1.8986103425527325,7.523335731280889e-5,ATRT_vs_EPN_like,ARHGAP5,394,Down
PTGR2,-2.660593381957323,8.875664141597092e-5,ATRT_vs_EPN_like,PTGR2,145482,Down
CRIP2,-3.000193625183787,1.0706836309128334e-4,ATRT_vs_EPN_like,CRIP2,1397,Down
AGPAT3,-2.3287895863325403,0.00011039760517191048,ATRT_vs_EPN_like,AGPAT3,56894,Down
COPS7A,-1.769654486267143,1.272742726786084e-4,ATRT_vs_EPN_like,COPS7A,50813,Down
SCD5,-3.2301152868337084,1.3234144017632457e-4,ATRT_vs_EPN_like,SCD5,79966,Down
DPYSL2,-3.384410985027074,1.3813368841362485e-4,ATRT_vs_EPN_like,DPYSL2,1808,Down
IDH2,-2.2204388981165195,1.6134395203179527e-4,ATRT_vs_EPN_like,IDH2,3418,Down
GNA11,-2.1945377754653954,1.6169500120791536e-4,ATRT_vs_EPN_like,GNA11,2767,Down
ADD3,-3.5251659719618296,1.7418405973958424e-4,ATRT_vs_EPN_like,ADD3,120,Down
GNAO1,-4.475834953085958,1.935737431039251e-4,ATRT_vs_EPN_like,GNAO1,2775,Down
PEA15,-2.993648658290649,1.9954585336461302e-4,ATRT_vs_EPN_like,PEA15,8682,Down
PACS2,-1.5979955005888726,2.2542220860910639e-4,ATRT_vs_EPN_like,PACS2,23241,Down
RNF2,-1.2287684919088342,2.2542220860910639e-4,ATRT_vs_EPN_like,RNF2,6045,Down
PRKRA,-1.6148145969827858,2.3841450504744733e-4,ATRT_vs_EPN_like,PRKRA,8575,Down
IFT140,-2.295561047559495,2.572005458137476e-4,ATRT_vs_EPN_like,IFT140,9742,Down
CIRBP,-2.0055027812409136,2.9563995155711565e-4,ATRT_vs_EPN_like,CIRBP,1153,Down
MAOB,-4.517340428933757,3.663572424474037e-4,ATRT_vs_EPN_like,MAOB,4129,Down
DYNC2H1,-2.3568414580555483,3.663572424474037e-4,ATRT_vs_EPN_like,DYNC2H1,79659,Down
MTCH1,-1.8463652911354842,3.745627959798065e-4,ATRT_vs_EPN_like,MTCH1,23787,Down
APPL2,-2.0176062630065488,4.513432363284569e-4,ATRT_vs_EPN_like,APPL2,55198,Down
USP8,-1.8930917320994958,4.64022284987302e-4,ATRT_vs_EPN_like,USP8,9101,Down
IFT81,-2.045273386213065,4.6939992721291876e-4,ATRT_vs_EPN_like,IFT81,28981,Down
GMPR,-4.451586010705334,4.701100457993072e-4,ATRT_vs_EPN_like,GMPR,2766,Down
DPYSL3,-2.9179591145875428,4.701100457993072e-4,ATRT_vs_EPN_like,DPYSL3,1809,Down
DPP8,-1.7668540366856966,5.464780216985079e-4,ATRT_vs_EPN_like,DPP8,54878,Down
MARCKSL1,-3.4385691697843264,5.644338885966254e-4,ATRT_vs_EPN_like,MARCKSL1,65108,Down
ACO1,-1.488710462428898,6.656894607345183e-4,ATRT_vs_EPN_like,ACO1,48,Down
FUNDC2,-1.5384795179154374,6.877308652021398e-4,ATRT_vs_EPN_like,FUNDC2,65991,Down
SPTAN1,-2.2865183887548426,7.199089570907085e-4,ATRT_vs_EPN_like,SPTAN1,6709,Down
FHL1,-3.339837638553444,7.351718507238324e-4,ATRT_vs_EPN_like,FHL1,2273,Down
SLC12A7,-1.354498298103195,7.438856751887764e-4,ATRT_vs_EPN_like,SLC12A7,10723,Down
DYNC2I2,-1.6494231633030054,7.454680388633905e-4,ATRT_vs_EPN_like,DYNC2I2,89891,Down
GDI1,-2.3609641194042723,7.486166834035501e-4,ATRT_vs_EPN_like,GDI1,2664,Down
WDR35,-1.6813013602145404,7.486166834035501e-4,ATRT_vs_EPN_like,WDR35,57539,Down
DYNC2LI1,-1.6248112279194444,7.486166834035501e-4,ATRT_vs_EPN_like,DYNC2LI1,51626,Down
LLGL1,-2.913866307471114,7.578362058754251e-4,ATRT_vs_EPN_like,LLGL1,3996,Down
NADK2,-2.4985888492316235,7.752336325475101e-4,ATRT_vs_EPN_like,NADK2,133686,Down
NAP1L4,-1.2077690932767666,7.752336325475101e-4,ATRT_vs_EPN_like,NAP1L4,4676,Down
GNPDA2,-1.6745857279716354,7.79953290537494e-4,ATRT_vs_EPN_like,GNPDA2,132789,Down
B3GLCT,-1.80484317849767,7.860281931150783e-4,ATRT_vs_EPN_like,B3GLCT,145173,Down
HDGFL3,-2.3225727356099455,8.173220738561198e-4,ATRT_vs_EPN_like,HDGFL3,50810,Down
DPP7,-3.388314123029396,8.639964861218843e-4,ATRT_vs_EPN_like,DPP7,29952,Down
DPCD,-1.6724221435996078,8.639964861218843e-4,ATRT_vs_EPN_like,DPCD,25911,Down
AGPAT5,-1.6633350791009391,8.639964861218843e-4,ATRT_vs_EPN_like,AGPAT5,55326,Down
EIF4A2,-1.6429399805559726,0.0010218109886166084,ATRT_vs_EPN_like,EIF4A2,1974,Down
GNAQ,-2.1175498062722227,0.0010886638797756774,ATRT_vs_EPN_like,GNAQ,2776,Down
CDKN1B,-2.789227009677644,0.0011045829207587121,ATRT_vs_EPN_like,CDKN1B,1027,Down
SLC44A2,-2.447362291250567,0.0011380034908710457,ATRT_vs_EPN_like,SLC44A2,57153,Down
SRI,-2.9724416974658183,0.0011581954590090982,ATRT_vs_EPN_like,SRI,6717,Down
MECP2,-2.4060805712104454,0.001163582567755756,ATRT_vs_EPN_like,MECP2,4204,Down
GNAI2,-1.9136334848025491,0.001163582567755756,ATRT_vs_EPN_like,GNAI2,2771,Down
SPTBN1,-2.2161855445631637,0.0012629704530326986,ATRT_vs_EPN_like,SPTBN1,6711,Down
FBXW9,-1.7633189522643455,0.0012629704530326986,ATRT_vs_EPN_like,FBXW9,84261,Down
ATP1B1,-4.850291033937207,0.001283960994329903,ATRT_vs_EPN_like,ATP1B1,481,Down
STAM2,-1.2032830331273168,0.0012930481207506202,ATRT_vs_EPN_like,STAM2,10254,Down
