Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
IQCD,5.572847262383995,2.1091035014540825e-13,ATRT_vs_EPN_like,IQCD,115811,Up
COL26A1,4.904615432041886,2.1091035014540825e-13,ATRT_vs_EPN_like,COL26A1,136227,Up
FGFBP3,4.521439131335448,2.1091035014540825e-13,ATRT_vs_EPN_like,FGFBP3,143282,Up
KRT8,4.679213105969158,1.3959002818631208e-9,ATRT_vs_EPN_like,KRT8,3856,Up
GDF15,4.582234858088469,1.3959002818631208e-9,ATRT_vs_EPN_like,GDF15,9518,Up
RPP40,5.388792777092137,7.71359767749636e-9,ATRT_vs_EPN_like,RPP40,10799,Up
SFN,3.9089810021793205,1.1845174979830752e-8,ATRT_vs_EPN_like,SFN,2810,Up
NME4,3.855158467007538,3.146402525185559e-8,ATRT_vs_EPN_like,NME4,4833,Up
TMEM161A,4.567355197061261,4.0996641914398385e-8,ATRT_vs_EPN_like,TMEM161A,54929,Up
PLOD1,3.92339438573115,1.0252305951850309e-7,ATRT_vs_EPN_like,PLOD1,5351,Up
PLIN2,2.888616010980865,1.0252305951850309e-7,ATRT_vs_EPN_like,PLIN2,123,Up
THBS3,3.0758601581114995,1.0703450115127898e-7,ATRT_vs_EPN_like,THBS3,7059,Up
RIOK2,4.591931089479841,1.0731887572222253e-7,ATRT_vs_EPN_like,RIOK2,55781,Up
ERO1A,3.0878876073112167,1.3769711833266824e-7,ATRT_vs_EPN_like,ERO1A,30001,Up
KRT18,3.938993483020827,1.552579762033255e-7,ATRT_vs_EPN_like,KRT18,3875,Up
P3H4,3.647910428148908,3.0862775656146774e-7,ATRT_vs_EPN_like,P3H4,10609,Up
PFKFB4,4.6929523340950965,3.3261069137387063e-7,ATRT_vs_EPN_like,PFKFB4,5210,Up
P3H3,3.522347437057796,4.0729796633521745e-7,ATRT_vs_EPN_like,P3H3,10536,Up
LOX,3.6265830707393043,5.005927002337483e-7,ATRT_vs_EPN_like,LOX,4015,Up
LDLR,2.5430324620518014,9.8561057671674e-7,ATRT_vs_EPN_like,LDLR,3949,Up
CYP2S1,3.041891239908086,1.0259390177172228e-6,ATRT_vs_EPN_like,CYP2S1,29785,Up
IKBIP,3.15760166449369,2.220699678020571e-6,ATRT_vs_EPN_like,IKBIP,121457,Up
