Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
SEPTIN8,-4.250047260536565,1.7522602404682613e-9,ATRT_vs_Glial,SEPTIN8,23176,Down
APPL2,-3.4799557767400167,2.0509305062659538e-9,ATRT_vs_Glial,APPL2,55198,Down
SCD5,-4.6683108822463915,1.0491825242511764e-8,ATRT_vs_Glial,SCD5,79966,Down
ADD1,-4.169884554260815,1.0491825242511764e-8,ATRT_vs_Glial,ADD1,118,Down
ITM2C,-3.9303602662592816,1.0491825242511764e-8,ATRT_vs_Glial,ITM2C,81618,Down
NDRG2,-6.194795211001274,1.1887328745315428e-7,ATRT_vs_Glial,NDRG2,57447,Down
ATP4A,-3.9563587729548146,1.25942047141859e-7,ATRT_vs_Glial,ATP4A,495,Down
PURA,-2.643597644016978,1.656547596562945e-7,ATRT_vs_Glial,PURA,5813,Down
GNPDA2,-2.4579689423724034,1.8421834143497858e-7,ATRT_vs_Glial,GNPDA2,132789,Down
EPB41L2,-3.665702683544879,2.64157987957552e-7,ATRT_vs_Glial,EPB41L2,2037,Down
ENDOD1,-3.520373637472023,2.64157987957552e-7,ATRT_vs_Glial,ENDOD1,23052,Down
PEBP1,-3.0488225814404473,2.64157987957552e-7,ATRT_vs_Glial,PEBP1,5037,Down
GDI1,-3.318007945811555,3.6705125591060043e-7,ATRT_vs_Glial,GDI1,2664,Down
DDAH1,-4.1724914372627175,3.8113177136169105e-7,ATRT_vs_Glial,DDAH1,23576,Down
GNAO1,-5.586733795603582,3.959647900243848e-7,ATRT_vs_Glial,GNAO1,2775,Down
PEA15,-3.7273502228436826,4.210161764159871e-7,ATRT_vs_Glial,PEA15,8682,Down
ADD3,-4.332595197774552,4.293498399119048e-7,ATRT_vs_Glial,ADD3,120,Down
HDHD2,-2.9034270644135205,4.497034995767574e-7,ATRT_vs_Glial,HDHD2,84064,Down
SPTAN1,-3.1137924722187655,5.463598571809192e-7,ATRT_vs_Glial,SPTAN1,6709,Down
DPYSL2,-3.947590208825531,8.08188852498468e-7,ATRT_vs_Glial,DPYSL2,1808,Down
PACS2,-1.933028276038634,8.28339120365496e-7,ATRT_vs_Glial,PACS2,23241,Down
SPTBN1,-3.0885570383177026,9.392820744214152e-7,ATRT_vs_Glial,SPTBN1,6711,Down
ALDH2,-3.070607965027847,9.90001546019134e-7,ATRT_vs_Glial,ALDH2,217,Down
COPS7A,-2.02179065843103,9.90001546019134e-7,ATRT_vs_Glial,COPS7A,50813,Down
QDPR,-2.811428026386345,1.012001920806992e-6,ATRT_vs_Glial,QDPR,5860,Down
CNP,-3.2877534745090315,1.2620047120199668e-6,ATRT_vs_Glial,CNP,1267,Down
PITPNA,-2.2531429915147747,1.3259587384789469e-6,ATRT_vs_Glial,PITPNA,5306,Down
STAM2,-1.6412839769485394,1.4172636614128802e-6,ATRT_vs_Glial,STAM2,10254,Down
MINDY1,-1.7906352819184583,1.4522797827461231e-6,ATRT_vs_Glial,MINDY1,55793,Down
MAOB,-5.508988354174061,1.4714813488168675e-6,ATRT_vs_Glial,MAOB,4129,Down
GNG12,-3.1634707785481524,1.4990059981508086e-6,ATRT_vs_Glial,GNG12,55970,Down
GNAQ,-2.8034377177250533,1.7421225774480894e-6,ATRT_vs_Glial,GNAQ,2776,Down
CYRIA,-3.076659085977685,1.7799973819993437e-6,ATRT_vs_Glial,CYRIA,81553,Down
DPYSL3,-3.5838705149973755,1.856057595874666e-6,ATRT_vs_Glial,DPYSL3,1809,Down
