Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
IQCD,6.06564886762683,5.773776213186831e-16,ATRT_vs_Glial,IQCD,115811,Up
COL26A1,5.2747281620110975,5.773776213186831e-16,ATRT_vs_Glial,COL26A1,136227,Up
FGFBP3,4.536622965850061,3.4851035298018097e-15,ATRT_vs_Glial,FGFBP3,143282,Up
KRT8,4.9963223375999455,7.235384332130915e-12,ATRT_vs_Glial,KRT8,3856,Up
RPP40,5.57164904259454,1.4118917500201897e-10,ATRT_vs_Glial,RPP40,10799,Up
GDF15,4.3412404662395865,1.855980581800911e-10,ATRT_vs_Glial,GDF15,9518,Up
SFN,4.0453917157804575,1.855980581800911e-10,ATRT_vs_Glial,SFN,2810,Up
THBS3,3.282091050855808,1.3356903787097618e-9,ATRT_vs_Glial,THBS3,7059,Up
KRT18,4.22349323032341,1.8099017256069347e-9,ATRT_vs_Glial,KRT18,3875,Up
RIOK2,4.762300168170622,2.184527971447292e-9,ATRT_vs_Glial,RIOK2,55781,Up
TMEM161A,4.387227329180108,4.114091366036633e-9,ATRT_vs_Glial,TMEM161A,54929,Up
NME4,3.611594222013597,5.124054188991745e-9,ATRT_vs_Glial,NME4,4833,Up
PLIN2,2.7744634207201315,1.0491825242511764e-8,ATRT_vs_Glial,PLIN2,123,Up
P3H4,3.6393164329290535,1.5752888429920012e-8,ATRT_vs_Glial,P3H4,10609,Up
EOGT,4.377809462938458,1.887583892764428e-8,ATRT_vs_Glial,EOGT,285203,Up
P3H3,3.5375671418100083,1.887583892764428e-8,ATRT_vs_Glial,P3H3,10536,Up
LOX,3.6034011503440553,3.067288214505651e-8,ATRT_vs_Glial,LOX,4015,Up
PFKFB4,4.511198316434108,3.984819422552855e-8,ATRT_vs_Glial,PFKFB4,5210,Up
SMARCAD1,1.6174355763571917,6.739500354791752e-8,ATRT_vs_Glial,SMARCAD1,56916,Up
PLOD1,3.388186700528344,1.0888791838400465e-7,ATRT_vs_Glial,PLOD1,5351,Up
B4GALT1,2.8091237262277033,1.0925811937224788e-7,ATRT_vs_Glial,B4GALT1,2683,Up
CNNM2,3.2144417732681916,1.1582488946045594e-7,ATRT_vs_Glial,CNNM2,54805,Up
TFB2M,4.533287344501753,2.64157987957552e-7,ATRT_vs_Glial,TFB2M,64216,Up
NEU1,3.8552347269766116,2.64157987957552e-7,ATRT_vs_Glial,NEU1,4758,Up
EIF2AK4,2.114611929507472,2.64157987957552e-7,ATRT_vs_Glial,EIF2AK4,440275,Up
SMC6,1.959998896492003,2.64157987957552e-7,ATRT_vs_Glial,SMC6,79677,Up
CYP2S1,2.74356810538945,4.111829532008792e-7,ATRT_vs_Glial,CYP2S1,29785,Up
KPNA2,2.1180287610537327,4.111829532008792e-7,ATRT_vs_Glial,KPNA2,3838,Up
SQLE,2.2901432495828153,5.463598571809192e-7,ATRT_vs_Glial,SQLE,6713,Up
LDLR,2.2420214621680046,5.645952091997827e-7,ATRT_vs_Glial,LDLR,3949,Up
GNPNAT1,2.034486859123536,6.194969607713825e-7,ATRT_vs_Glial,GNPNAT1,64841,Up
MYO1G,4.20690731310758,6.714170471184118e-7,ATRT_vs_Glial,MYO1G,64005,Up
HMGA2,4.096840279631795,8.08188852498468e-7,ATRT_vs_Glial,HMGA2,8091,Up
ERCC3,3.5567362377771055,8.413845169636226e-7,ATRT_vs_Glial,ERCC3,2071,Up
ESF1,2.3498633938332247,9.392820744214152e-7,ATRT_vs_Glial,ESF1,51575,Up
TRIP13,2.006975723910383,9.873643969621556e-7,ATRT_vs_Glial,TRIP13,9319,Up
MALT1,2.5725029581488776,1.3076916965236408e-6,ATRT_vs_Glial,MALT1,10892,Up
PRAME,4.266203421152795,1.736327814397512e-6,ATRT_vs_Glial,PRAME,23532,Up
SLC25A19,3.2980646091483266,1.9178945817754206e-6,ATRT_vs_Glial,SLC25A19,60386,Up
GALNT4,3.0647857555340607,1.9178945817754206e-6,ATRT_vs_Glial,GALNT4,8693,Up
TFRC,4.582622130253313,1.9933307420708018e-6,ATRT_vs_Glial,TFRC,7037,Up
SOAT1,4.330875901636505,2.3115154378285966e-6,ATRT_vs_Glial,SOAT1,6646,Up
MSH6,1.8760495448600487,2.8497811820033622e-6,ATRT_vs_Glial,MSH6,2956,Up
PPIC,2.151150110517939,2.8883124813984238e-6,ATRT_vs_Glial,PPIC,5480,Up
METTL17,3.3637074798861004,3.6080703293077792e-6,ATRT_vs_Glial,METTL17,64745,Up
P3H1,3.2906168276393224,3.6080703293077792e-6,ATRT_vs_Glial,P3H1,64175,Up
IKBIP,2.5501123786533384,5.223626046934101e-6,ATRT_vs_Glial,IKBIP,121457,Up
PYCR1,2.629933073843695,5.294578776539771e-6,ATRT_vs_Glial,PYCR1,5831,Up
NCAPG,1.855112102068606,5.692799820959677e-6,ATRT_vs_Glial,NCAPG,64151,Up
PCNA,2.0983229929199645,5.9226135727700135e-6,ATRT_vs_Glial,PCNA,5111,Up
WDR75,3.6050240310698882,6.136296203947857e-6,ATRT_vs_Glial,WDR75,84128,Up
ERO1A,2.1399169778653686,6.4265103516593755e-6,ATRT_vs_Glial,ERO1A,30001,Up
NOL10,3.879767112809441,6.674604349284512e-6,ATRT_vs_Glial,NOL10,79954,Up
PXDN,2.224640493986275,8.015884177347222e-6,ATRT_vs_Glial,PXDN,7837,Up
BCCIP,2.584091488072694,8.596922805196898e-6,ATRT_vs_Glial,BCCIP,56647,Up
NLE1,1.5767155517067692,8.596922805196898e-6,ATRT_vs_Glial,NLE1,54475,Up
PRIM2,2.5766859599566736,9.369303554054137e-6,ATRT_vs_Glial,PRIM2,5558,Up
RBM19,2.223185035996579,9.675514069140388e-6,ATRT_vs_Glial,RBM19,9904,Up
ZC3HAV1L,1.598167627406628,1.128388377416885e-5,ATRT_vs_Glial,ZC3HAV1L,92092,Up
PMM2,1.634303401540663,1.1908792130775915e-5,ATRT_vs_Glial,PMM2,5373,Up
CEBPZ,2.09303646452879,1.1934109797872203e-5,ATRT_vs_Glial,CEBPZ,10153,Up
MSH2,1.7989958498849639,1.1934109797872203e-5,ATRT_vs_Glial,MSH2,4436,Up
CRTAP,2.185284327479554,1.2425656964299687e-5,ATRT_vs_Glial,CRTAP,10491,Up
NEMP1,2.418320852531753,1.721024266362531e-5,ATRT_vs_Glial,NEMP1,23306,Up
MCM3,2.445285083900238,1.853668497870895e-5,ATRT_vs_Glial,MCM3,4172,Up
SUPT16H,1.6701307859739138,1.8650027128926007e-5,ATRT_vs_Glial,SUPT16H,11198,Up
DIMT1,2.691754212174221,1.9136825232573426e-5,ATRT_vs_Glial,DIMT1,27292,Up
PROCR,2.4951660646675755,2.0548266418488928e-5,ATRT_vs_Glial,PROCR,10544,Up
MCM6,2.067181477167683,2.0739218067955504e-5,ATRT_vs_Glial,MCM6,4175,Up
PRKCI,1.7700389857412446,2.406634635888193e-5,ATRT_vs_Glial,PRKCI,5584,Up
SERPINH1,3.8273619311347957,3.15185138164712e-5,ATRT_vs_Glial,SERPINH1,871,Up
DDX10,1.7547469949366317,3.225114977065047e-5,ATRT_vs_Glial,DDX10,1662,Up
KIF4A,1.6694338673333888,3.310296157065749e-5,ATRT_vs_Glial,KIF4A,24137,Up
DHX8,1.1953380784246512,3.311418908934829e-5,ATRT_vs_Glial,DHX8,1659,Up
FNDC3B,2.2422548013454744,3.4450667630857795e-5,ATRT_vs_Glial,FNDC3B,64778,Up
HK2,2.0524890321300973,3.4450667630857795e-5,ATRT_vs_Glial,HK2,3099,Up
DDX39A,1.571082469456183,3.4450667630857795e-5,ATRT_vs_Glial,DDX39A,10212,Up
SRD5A3,1.8643180603860259,3.514014685628159e-5,ATRT_vs_Glial,SRD5A3,79644,Up
CHST14,1.7356284781720959,3.949360052226359e-5,ATRT_vs_Glial,CHST14,113189,Up
NOL11,2.606940214767306,4.1436182291378946e-5,ATRT_vs_Glial,NOL11,25926,Up
MAN1A2,1.803187266182622,4.197678478691263e-5,ATRT_vs_Glial,MAN1A2,10905,Up
UTP4,1.9710038834380903,4.6233895135432136e-5,ATRT_vs_Glial,UTP4,84916,Up
TCIRG1,2.352599586328509,4.8858208097986893e-5,ATRT_vs_Glial,TCIRG1,10312,Up
MOV10,2.037876134470409,5.6791380834826205e-5,ATRT_vs_Glial,MOV10,4343,Up
PAK1IP1,1.9213250771882642,5.88502880627293e-5,ATRT_vs_Glial,PAK1IP1,55003,Up
FSTL1,2.1253746641916997,6.194332595675327e-5,ATRT_vs_Glial,FSTL1,11167,Up
NUDT15,1.7580737489801201,6.194332595675327e-5,ATRT_vs_Glial,NUDT15,55270,Up
SSRP1,1.7733206095855572,6.429059533936323e-5,ATRT_vs_Glial,SSRP1,6749,Up
DCAF13,2.3875069302135756,6.793177570431904e-5,ATRT_vs_Glial,DCAF13,25879,Up
SLC30A7,1.840146204019348,7.355883966246433e-5,ATRT_vs_Glial,SLC30A7,148867,Up
NOC4L,1.8356419724373296,7.809425211740623e-5,ATRT_vs_Glial,NOC4L,79050,Up
PDS5A,1.2338665752870135,8.141108946176875e-5,ATRT_vs_Glial,PDS5A,23244,Up
GCFC2,1.997700308533112,8.213707126932158e-5,ATRT_vs_Glial,GCFC2,6936,Up
GALNT10,2.523338510753721,8.255493237120805e-5,ATRT_vs_Glial,GALNT10,55568,Up
EI24,1.8005447435696418,8.308121789060958e-5,ATRT_vs_Glial,EI24,9538,Up
CCNH,1.571616601548751,8.479098554821832e-5,ATRT_vs_Glial,CCNH,902,Up
NASP,1.9391668057432163,9.202873690009572e-5,ATRT_vs_Glial,NASP,4678,Up
QSOX2,1.7242508344104728,9.811335559746643e-5,ATRT_vs_Glial,QSOX2,169714,Up
TOR1B,1.883408649418623,1.0092009439973627e-4,ATRT_vs_Glial,TOR1B,27348,Up
GASK1B,2.191065033388014,1.0269906180629751e-4,ATRT_vs_Glial,GASK1B,51313,Up
CNN2,2.180663073933623,1.0270471755719969e-4,ATRT_vs_Glial,CNN2,1265,Up
ISG20,2.1734919181192893,1.0270471755719969e-4,ATRT_vs_Glial,ISG20,3669,Up
MCM2,1.8665080051280931,1.0270471755719969e-4,ATRT_vs_Glial,MCM2,4171,Up
EMG1,2.118683134734077,1.0300020492228908e-4,ATRT_vs_Glial,EMG1,10436,Up
SAAL1,1.9226682547194844,1.078786100509794e-4,ATRT_vs_Glial,SAAL1,113174,Up
HAT1,1.815551242383325,1.0808832323378318e-4,ATRT_vs_Glial,HAT1,8520,Up
EED,1.4102936381687812,1.0808832323378318e-4,ATRT_vs_Glial,EED,8726,Up
COLGALT1,2.5049835329274295,1.1594805242640971e-4,ATRT_vs_Glial,COLGALT1,79709,Up
CPOX,1.9465418264888719,1.2003374600861784e-4,ATRT_vs_Glial,CPOX,1371,Up
PDCD11,1.7605483742877546,1.220743770177109e-4,ATRT_vs_Glial,PDCD11,22984,Up
RBM47,2.5101947541024003,1.252303713164228e-4,ATRT_vs_Glial,RBM47,54502,Up
