Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
MEX3A,-3.2718720626153583,9.507043377538887e-14,ATRT_vs_MB,MEX3A,92312,Down
ZNF316,-3.118162928706351,4.5089381537348165e-13,ATRT_vs_MB,ZNF316,100131017,Down
RCOR2,-2.8654790999199626,4.5089381537348165e-13,ATRT_vs_MB,RCOR2,283248,Down
STEEP1,-3.030497810919652,9.576638705955658e-13,ATRT_vs_MB,STEEP1,63932,Down
XKR7,-2.955034972238007,2.7831827457552987e-12,ATRT_vs_MB,XKR7,343702,Down
CGGBP1,-2.6481973277944206,2.2132879734644428e-11,ATRT_vs_MB,CGGBP1,8545,Down
MORC2,-2.644121762041703,1.9189929005125823e-10,ATRT_vs_MB,MORC2,22880,Down
CBLL1,-1.9965428194136265,1.9189929005125823e-10,ATRT_vs_MB,CBLL1,79872,Down
RNF2,-2.2561823888622143,1.3252603214522858e-9,ATRT_vs_MB,RNF2,6045,Down
BRD1,-2.356736589631126,1.7486184030548899e-9,ATRT_vs_MB,BRD1,23774,Down
PHC2,-2.31333307272547,1.1986043785127939e-8,ATRT_vs_MB,PHC2,1912,Down
MBD3,-2.0490384737770313,1.328480965278824e-8,ATRT_vs_MB,MBD3,53615,Down
GPC2,-3.4904781218688825,1.688924724838856e-8,ATRT_vs_MB,GPC2,221914,Down
SUMO2,-2.62009242243931,1.903346727940056e-8,ATRT_vs_MB,SUMO2,6613,Down
ZNF219,-2.2437318550022987,1.903346727940056e-8,ATRT_vs_MB,ZNF219,51222,Down
ZNF512,-2.4872614046912354,2.530216347780157e-8,ATRT_vs_MB,ZNF512,84450,Down
MAPK8,-3.3849078259224967,3.3048385652102714e-8,ATRT_vs_MB,MAPK8,5599,Down
GATAD2B,-2.2363603282271356,4.269467232913412e-8,ATRT_vs_MB,GATAD2B,57459,Down
RBM15B,-2.05694737386559,7.474118073327072e-8,ATRT_vs_MB,RBM15B,29890,Down
BRD3,-2.1322611163152416,7.904692539281247e-8,ATRT_vs_MB,BRD3,8019,Down
HIRIP3,-3.0778675313855217,8.012920281739629e-8,ATRT_vs_MB,HIRIP3,8479,Down
ZIC1,-3.35830183408855,1.1953388261537188e-7,ATRT_vs_MB,ZIC1,7545,Down
NSD2,-3.145040337278955,1.5009831120134912e-7,ATRT_vs_MB,NSD2,7468,Down
FRG1,-1.9488192396666513,1.6275913701885305e-7,ATRT_vs_MB,FRG1,2483,Down
KBTBD6,-3.254767544201062,1.7919504390992624e-7,ATRT_vs_MB,KBTBD6,89890,Down
ADNP,-2.1997556043059276,1.7919504390992624e-7,ATRT_vs_MB,ADNP,23394,Down
GSE1,-2.329411451732824,1.884961437850994e-7,ATRT_vs_MB,GSE1,23199,Down
NR2C2,-2.500920691909876,1.9025675349108494e-7,ATRT_vs_MB,NR2C2,7182,Down
ZNF280C,-3.007024992468759,2.4498485114260004e-7,ATRT_vs_MB,ZNF280C,55609,Down
CEP170,-3.4150386823115078,2.6811724646487424e-7,ATRT_vs_MB,CEP170,9859,Down
ZIC4,-3.5528519813362855,2.738456030497953e-7,ATRT_vs_MB,ZIC4,84107,Down
DCP1A,-2.283914403720594,2.933647259837792e-7,ATRT_vs_MB,DCP1A,55802,Down
CBX2,-2.971858277772089,3.448467783685819e-7,ATRT_vs_MB,CBX2,84733,Down
EP400,-1.7977655451436476,5.003287813278351e-7,ATRT_vs_MB,EP400,57634,Down
YLPM1,-2.1141918548727787,5.403412115418609e-7,ATRT_vs_MB,YLPM1,56252,Down
NFYC,-1.7882806859919178,5.478456267034857e-7,ATRT_vs_MB,NFYC,4802,Down
STAG1,-2.1605683887737968,7.921962609377736e-7,ATRT_vs_MB,STAG1,10274,Down
ZMYM2,-2.1808085975932556,7.923184658633603e-7,ATRT_vs_MB,ZMYM2,7750,Down
PCBP4,-2.3608236705085233,8.946434216897519e-7,ATRT_vs_MB,PCBP4,57060,Down
SENP3,-1.6946559388354494,8.946434216897519e-7,ATRT_vs_MB,SENP3,26168,Down
GABPA,-1.7688356604455713,1.0149243012890813e-6,ATRT_vs_MB,GABPA,2551,Down
NRF1,-1.6554250074739763,1.1122570191375848e-6,ATRT_vs_MB,NRF1,4899,Down
HMGB3,-2.3255973191058175,1.292808477569822e-6,ATRT_vs_MB,HMGB3,3149,Down
PPP1R10,-1.5481081091126754,1.400140020306279e-6,ATRT_vs_MB,PPP1R10,5514,Down
DCX,-3.207475487643272,1.4668986711026808e-6,ATRT_vs_MB,DCX,1641,Down
SLU7,-1.609644720069479,1.6427973516268973e-6,ATRT_vs_MB,SLU7,10569,Down
UBXN7,-2.117187478963764,2.2704404246849252e-6,ATRT_vs_MB,UBXN7,26043,Down
RNASEH2B,-2.043381408403519,2.35250521217194e-6,ATRT_vs_MB,RNASEH2B,79621,Down
SPEN,-1.4980283077333816,2.35250521217194e-6,ATRT_vs_MB,SPEN,23013,Down
SCAF4,-1.999834068153472,2.4378216743252617e-6,ATRT_vs_MB,SCAF4,57466,Down
