Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
IQCD,5.554009492849936,3.5338584904055606e-13,ATRT_vs_MB,IQCD,115811,Up
COL26A1,4.407099748323471,2.7831827457552987e-12,ATRT_vs_MB,COL26A1,136227,Up
FGFBP3,3.6262416333158356,5.603792909749627e-11,ATRT_vs_MB,FGFBP3,143282,Up
KRT8,4.558345386273796,1.0614008124650594e-9,ATRT_vs_MB,KRT8,3856,Up
GDF15,4.280573851622954,3.1884289183214843e-9,ATRT_vs_MB,GDF15,9518,Up
SFN,3.8693139412269097,6.847427585391318e-9,ATRT_vs_MB,SFN,2810,Up
NME4,3.574046377496366,7.249941390930285e-8,ATRT_vs_MB,NME4,4833,Up
TMEM161A,4.2502717398329874,7.904692539281247e-8,ATRT_vs_MB,TMEM161A,54929,Up
KRT18,3.9420846280493933,7.904692539281247e-8,ATRT_vs_MB,KRT18,3875,Up
THBS3,3.006803204624184,7.904692539281247e-8,ATRT_vs_MB,THBS3,7059,Up
PFKFB4,4.316666301929656,8.462728504207545e-7,ATRT_vs_MB,PFKFB4,5210,Up
RPP40,4.045156428603683,1.2091663009708801e-6,ATRT_vs_MB,RPP40,10799,Up
EOGT,3.9031104679666004,1.690387091842909e-6,ATRT_vs_MB,EOGT,285203,Up
B4GALT1,2.6524000222099424,2.4145672552694743e-6,ATRT_vs_MB,B4GALT1,2683,Up
CYP2S1,2.783620669151677,2.4971595739197217e-6,ATRT_vs_MB,CYP2S1,29785,Up
PLOD1,3.1181490253856445,3.557233593808647e-6,ATRT_vs_MB,PLOD1,5351,Up
LDLR,2.228109002377373,4.666041269739606e-6,ATRT_vs_MB,LDLR,3949,Up
GALNT2,2.6020680415028146,4.759735381986417e-6,ATRT_vs_MB,GALNT2,2590,Up
NEU1,3.579313056480487,7.157457438208727e-6,ATRT_vs_MB,NEU1,4758,Up
PLIN2,2.1996955611879905,7.162411900098937e-6,ATRT_vs_MB,PLIN2,123,Up
GALNT4,3.1362405943352787,9.882799195175355e-6,ATRT_vs_MB,GALNT4,8693,Up
HMGA2,3.959214224587022,1.0345560237687801e-5,ATRT_vs_MB,HMGA2,8091,Up
MYO1G,4.0033036214644735,1.1310174751419356e-5,ATRT_vs_MB,MYO1G,64005,Up
SLC16A3,2.839638430188078,1.3569720244008604e-5,ATRT_vs_MB,SLC16A3,9123,Up
RIOK2,3.343680690783305,1.7555691560329734e-5,ATRT_vs_MB,RIOK2,55781,Up
SOAT1,4.163096360651005,3.2797915779496355e-5,ATRT_vs_MB,SOAT1,6646,Up
LOX,2.647170664183278,5.391206621816043e-5,ATRT_vs_MB,LOX,4015,Up
GNPNAT1,1.6845949554426092,8.570815485200793e-5,ATRT_vs_MB,GNPNAT1,64841,Up
P3H4,2.4216893637871877,1.381940762740581e-4,ATRT_vs_MB,P3H4,10609,Up
HADHA,1.743620998230064,1.4202409378767138e-4,ATRT_vs_MB,HADHA,3030,Up
RNF213,1.7457225424398324,1.4453129109480924e-4,ATRT_vs_MB,RNF213,57674,Up
MAN1A2,1.8643963367162186,1.5694726345446094e-4,ATRT_vs_MB,MAN1A2,10905,Up
ERO1A,1.9498831714543456,1.6006041235241104e-4,ATRT_vs_MB,ERO1A,30001,Up
ISG20,2.3911753838348773,1.646730778397018e-4,ATRT_vs_MB,ISG20,3669,Up
IKBIP,2.2693067576337214,1.756608731861959e-4,ATRT_vs_MB,IKBIP,121457,Up
COX20,1.9011576547329305,1.9162217012515936e-4,ATRT_vs_MB,COX20,116228,Up
EML5,1.8551430539598108,2.0358100111593597e-4,ATRT_vs_MB,EML5,161436,Up
HADHB,1.7078147263920194,2.1484995151888422e-4,ATRT_vs_MB,HADHB,3032,Up
PLTP,3.05615353385069,2.3023344631826578e-4,ATRT_vs_MB,PLTP,5360,Up
SEMA4B,3.016624284748513,2.468712949889434e-4,ATRT_vs_MB,SEMA4B,10509,Up
HSD3B7,2.0763219386315726,2.572838374409198e-4,ATRT_vs_MB,HSD3B7,80270,Up
TIMP3,2.370437460223666,2.675086351371743e-4,ATRT_vs_MB,TIMP3,7078,Up
HMGCL,1.9684692345239512,2.7073883140331693e-4,ATRT_vs_MB,HMGCL,3155,Up
P3H3,2.2296753796327025,3.1102885660059626e-4,ATRT_vs_MB,P3H3,10536,Up
FDXR,2.180011728567237,3.306314508422271e-4,ATRT_vs_MB,FDXR,2232,Up
PLBD1,1.9250371107550066,3.4600484128034196e-4,ATRT_vs_MB,PLBD1,79887,Up
STAT1,2.142091870232978,3.551485194368865e-4,ATRT_vs_MB,STAT1,6772,Up
NEMP1,2.1814520428258,3.9444320121763795e-4,ATRT_vs_MB,NEMP1,23306,Up
SQLE,1.6723042717813144,4.024316422778783e-4,ATRT_vs_MB,SQLE,6713,Up
CHST14,1.6486814487158092,4.2234839762588986e-4,ATRT_vs_MB,CHST14,113189,Up
GALNT10,2.5244627660113714,4.3259990023753045e-4,ATRT_vs_MB,GALNT10,55568,Up
TAP1,2.3843100797598105,4.5171281852445574e-4,ATRT_vs_MB,TAP1,6890,Up
PROCR,2.2358434743866553,4.80931900506664e-4,ATRT_vs_MB,PROCR,10544,Up
