Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
ITGAV,-2.578871707629464,1.1442482549123994e-7,EPN_like_vs_Glial,ITGAV,3685,Down
SEPTIN8,-2.5303895172802235,4.0621416799700353e-7,EPN_like_vs_Glial,SEPTIN8,23176,Down
PEPD,-1.645214192790469,9.456429714573043e-7,EPN_like_vs_Glial,PEPD,5184,Down
SNX27,-1.5811623257166438,1.0962928989374953e-6,EPN_like_vs_Glial,SNX27,81609,Down
RHOG,-1.6203974207063006,1.1561079944407318e-6,EPN_like_vs_Glial,RHOG,391,Down
CAMK2D,-2.330622938007128,2.0432130207867344e-6,EPN_like_vs_Glial,CAMK2D,817,Down
PIK3R1,-1.4531361191191294,1.101312917936331e-5,EPN_like_vs_Glial,PIK3R1,5295,Down
RAB21,-1.218224167094089,1.101312917936331e-5,EPN_like_vs_Glial,RAB21,23011,Down
LRP1,-2.258726716037202,1.1503136766515485e-5,EPN_like_vs_Glial,LRP1,4035,Down
CPPED1,-1.8870747351029458,1.1503136766515485e-5,EPN_like_vs_Glial,CPPED1,55313,Down
ANXA7,-1.3350767042896479,1.211570667616046e-5,EPN_like_vs_Glial,ANXA7,310,Down
WASHC4,-1.330570046422146,1.211570667616046e-5,EPN_like_vs_Glial,WASHC4,23325,Down
WASHC5,-1.4503533351809068,1.2792567798935664e-5,EPN_like_vs_Glial,WASHC5,9897,Down
RAB31,-2.5112998301730762,1.3839005297160697e-5,EPN_like_vs_Glial,RAB31,11031,Down
FABP5,-3.0846238538567867,1.9424629417110312e-5,EPN_like_vs_Glial,FABP5,2171,Down
RABGGTA,-1.2106437507323555,1.9424629417110312e-5,EPN_like_vs_Glial,RABGGTA,5875,Down
RBBP9,-1.5327297500967738,2.6436405476867837e-5,EPN_like_vs_Glial,RBBP9,10741,Down
PGM2L1,-2.4823864159889837,2.655413225190746e-5,EPN_like_vs_Glial,PGM2L1,283209,Down
CARS1,-1.2603105772335432,2.655413225190746e-5,EPN_like_vs_Glial,CARS1,833,Down
ENDOD1,-2.052718882187051,2.8406096878318748e-5,EPN_like_vs_Glial,ENDOD1,23052,Down
NME1,-1.1513837009882302,3.272162304002109e-5,EPN_like_vs_Glial,NME1,4830,Down
CNP,-2.07735043772281,3.3738862976931215e-05,EPN_like_vs_Glial,CNP,1267,Down
GAPDH,-1.1843398198696775,3.490150203587649e-5,EPN_like_vs_Glial,GAPDH,2597,Down
