Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
OBSL1,2.108588754646462,3.318089737430459e-9,EPN_like_vs_Glial,OBSL1,23363,Up
PROM1,1.5888513682290224,1.5481506275767226e-7,EPN_like_vs_Glial,PROM1,8842,Up
DPCD,1.5251255797690533,1.1503136766515485e-5,EPN_like_vs_Glial,DPCD,25911,Up
ZFTRAF1,1.0975072575606752,2.8734250323896756e-5,EPN_like_vs_Glial,ZFTRAF1,50626,Up
GALNT3,1.807451113525337,3.9574521992838864e-5,EPN_like_vs_Glial,GALNT3,2591,Up
DYNC2I2,1.3335900206049018,3.9574521992838864e-5,EPN_like_vs_Glial,DYNC2I2,89891,Up
CCDC8,1.2589483083453707,5.2176560213799954e-5,EPN_like_vs_Glial,CCDC8,83987,Up
DNAAF1,1.9997572502038388,5.942217861692635e-5,EPN_like_vs_Glial,DNAAF1,123872,Up
HDGF,1.4117555942583309,6.429427901200582e-5,EPN_like_vs_Glial,HDGF,3068,Up
RUVBL1,1.402252325673036,6.429427901200582e-5,EPN_like_vs_Glial,RUVBL1,8607,Up
JPT2,1.5318458141309854,7.341744899317823e-5,EPN_like_vs_Glial,JPT2,90861,Up
SLC12A7,1.0366858577131417,7.341744899317823e-5,EPN_like_vs_Glial,SLC12A7,10723,Up
IFT46,1.994349280762588,8.23127367578219e-5,EPN_like_vs_Glial,IFT46,56912,Up
IFT172,1.5290109588524885,8.316232323470978e-5,EPN_like_vs_Glial,IFT172,26160,Up
SPAG6,2.043204398181775,9.824665662200333e-5,EPN_like_vs_Glial,SPAG6,9576,Up
IK,1.2012344663335313,1.0136587002487668e-4,EPN_like_vs_Glial,IK,3550,Up
B3GLCT,1.3543311420078972,1.0414415451292285e-4,EPN_like_vs_Glial,B3GLCT,145173,Up
RUVBL2,1.25578984695413,1.0936035197307079e-4,EPN_like_vs_Glial,RUVBL2,10856,Up
SPATA33,2.671901889403756,1.1028067933274588e-4,EPN_like_vs_Glial,SPATA33,124045,Up
ZMYND10,1.7155978111191033,1.1028067933274588e-4,EPN_like_vs_Glial,ZMYND10,51364,Up
PTK7,1.3465082323214617,1.1028067933274588e-4,EPN_like_vs_Glial,PTK7,5754,Up
DYNC2LI1,1.20158767464779,1.1028067933274588e-4,EPN_like_vs_Glial,DYNC2LI1,51626,Up
ARMC3,2.666030375330246,1.1067837870242058e-4,EPN_like_vs_Glial,ARMC3,219681,Up
ODAD4,1.9238176349505771,1.1067837870242058e-4,EPN_like_vs_Glial,ODAD4,83538,Up
CROCC2,2.669436733238591,1.1079399939339235e-4,EPN_like_vs_Glial,CROCC2,728763,Up
HSP90AB4P,1.1554945004040356,1.183606284247971e-4,EPN_like_vs_Glial,HSP90AB4P,664618,Up
HMGB2,1.6760998046610993,1.1885883882517578e-4,EPN_like_vs_Glial,HMGB2,3148,Up
DTHD1,2.670597001790428,1.213310196600304e-4,EPN_like_vs_Glial,DTHD1,401124,Up
HMGN2,1.7239622092659772,1.213310196600304e-4,EPN_like_vs_Glial,HMGN2,3151,Up
FBXW9,1.3445662778185827,1.213310196600304e-4,EPN_like_vs_Glial,FBXW9,84261,Up
AK7,2.4732370214379973,1.2277115610265677e-4,EPN_like_vs_Glial,AK7,122481,Up
RAB36,2.6103688410749584,1.2711481142061923e-4,EPN_like_vs_Glial,RAB36,9609,Up
HMGN3,1.4648223952505361,1.3674407030037092e-4,EPN_like_vs_Glial,HMGN3,9324,Up
IFT81,1.4116082770528031,1.3726042715959735e-4,EPN_like_vs_Glial,IFT81,28981,Up
LRRC46,2.651629709511706,1.3745290929983168e-4,EPN_like_vs_Glial,LRRC46,90506,Up
RSPH1,1.705573118600686,1.3745290929983168e-4,EPN_like_vs_Glial,RSPH1,89765,Up
CFAP52,1.6499918051442464,1.3745290929983168e-4,EPN_like_vs_Glial,CFAP52,146845,Up
SUGP2,1.3634193573566087,1.3745290929983168e-4,EPN_like_vs_Glial,SUGP2,10147,Up
XRCC1,1.114389070901165,1.3745290929983168e-4,EPN_like_vs_Glial,XRCC1,7515,Up
MSH6,1.0782906030030155,1.3772375482548418e-4,EPN_like_vs_Glial,MSH6,2956,Up
YAP1,1.0895622440985733,1.3919664007838208e-4,EPN_like_vs_Glial,YAP1,10413,Up
PASK,1.255143780177491,1.4459509946648235e-4,EPN_like_vs_Glial,PASK,23178,Up
CCDC170,2.409087017754688,1.48526850926433e-4,EPN_like_vs_Glial,CCDC170,80129,Up
DNAH9,2.6123310711831227,1.5642817979345588e-4,EPN_like_vs_Glial,DNAH9,1770,Up
PBX1,1.5430058275739604,1.5816223527931304e-4,EPN_like_vs_Glial,PBX1,5087,Up
HMGB3,1.1164757212500405,1.5874669359654367e-4,EPN_like_vs_Glial,HMGB3,3149,Up
THUMPD1,1.333382308191144,1.67209666446326e-4,EPN_like_vs_Glial,THUMPD1,55623,Up
