Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
OBSL1,-2.0914693252377,1.6149371940049953e-8,MB_vs_EPN_like,OBSL1,23363,Down
HSDL2,-2.8682027613066516,3.5949922924336836e-8,MB_vs_EPN_like,HSDL2,84263,Down
SLC44A1,-3.174450239717089,4.358819489669575e-8,MB_vs_EPN_like,SLC44A1,23446,Down
PSAT1,-4.3462392273680095,1.1465051568084273e-7,MB_vs_EPN_like,PSAT1,29968,Down
SYNM,-3.7201264965704652,1.6277514088627832e-7,MB_vs_EPN_like,SYNM,23336,Down
RDX,-1.793994044290102,2.0141149616903257e-7,MB_vs_EPN_like,RDX,5962,Down
PROM1,-1.6259396960316295,2.806308104475055e-7,MB_vs_EPN_like,PROM1,8842,Down
PTPRA,-2.0514603872210806,6.112817356342501e-7,MB_vs_EPN_like,PTPRA,5786,Down
TST,-2.6642065913857778,7.645745942024337e-7,MB_vs_EPN_like,TST,7263,Down
HIBCH,-1.541147184725947,9.376330803793552e-7,MB_vs_EPN_like,HIBCH,26275,Down
ATP2B4,-2.4196706331606244,1.3417808389493102e-6,MB_vs_EPN_like,ATP2B4,493,Down
SYPL1,-2.532815610064379,1.3468245874958166e-6,MB_vs_EPN_like,SYPL1,6856,Down
DECR1,-2.080332353692448,1.3468245874958166e-6,MB_vs_EPN_like,DECR1,1666,Down
PLEC,-2.791406869505945,1.679862360976993e-6,MB_vs_EPN_like,PLEC,5339,Down
QKI,-1.9998965144816871,2.449581571678908e-6,MB_vs_EPN_like,QKI,9444,Down
ATP1A1,-2.815018382048077,2.9279941081758237e-6,MB_vs_EPN_like,ATP1A1,476,Down
PON2,-2.9019489263711087,3.1369997540738655e-6,MB_vs_EPN_like,PON2,5445,Down
IFT81,-1.9719264811718773,4.348428850848273e-6,MB_vs_EPN_like,IFT81,28981,Down
HADHB,-1.6224030085104388,4.502279701815163e-6,MB_vs_EPN_like,HADHB,3032,Down
ABAT,-3.7829722948092694,4.755789934105206e-6,MB_vs_EPN_like,ABAT,18,Down
FDXR,-2.1301052639027738,4.959203624307224e-6,MB_vs_EPN_like,FDXR,2232,Down
DDAH1,-2.936342837586878,5.549254307359387e-6,MB_vs_EPN_like,DDAH1,23576,Down
HSPA2,-4.2619783467930255,5.569362921850748e-6,MB_vs_EPN_like,HSPA2,3306,Down
GNG12,-2.400633992819781,6.216190772370854e-6,MB_vs_EPN_like,GNG12,55970,Down
AGA,-2.818118804119102,6.972325300518869e-6,MB_vs_EPN_like,AGA,175,Down
DPCD,-1.633386414458343,8.462188386467738e-6,MB_vs_EPN_like,DPCD,25911,Down
SGSH,-1.6277043338530675,1.0592606674638167e-5,MB_vs_EPN_like,SGSH,6448,Down
ERLIN2,-2.0780605936173266,1.1585427500593975e-5,MB_vs_EPN_like,ERLIN2,11160,Down
HADHA,-1.5101705509658743,1.2184782022359837e-5,MB_vs_EPN_like,HADHA,3030,Down
REEP6,-2.4989259214393442,1.2304966217131438e-5,MB_vs_EPN_like,REEP6,92840,Down
DYNC2H1,-2.0866636401219125,1.2764344403664838e-5,MB_vs_EPN_like,DYNC2H1,79659,Down
CCDC8,-1.4777033030640752,1.3851280342890243e-5,MB_vs_EPN_like,CCDC8,83987,Down
MAOB,-3.956699610807192,1.5371273374770116e-5,MB_vs_EPN_like,MAOB,4129,Down
GNG5,-2.367671056416235,1.6459895679263118e-5,MB_vs_EPN_like,GNG5,2787,Down
SUCLG2,-1.9428804374454351,1.763060397498138e-5,MB_vs_EPN_like,SUCLG2,8801,Down
LZTFL1,-2.29432021331154,1.9256726308863174e-5,MB_vs_EPN_like,LZTFL1,54585,Down
GMPR,-3.8828052939339415,2.257970332495265e-5,MB_vs_EPN_like,GMPR,2766,Down
ABHD11,-2.081111110768621,2.3303936259991506e-5,MB_vs_EPN_like,ABHD11,83451,Down
SEPTIN10,-2.934785547479013,2.41889993598455e-5,MB_vs_EPN_like,SEPTIN10,151011,Down
DYNC2I2,-1.4651397521078025,2.9548733307347332e-5,MB_vs_EPN_like,DYNC2I2,89891,Down
FARP1,-1.7731602742967851,3.364743597809849e-5,MB_vs_EPN_like,FARP1,10160,Down
CST3,-3.7237893606779906,3.3698258267781776e-5,MB_vs_EPN_like,CST3,1471,Down
GNAI2,-1.7555804045235845,3.474915698273777e-5,MB_vs_EPN_like,GNAI2,2771,Down
IVD,-1.543405793812969,3.52125531225602e-5,MB_vs_EPN_like,IVD,3712,Down
SLC1A3,-4.2010804106878865,4.163388566851193e-5,MB_vs_EPN_like,SLC1A3,6507,Down
STXBP3,-1.4114489540797663,4.163388566851193e-5,MB_vs_EPN_like,STXBP3,6814,Down
PLTP,-2.5280583459192663,4.530849809087132e-5,MB_vs_EPN_like,PLTP,5360,Down
GALNT3,-1.9303097915710872,4.6040669592621665e-5,MB_vs_EPN_like,GALNT3,2591,Down
UFC1,-1.3420802729477082,4.6040669592621665e-5,MB_vs_EPN_like,UFC1,51506,Down
PTGR2,-1.935469850432348,4.605572341756196e-5,MB_vs_EPN_like,PTGR2,145482,Down
HSD17B8,-2.129847411187857,4.741938324466492e-5,MB_vs_EPN_like,HSD17B8,7923,Down
PYCR3,-1.8227682005103034,5.0006613058637935e-5,MB_vs_EPN_like,PYCR3,65263,Down
ECHDC1,-1.623050984554311,5.069438957162606e-5,MB_vs_EPN_like,ECHDC1,55862,Down
ACAA1,-1.6334999515367343,5.363927813758351e-5,MB_vs_EPN_like,ACAA1,30,Down
DYNC2LI1,-1.3870966678042045,5.5035649849056203e-5,MB_vs_EPN_like,DYNC2LI1,51626,Down
B3GLCT,-1.5484384130342868,5.556372874773382e-5,MB_vs_EPN_like,B3GLCT,145173,Down
COPS7A,-1.301584217428914,5.597891149153137e-5,MB_vs_EPN_like,COPS7A,50813,Down
CMBL,-1.8176364488031993,5.8225658917293204e-5,MB_vs_EPN_like,CMBL,134147,Down
CRAT,-1.6065428861693754,6.3334700556518e-5,MB_vs_EPN_like,CRAT,1384,Down
DPP8,-1.4438437266345154,6.8176495400831e-5,MB_vs_EPN_like,DPP8,54878,Down
