Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
MEX3A,3.566226515036977,6.66515872173019e-19,MB_vs_EPN_like,MEX3A,92312,Up
RCOR2,3.226256945176896,2.5814823000902623e-18,MB_vs_EPN_like,RCOR2,283248,Up
ZNF316,3.3954923632930374,4.785907790900588e-18,MB_vs_EPN_like,ZNF316,100131017,Up
CGGBP1,3.2840356417525634,7.361522017042847e-18,MB_vs_EPN_like,CGGBP1,8545,Up
STEEP1,3.3022346451234412,9.626544248442111e-18,MB_vs_EPN_like,STEEP1,63932,Up
XKR7,3.2224426448216317,3.675835211625901e-17,MB_vs_EPN_like,XKR7,343702,Up
MORC2,3.1384329820128514,3.3903797389992026e-16,MB_vs_EPN_like,MORC2,22880,Up
RBM15B,2.940883024009228,2.5230946313597305e-15,MB_vs_EPN_like,RBM15B,29890,Up
SMARCAD1,2.384653182524506,2.6205274286202184e-14,MB_vs_EPN_like,SMARCAD1,56916,Up
DHX8,2.4153763493716447,1.3570119815797235e-13,MB_vs_EPN_like,DHX8,1659,Up
CBLL1,1.9509720598829112,1.4429693227672516e-13,MB_vs_EPN_like,CBLL1,79872,Up
GPC2,3.807095814869662,1.1447374121474887e-12,MB_vs_EPN_like,GPC2,221914,Up
SIRT1,2.9032397996068866,1.1447374121474887e-12,MB_vs_EPN_like,SIRT1,23411,Up
BRD1,2.3328342206514776,1.1447374121474887e-12,MB_vs_EPN_like,BRD1,23774,Up
SLU7,2.1693696146918846,1.8671719857985977e-12,MB_vs_EPN_like,SLU7,10569,Up
MAPK8,3.6837167304938134,2.740677880268458e-12,MB_vs_EPN_like,MAPK8,5599,Up
ZNF219,2.3272220119397353,5.351078725644572e-12,MB_vs_EPN_like,ZNF219,51222,Up
HIRIP3,3.352943016367931,9.838306424132807e-12,MB_vs_EPN_like,HIRIP3,8479,Up
ZIC1,3.65613328996254,1.6055709931174142e-11,MB_vs_EPN_like,ZIC1,7545,Up
NSD2,3.434545323161638,1.9045026095609015e-11,MB_vs_EPN_like,NSD2,7468,Up
KBTBD6,3.564931915110293,2.292892125789165e-11,MB_vs_EPN_like,KBTBD6,89890,Up
ZNF280C,3.2806411929203954,3.9923227438964296e-11,MB_vs_EPN_like,ZNF280C,55609,Up
ZIC4,3.8702034141889534,4.876281527334189e-11,MB_vs_EPN_like,ZIC4,84107,Up
SUMO2,2.4814734803652563,5.773680944459666e-11,MB_vs_EPN_like,SUMO2,6613,Up
CBX2,3.2380397214478727,6.121949224073086e-11,MB_vs_EPN_like,CBX2,84733,Up
RNASEH2B,2.458476117508443,6.121949224073086e-11,MB_vs_EPN_like,RNASEH2B,79621,Up
MCM5,2.5209658112704183,2.8315291461179246e-10,MB_vs_EPN_like,MCM5,4174,Up
NR2C2,2.491113746886711,3.2130437444603943e-10,MB_vs_EPN_like,NR2C2,7182,Up
PCBP4,2.5265919674026875,3.642086932316924e-10,MB_vs_EPN_like,PCBP4,57060,Up
