Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
QKI,-2.910700419286325,1.687882218959499e-12,MB_vs_Glial,QKI,9444,Down
PRKCA,-4.350074509973524,3.267084768280123e-12,MB_vs_Glial,PRKCA,5578,Down
SNX5,-2.2792810888942583,3.8949933864608355e-12,MB_vs_Glial,SNX5,27131,Down
RHOG,-2.305473196190384,4.333349561781305e-12,MB_vs_Glial,RHOG,391,Down
SEPTIN8,-3.312388732201061,7.268600498118493e-12,MB_vs_Glial,SEPTIN8,23176,Down
ECHDC1,-2.6457676769265213,1.0221194570188386e-11,MB_vs_Glial,ECHDC1,55862,Down
SYNM,-4.058152315969043,5.538761971405964e-11,MB_vs_Glial,SYNM,23336,Down
CBR1,-3.4664881401453833,6.72829298862021e-11,MB_vs_Glial,CBR1,873,Down
ANXA7,-1.9238861833438214,8.8519229610403e-11,MB_vs_Glial,ANXA7,310,Down
RHOC,-2.3175359755097666,1.9710540114389973e-10,MB_vs_Glial,RHOC,389,Down
ATP1B2,-3.4837680038222665,2.5886846101552134e-10,MB_vs_Glial,ATP1B2,482,Down
PON2,-3.4765330368986334,2.810117509067013e-10,MB_vs_Glial,PON2,5445,Down
PLEC,-3.1911364603305223,3.648439026362477e-10,MB_vs_Glial,PLEC,5339,Down
MAPK1,-2.712051978753724,3.693096056622427e-10,MB_vs_Glial,MAPK1,5594,Down
GNB4,-2.909090644406554,3.876123508449125e-10,MB_vs_Glial,GNB4,59345,Down
ABAT,-4.497441260633636,5.79245035339435e-10,MB_vs_Glial,ABAT,18,Down
ALDOC,-4.990655122283034,6.0170614600973e-10,MB_vs_Glial,ALDOC,230,Down
ACAA1,-2.2527365660056624,6.488543638434883e-10,MB_vs_Glial,ACAA1,30,Down
SLC44A1,-2.919480653907957,6.49190630088938e-10,MB_vs_Glial,SLC44A1,23446,Down
MAPK3,-2.616208381705583,7.457774121090516e-10,MB_vs_Glial,MAPK3,5595,Down
PREX1,-2.5859380449675875,7.789364530313776e-10,MB_vs_Glial,PREX1,57580,Down
HSDL2,-2.5808780107106237,8.014799838526497e-10,MB_vs_Glial,HSDL2,84263,Down
MAOB,-4.948347536047496,9.072623250633903e-10,MB_vs_Glial,MAOB,4129,Down
STXBP3,-1.8671377023102842,1.1160254171984102e-9,MB_vs_Glial,STXBP3,6814,Down
CD44,-4.486968996775552,1.1391916727978169e-9,MB_vs_Glial,CD44,960,Down
ITGAV,-2.534862393968986,1.1418462062879644e-9,MB_vs_Glial,ITGAV,3685,Down
CAMK2D,-2.6582534230319688,1.8394070030758633e-9,MB_vs_Glial,CAMK2D,817,Down
ENDOD1,-2.73891156980358,2.225622937280342e-9,MB_vs_Glial,ENDOD1,23052,Down
SCD5,-3.1193481673929284,2.383493466644029e-9,MB_vs_Glial,SCD5,79966,Down
ATP2B4,-2.515237163063688,2.4568903931843873e-9,MB_vs_Glial,ATP2B4,493,Down
VPS35L,-1.3805466289664068,2.503117585356204e-9,MB_vs_Glial,VPS35L,57020,Down
SERPINB6,-2.430127458495374,3.1339342703844086e-9,MB_vs_Glial,SERPINB6,5269,Down
GAPDH,-1.582013869337036,3.2971658420189826e-9,MB_vs_Glial,GAPDH,2597,Down
EPB41L2,-2.7892869056524603,4.228516408451809e-9,MB_vs_Glial,EPB41L2,2037,Down
SNX3,-1.7399457386187613,4.234237254669781e-9,MB_vs_Glial,SNX3,8724,Down
