Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
MEX3A,3.8124138874216307,3.421645344132729e-23,MB_vs_Glial,MEX3A,92312,Up
RCOR2,3.402732515189662,2.357009815697314e-22,MB_vs_Glial,RCOR2,283248,Up
ZNF316,3.6272498501795667,2.8398352634627187e-22,MB_vs_Glial,ZNF316,100131017,Up
CGGBP1,3.4980098894957585,5.01099282623264e-22,MB_vs_Glial,CGGBP1,8545,Up
STEEP1,3.5294547973334396,5.902958539680675e-22,MB_vs_Glial,STEEP1,63932,Up
XKR7,3.4462344476588314,2.3659114865087663e-21,MB_vs_Glial,XKR7,343702,Up
MORC2,3.353478101941345,2.5440706501893416e-20,MB_vs_Glial,MORC2,22880,Up
RBM15B,3.131851885342112,2.416513070372123e-19,MB_vs_Glial,RBM15B,29890,Up
SMARCAD1,2.540939934563717,2.884875381320484e-18,MB_vs_Glial,SMARCAD1,56916,Up
CBLL1,2.16597160254031,4.765453323202887e-18,MB_vs_Glial,CBLL1,79872,Up
DHX8,2.574909295582046,1.516738252662813e-17,MB_vs_Glial,DHX8,1659,Up
BRD1,2.587975331525403,5.0903437704567696e-17,MB_vs_Glial,BRD1,23774,Up
GPC2,4.072171715479882,1.4951333461228562e-16,MB_vs_Glial,GPC2,221914,Up
SIRT1,3.1002214840226223,1.53830883043759e-16,MB_vs_Glial,SIRT1,23411,Up
SLU7,2.3470357367317938,1.7814095686116976e-16,MB_vs_Glial,SLU7,10569,Up
ZNF219,2.576060663704652,2.792629905919529e-16,MB_vs_Glial,ZNF219,51222,Up
MAPK8,3.9341923534913086,3.991746655863967e-16,MB_vs_Glial,MAPK8,5599,Up
HIRIP3,3.5837728076573985,1.6962043989876643e-15,MB_vs_Glial,HIRIP3,8479,Up
SMARCA5,2.609333865683034,1.8473689042879786e-15,MB_vs_Glial,SMARCA5,8467,Up
ZIC1,3.905901705068352,2.8263008881285944e-15,MB_vs_Glial,ZIC1,7545,Up
NSD2,3.6781190937408166,3.171013672691899e-15,MB_vs_Glial,NSD2,7468,Up
KBTBD6,3.826813472780623,3.624785933532107e-15,MB_vs_Glial,KBTBD6,89890,Up
MSH6,2.8691872000521705,4.068196751371037e-15,MB_vs_Glial,MSH6,2956,Up
ZNF280C,3.510469784975525,6.9784261914723426e-15,MB_vs_Glial,ZNF280C,55609,Up
HMGB3,2.956908600721441,6.9784261914723426e-15,MB_vs_Glial,HMGB3,3149,Up
RNASEH2B,2.677564483024131,7.182125067798308e-15,MB_vs_Glial,RNASEH2B,79621,Up
WIZ,2.524978120736801,7.998528194767877e-15,MB_vs_Glial,WIZ,58525,Up
ZIC4,4.1364925045103895,8.407043851508855e-15,MB_vs_Glial,ZIC4,84107,Up
NR2C2,2.8553623351473405,8.504320821489882e-15,MB_vs_Glial,NR2C2,7182,Up
GSE1,2.6433617616231864,9.577703839823923e-15,MB_vs_Glial,GSE1,23199,Up
CBX2,3.461338098064539,1.0993757138560592e-14,MB_vs_Glial,CBX2,84733,Up
DCX,3.9695307632387262,1.6808874786866113e-14,MB_vs_Glial,DCX,1641,Up
DCP1A,2.5745667994648684,2.3387177897018748e-14,MB_vs_Glial,DCP1A,55802,Up
SUMO2,2.5670563321290274,2.5149146295376844e-14,MB_vs_Glial,SUMO2,6613,Up
PHC2,2.2107266359678697,2.5149146295376844e-14,MB_vs_Glial,PHC2,1912,Up
NRF1,1.9747028171886356,3.0004068144358123e-14,MB_vs_Glial,NRF1,4899,Up
HMGB2,4.00791357546305,4.181575683491132e-14,MB_vs_Glial,HMGB2,3148,Up
MCM6,3.273544458238561,4.5894053065465354e-14,MB_vs_Glial,MCM6,4175,Up
ZMYM4,2.182147356061069,8.194455486858158e-14,MB_vs_Glial,ZMYM4,9202,Up
MBD3,1.891989366319983,8.194455486858158e-14,MB_vs_Glial,MBD3,53615,Up
KDM1A,2.6276604345576295,8.442540257277681e-14,MB_vs_Glial,KDM1A,23028,Up
MCM7,2.9658266923783927,1.0896043276200189e-13,MB_vs_Glial,MCM7,4176,Up
HDAC2,2.753266073181205,1.159505545203244e-13,MB_vs_Glial,HDAC2,3066,Up
BAZ1B,2.4095960468873976,1.159505545203244e-13,MB_vs_Glial,BAZ1B,9031,Up
RBM33,2.0064522903955044,1.159505545203244e-13,MB_vs_Glial,RBM33,155435,Up
LIG3,2.0287028480105853,1.1753104584505182e-13,MB_vs_Glial,LIG3,3980,Up
PDS5A,2.075977154610719,1.2272083615567758e-13,MB_vs_Glial,PDS5A,23244,Up
SENP3,1.8910014933849446,1.3230798774432688e-13,MB_vs_Glial,SENP3,26168,Up
USP48,1.8612379194456565,1.3230798774432688e-13,MB_vs_Glial,USP48,84196,Up
KIF4A,2.6195750517288303,1.3476304006964968e-13,MB_vs_Glial,KIF4A,24137,Up
SMC6,2.2622636408985883,1.767774901983849e-13,MB_vs_Glial,SMC6,79677,Up
NSMCE4A,2.5337680492708756,1.9200141897255458e-13,MB_vs_Glial,NSMCE4A,54780,Up
MCM3,3.5928351001371013,2.703771369205089e-13,MB_vs_Glial,MCM3,4172,Up
MCM5,2.5337049233714843,2.703771369205089e-13,MB_vs_Glial,MCM5,4174,Up
RNF2,1.805183994126537,2.703771369205089e-13,MB_vs_Glial,RNF2,6045,Up
PCBP4,2.560232700324427,2.8500169883566424e-13,MB_vs_Glial,PCBP4,57060,Up
MSH2,2.560742370415582,2.929802379677031e-13,MB_vs_Glial,MSH2,4436,Up
MCM2,3.0925660646705815,2.9859873096905095e-13,MB_vs_Glial,MCM2,4171,Up
INO80C,2.907986582371805,3.0356628320039824e-13,MB_vs_Glial,INO80C,125476,Up
MAB21L1,4.024899067586986,3.1652041560663187e-13,MB_vs_Glial,MAB21L1,4081,Up
BPTF,2.616637325535038,3.270997663484024e-13,MB_vs_Glial,BPTF,2186,Up
FEN1,3.071202417286198,3.922355057444745e-13,MB_vs_Glial,FEN1,2237,Up
FRG1,1.905479415902679,3.997862909709689e-13,MB_vs_Glial,FRG1,2483,Up
NFYC,1.8624991233435573,3.997862909709689e-13,MB_vs_Glial,NFYC,4802,Up
SMARCC1,2.436953128060111,4.066465579652044e-13,MB_vs_Glial,SMARCC1,6599,Up
DNAJC9,1.983234726813837,4.215425802680731e-13,MB_vs_Glial,DNAJC9,23234,Up
NASP,3.1159716133224755,4.94892270944435e-13,MB_vs_Glial,NASP,4678,Up
CLGN,2.991993567254326,4.94892270944435e-13,MB_vs_Glial,CLGN,1047,Up
RIOX2,2.456749910900413,4.94892270944435e-13,MB_vs_Glial,RIOX2,84864,Up
ZNF512,2.2004687320392016,4.94892270944435e-13,MB_vs_Glial,ZNF512,84450,Up
RBM6,2.8629657976818272,5.49451357973435e-13,MB_vs_Glial,RBM6,10180,Up
CTDSPL2,1.8355400631424565,5.49451357973435e-13,MB_vs_Glial,CTDSPL2,51496,Up
XRCC1,2.455933325745921,5.500037292741425e-13,MB_vs_Glial,XRCC1,7515,Up
MSL1,2.1158803908910784,5.722159202445319e-13,MB_vs_Glial,MSL1,339287,Up
EBF2,3.396198469368498,6.656911945263309e-13,MB_vs_Glial,EBF2,64641,Up
DACH1,2.971649111676488,6.656911945263309e-13,MB_vs_Glial,DACH1,1602,Up
EHMT1,1.9835128752767588,6.656911945263309e-13,MB_vs_Glial,EHMT1,79813,Up
EP400,1.8201187990695011,6.656911945263309e-13,MB_vs_Glial,EP400,57634,Up
PPP1R10,1.656208041257262,6.656911945263309e-13,MB_vs_Glial,PPP1R10,5514,Up
EED,2.253766867475509,7.711440119650273e-13,MB_vs_Glial,EED,8726,Up
UBTF,2.3895709478427136,8.556176588885988e-13,MB_vs_Glial,UBTF,7343,Up
POGZ,2.057539653091517,8.720254997701498e-13,MB_vs_Glial,POGZ,23126,Up
SPEN,1.6267732934980828,9.149905978443666e-13,MB_vs_Glial,SPEN,23013,Up
NCOR1,1.8591284447531642,1.0150103869927668e-12,MB_vs_Glial,NCOR1,9611,Up
CBX1,2.4255983909895207,1.0551556297371879e-12,MB_vs_Glial,CBX1,10951,Up
NCAPG,2.3746844934712392,1.1878141142942609e-12,MB_vs_Glial,NCAPG,64151,Up
SMARCA4,2.855328907766289,1.2037941245586485e-12,MB_vs_Glial,SMARCA4,6597,Up
GTF2I,2.6521151975639192,1.2037941245586485e-12,MB_vs_Glial,GTF2I,2969,Up
DDX39A,2.263529993023319,1.2224346455143146e-12,MB_vs_Glial,DDX39A,10212,Up
ATF7IP,1.7276619491620302,1.2327902593877796e-12,MB_vs_Glial,ATF7IP,55729,Up
