Gene_original,Gene_limpo,ENTREZID
IGKV3-7,IGKV3-7,28915
IGLV4-69,IGLV4-69,28784
IGLV8-61,IGLV8-61,28774
IGKV3D-15,IGKV3D-15,28875
IGHV1-45,IGHV1-45,28466
IGHV3-49,IGHV3-49,28423
IGHV6-1,IGHV6-1,28385
IGHV3-15,IGHV3-15,28448
IGHV2-26,IGHV2-26,28455
IGHV3-74,IGHV3-74,28408
IGHV3-43,IGHV3-43,28426
IGHV3-72,IGHV3-72,28410
IGKV3D-20,IGKV3D-20,28874
IGHV1-3,IGHV1-3,28473
IGHV1-18,IGHV1-18,28468
IGHV4-28,IGHV4-28,28400
IGHV3-35,IGHV3-35,28432
IGHV3-38,IGHV3-38,28429
IGHV5-51,IGHV5-51,28388
IGHV2-70D,IGHV2-70D,102723168
IGHV3-64D,IGHV3-64D,102723170
IGHV5-10-1,IGHV5-10-1,28386
RBM47,RBM47,54502
IFT56,IFT56,79989
UBA6,UBA6,55236
ESYT2,ESYT2,57488
SHTN1,SHTN1,57698
MEX3A,MEX3A,92312
ILVBL,ILVBL,10994
SH3PXD2B,SH3PXD2B,285590
NBAS,NBAS,51594
TARS3,TARS3,123283
FAM234B,FAM234B,57613
SSPOP,SSPOP,23145
VWA8,VWA8,23078
SBNO1,SBNO1,55206
WDR91,WDR91,29062
CNOT1,CNOT1,23019
C2orf72,C2orf72,257407
PGP,PGP,283871
BTBD17,BTBD17,388419
ZNF316,ZNF316,100131017
TUBAL3,TUBAL3,79861
FBLL1,FBLL1,345630
SMCHD1,SMCHD1,23347
CCDC154,CCDC154,645811
UNC119B,UNC119B,84747
RTL8C,RTL8C,8933
ARHGAP32,ARHGAP32,9743
DISP2,DISP2,85455
FAM171A2,FAM171A2,284069
NUDT19,NUDT19,390916
MYO1G,MYO1G,64005
MCRIP1,MCRIP1,348262
NACA,NACA,4666
CROCC2,CROCC2,728763
DNASE2,DNASE2,1777
AGPS,AGPS,8540
KIF2A,KIF2A,3796
TK2,TK2,7084
DDX39A,DDX39A,10212
PDLIM1,PDLIM1,9124
ACOT7,ACOT7,11332
MYO1C,MYO1C,4641
MYO1F,MYO1F,4542
SNAP23,SNAP23,8773
HAX1,HAX1,10456
FXYD1,FXYD1,5348
AIP,AIP,9049
GTPBP1,GTPBP1,9567
LGALS9,LGALS9,3965
STXBP3,STXBP3,6814
ARVCF,ARVCF,421
SMAP,SMAP,NA
RAB27B,RAB27B,5874
AP3B1,AP3B1,8546
NDUFS8,NDUFS8,4728
PSMD11,PSMD11,5717
PSMD12,PSMD12,5718
PSMD9,PSMD9,5715
ATOX1,ATOX1,475
MEN1,MEN1,4221
GET1,GET1,7485
PGRMC1,PGRMC1,10857
SUPT5H,SUPT5H,6829
DFFA,DFFA,1676
HIP1,HIP1,3092
CLIC1,CLIC1,1192
EIF3F,EIF3F,8665
WWP2,WWP2,11060
PIK3CD,PIK3CD,5293
PDHX,PDHX,8050
MATN2,MATN2,4147
QSOX1,QSOX1,5768
DCTN6,DCTN6,10671
SLC33A1,SLC33A1,9197
WASL,WASL,8976
IPO5,IPO5,3843
SAP18,SAP18,10284
EML1,EML1,2009
IGF2BP3,IGF2BP3,10643
DNM1L,DNM1L,10059
RTCA,RTCA,8634
PIK3C2A,PIK3C2A,5286
GFRA2,GFRA2,2675
GOLIM4,GOLIM4,27333
AGRN,AGRN,375790
PLOD2,PLOD2,5352
EXOC5,EXOC5,10640
BTN3A3,BTN3A3,10384
HMGN4,HMGN4,10473
NDUFA4,NDUFA4,NA
PSMD14,PSMD14,10213
BIN1,BIN1,274
CLDN5,CLDN5,7122
KPNA3,KPNA3,3839
CHL1,CHL1,10752
VWA5A,VWA5A,4013
PES1,PES1,23481
SDCBP,SDCBP,6386
PITPNM1,PITPNM1,9600
MPHOSPH10,MPHOSPH10,10199
NOP56,NOP56,10528
DDX3X,DDX3X,1654
RNASET2,RNASET2,8635
PODXL,PODXL,5420
PIR,PIR,8544
KPNA4,KPNA4,3840
NFIB,NFIB,4781
PPP6C,PPP6C,5537
NME4,NME4,4833
CES2,CES2,8824
MAN2B1,MAN2B1,4125
PDXK,PDXK,8566
SCD,SCD,6319
PLPP1,PLPP1,8611
PLPP3,PLPP3,8613
ARID1A,ARID1A,8289
CDK2AP1,CDK2AP1,8099
C2CD2L,C2CD2L,9854
NEMP1,NEMP1,23306
ASTN1,ASTN1,460
TXNDC9,TXNDC9,10190
DPYSL4,DPYSL4,10570
TRAFD1,TRAFD1,10906
COX7A2L,COX7A2L,9167
NDUFAB1,NDUFAB1,4706
UBFD1,UBFD1,56061
DYNC1I1,DYNC1I1,1780
COPE,COPE,11316
NCAN,NCAN,1463
EIF1AY,EIF1AY,9086
AP3D1,AP3D1,8943
CCS,CCS,9973
ABLIM1,ABLIM1,3983
CHD2,CHD2,1106
GOSR2,GOSR2,9570
TOR1A,TOR1A,1861
TOR1B,TOR1B,27348
STX16,STX16,8675
ADAM10,ADAM10,102
EI24,EI24,9538
TP53I11,TP53I11,9537
APAF1,APAF1,317
CDIPT,CDIPT,10423
PDCD5,PDCD5,9141
PRMT5,PRMT5,10419
NHERF1,NHERF1,9368
FPGT,FPGT,8790
TPP1,TPP1,1200
GNB5,GNB5,10681
TCERG1,TCERG1,10915
NRP1,NRP1,8829
TNPO2,TNPO2,30000
APOL1,APOL1,8542
UNC13B,UNC13B,10497
MRAS,MRAS,22808
PSMA7,PSMA7,5688
SCAMP3,SCAMP3,10067
OPLAH,OPLAH,26873
BCKDK,BCKDK,10295
IFIT3,IFIT3,3437
MGST3,MGST3,4259
GEMIN2,GEMIN2,8487
TAX1BP3,TAX1BP3,30851
GIPC1,GIPC1,10755
LIN7A,LIN7A,8825
IKBKB,IKBKB,3551
RGS12,RGS12,6002
TIMM23,TIMM23,100287932
HAT1,HAT1,8520
UBE2L6,UBE2L6,9246
CASK,CASK,8573
PLD2,PLD2,5338
UQCRQ,UQCRQ,27089
HGS,HGS,9146
CLGN,CLGN,1047
VPS26C,VPS26C,10311
PPP1R12A,PPP1R12A,4659
GAK,GAK,2580
HNRNPDL,HNRNPDL,9987
XPO1,XPO1,7514
BTAF1,BTAF1,9044
ARHGEF10,ARHGEF10,9639
ZNF609,ZNF609,23060
SPTBN2,SPTBN2,6712
SEC16A,SEC16A,9919
PLXNB2,PLXNB2,23654
TECPR2,TECPR2,9895
U2SURP,U2SURP,23350
SETD1A,SETD1A,9739
SYNM,SYNM,23336
KIF3B,KIF3B,9371
PFAS,PFAS,5198
NACAD,NACAD,23148
DCLK1,DCLK1,9201
ARHGEF11,ARHGEF11,9826
ZNF536,ZNF536,9745
PRORP,PRORP,9692
CHUK,CHUK,1147
FYB1,FYB1,2533
NPC1,NPC1,4864
DEGS1,DEGS1,8560
ANGPT2,ANGPT2,285
SCAMP1,SCAMP1,9522
SCAMP2,SCAMP2,10066
ARPC1B,ARPC1B,10095
ARPC2,ARPC2,10109
ARPC3,ARPC3,10094
POLR1C,POLR1C,9533
