"","ATRT_vs_MB | Down","ATRT_vs_EPN_like | Up","ATRT_vs_Glial | Up","MB_vs_EPN_like | Up","MB_vs_Glial | Up","EPN_like_vs_Glial | Up"
"chromatin organization",-52.5468444051467,0,2.41667637787792,49.5785079153252,84.763216317225,2.05853031678804
"negative regulation of nucleobase-containing compound metabolic process",-39.253536920235,0,0,24.6505652149606,50.6867107402367,2.694680334302
"negative regulation of RNA metabolic process",-38.9488712201261,0,0,20.8638975141451,48.0943277085943,2.22384271881078
"chromatin remodeling",-38.9333110706407,0,1.52530852026236,38.0410337520655,61.7909098550975,0
"negative regulation of DNA-templated transcription",-35.986426161346,0,0,19.6172943158895,38.3359133731705,1.56286429176011
"negative regulation of RNA biosynthetic process",-35.8951843548229,0,0,19.5206245664825,38.1687924707842,1.55793038795253
"negative regulation of transcription by RNA polymerase II",-28.2255084410746,0,0,16.2335852150377,28.024753347113,1.40137342252554
"DNA metabolic process",-25.4417787187803,0,8.67244995901656,41.624195077212,56.4364075407167,1.37703682510802
"DNA repair",-23.8154678095621,0,4.81272629986737,28.6343797017189,44.7966204294943,0
"positive regulation of RNA biosynthetic process",-23.2603368257717,0,0,19.1112497620896,35.5660965894397,0
"DNA damage response",-23.168023640972,0,2.82460059493611,22.3974499708829,38.2692702142063,1.39685596227857
"positive regulation of DNA-templated transcription",-23.0072861447657,0,0,18.8401057963174,35.3300058561712,0
"DNA recombination",-20.4237638179431,0,4.57450661350715,25.7776085409273,31.6257919513748,1.66206597668311
"positive regulation of transcription by RNA polymerase II",-18.9828204704842,0,0,15.1329931179283,25.1381291424706,1.39752614905342
"epigenetic regulation of gene expression",-18.720594324923,0,0,13.4862654403115,25.6691589687801,0
"chromosome organization",-18.6105524215305,0,3.57133825454193,21.339523819413,32.4755304231004,0
"protein-DNA complex organization",-18.5070431031477,0,0,22.2526605962328,29.5300864787305,0
"mRNA processing",-18.3914088195562,0,0,10.3817256793173,122.503092196979,0
"RNA splicing",-18.1803509551459,0,0,8.84714813190163,106.08604933085,0
"double-strand break repair",-18.0708569860783,0,2.82460059493611,17.216702797197,25.2876240671289,0
"regulation of DNA metabolic process",-17.8339411645214,0,5.90559975842319,27.9010183100035,35.9935028406678,0
"mRNA metabolic process",-17.812578941912,0,0,12.4653671987951,106.85714982385,0
"protein-DNA complex assembly",-15.7733774308732,0,1.96178680705838,22.078633108486,26.1718377881036,0
"RNA splicing, via transesterification reactions",-15.6996628206981,0,0,5.08544746424318,86.0230915565241,0
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",-15.5249645022146,0,0,4.58785503247237,84.1811825972721,0
"mRNA splicing, via spliceosome",-15.5249645022146,0,0,4.58785503247237,84.1811825972721,0
"regulation of RNA splicing",-9.98932235043736,0,0,2.73966834662302,30.8693759194037,0
"regulation of mRNA metabolic process",-8.96234226184839,0,0,2.51531420517135,27.7556802397646,0
"regulation of mRNA processing",-8.38069654964771,0,0,1.86906853304152,29.6728969116216,0
"regulation of mRNA splicing, via spliceosome",-7.49067382702481,0,0,1.92094213731383,25.1661902203096,0
"DNA replication",-6.47973564596644,0,7.77261153905436,17.216702797197,26.9866301317729,0
"ribosome biogenesis",0,21.3791697769185,29.2521929915315,37.2326119322579,35.950043868042,0
"rRNA processing",0,20.15031921856,28.5334533282748,38.2491707944576,38.5125388229035,0
"rRNA metabolic process",0,18.9202181729893,26.0122968191874,43.1348931920589,46.8641667319281,0
"ribonucleoprotein complex biogenesis",0,13.6258513895643,20.4324204204045,26.6120071469585,54.4579611500418,0
