"","ATRT_vs_Glial","ATRT_vs_MB","EPN_like_vs_Glial","MB_vs_EPN_like","MB_vs_Glial","ATRT_vs_EPN_like"
"chromatin organization",2.41667637787792,-8,2.05853031678804,8,8,0
"chromatin remodeling",1.52530852026236,-8,0,8,8,0
"rRNA metabolic process",8,0,0,8,8,8
"rRNA processing",8,0,0,8,8,8
"ribosome biogenesis",8,0,0,8,8,8
"negative regulation of nucleobase-containing compound metabolic process",0,-8,2.694680334302,8,8,0
"ribonucleoprotein complex biogenesis",8,0,0,8,8,8
"negative regulation of RNA metabolic process",0,-8,2.22384271881078,8,8,0
"DNA metabolic process",8,-8,1.37703682510802,8,8,0
"DNA repair",4.81272629986737,-8,0,8,8,0
"negative regulation of DNA-templated transcription",0,-8,1.56286429176011,8,8,0
"negative regulation of RNA biosynthetic process",0,-8,1.55793038795253,8,8,0
"regulation of DNA metabolic process",5.90559975842319,-8,0,8,8,0
"chromosome organization",3.57133825454193,-8,0,8,8,0
"negative regulation of transcription by RNA polymerase II",0,-8,1.40137342252554,8,8,0
"DNA damage response",2.82460059493611,-8,1.39685596227857,8,8,0
"DNA recombination",4.57450661350715,-8,1.66206597668311,8,8,0
"protein-DNA complex assembly",1.96178680705838,-8,0,8,8,0
"double-strand break repair",2.82460059493611,-8,0,8,8,0
"nucleosome assembly",3.82198537498747,-8,1.40137342252554,8,8,0
"microtubule-based process",-1.32479184590248,-1.56086583291563,8,-6.92622549131865,0,-8
"monocarboxylic acid metabolic process",-4.26865028173117,3.61896820815102,-1.33798961517708,-3.78794953231363,-7.08710033334506,0
"double-strand break repair via break-induced replication",4.53474017975423,-2.28160927561606,0,3.61387497996732,3.17327340208129,4.93001241868017
"regulation of DNA-templated DNA replication initiation",3.84121014532057,-1.88268921802825,0,3.79513859234319,4.34978808435443,2.96458675159357
"nervous system process",-4.61438275182117,0,-1.44384620993753,-3.1226914325407,-4.72170782522401,-1.98709128147922
