"","ATRT_vs_EPN_like","ATRT_vs_Glial","MB_vs_EPN_like","MB_vs_Glial","ATRT_vs_MB","EPN_like_vs_Glial"
"chromatin",0,2.60723155614724,8,8,-8,3.88218132001957
"nuclear body",0,0,8,8,-8,1.57288944738536
"chromosomal region",0,1.64504929612873,8,8,-8,0
"preribosome",8,8,8,8,0,0
"ribonucleoprotein complex",2.11703303226594,5.84563194723728,8,8,-2.07538026007896,0
"small-subunit processome",8,8,8,8,0,0
"nuclear chromosome",1.61379941074377,5.498541727531,8,8,-8,0
"protein-DNA complex",0,2.50505956929083,8,8,-8,0
"cilium",-8,-4.24410469103401,-8,0,0,8
"chromosome, telomeric region",0,3.68649951090223,8,8,-8,0
"90S preribosome",8,8,8,8,0,0
"plasma membrane region",-4.45938268752228,-8,-5.78469240631706,-8,0,-2.66557328800742
"cell surface",0,-1.87380004571774,-2.14743755514771,-8,0,-8
"anchoring junction",-1.978450027134,-7.57298625551983,-3.58113522085057,-8,0,-4.93252899252253
"basal plasma membrane",-2.06821021841469,-4.49249546400524,-7.5595648911038,-6.76858683504997,0,0
"basal part of cell",-1.68366173306537,-4.34434422649379,-7.82402685893098,-7.01287777153977,0,0
"nucleosome",-1.56016438167978,0,4.4475084230207,8,-8,1.66642064404933
"cytoplasmic region",-5.64583904873545,-2.28601577937177,-6.04989552542915,0,0,6.50130981032135
"GTPase complex",-7.85402118401568,-4.24410469103401,-2.08648894536507,-4.49105018741022,0,0
"basolateral plasma membrane",-1.7519812622101,-3.62919938083464,-6.64546170590073,-6.52750075818858,0,0
"DNA replication preinitiation complex",4.7415629020711,5.84563194723728,4.89322711695457,4.3511637974135,-2.3440876345854,0
"cell-cell junction",-3.579137019786,-4.06737298076644,-4.96220287006341,-5.06849093390868,0,0
"plasma membrane protein complex",-1.54994337859091,-4.22836565363241,-2.89348580148713,-8,0,0
"MCM complex",4.23960549600201,3.68649951090223,5.67896570250475,5.01844012439636,-2.98029797935747,0
"CMG complex",5.46881080044758,4.92174290399571,4.11285742811681,3.68723526379392,-2.72375428130691,0
