"","ATRT_vs_MB | Down","ATRT_vs_EPN_like | Up","ATRT_vs_Glial | Up","MB_vs_EPN_like | Up","MB_vs_Glial | Up","EPN_like_vs_Glial | Up"
"chromatin binding",-47.8742544076621,0,1.74743599725161,33.9391107992506,64.4171396298111,1.4974746033564
"sequence-specific DNA binding",-38.0343312435339,0,0,22.7959552716413,40.9764631709119,0
"double-stranded DNA binding",-35.139811593492,0,1.37980134841045,21.8720989923129,39.6572269248166,1.93737265315962
"transcription regulator activity",-33.9252008656909,0,0,16.2644276929834,36.7503041573794,0
"sequence-specific double-stranded DNA binding",-28.6052151326092,0,0,18.6513172925529,31.8653775971058,0
"transcription cis-regulatory region binding",-26.6528615358354,0,0,13.5490026886027,24.8737850634144,0
"transcription regulatory region nucleic acid binding",-26.6528615358354,0,0,13.5490026886027,24.8737850634144,0
"transcription coregulator activity",-16.9491740724949,0,0,6.9041749962558,24.2825953164438,0
"RNA polymerase II transcription regulatory region sequence-specific DNA binding",-16.00527822017,0,0,8.23342150504847,14.9915275792256,0
"cis-regulatory region sequence-specific DNA binding",-16.00527822017,0,0,7.49393581401493,15.5255790991743,1.40949934453475
"DNA-binding transcription factor activity",-15.2119663671225,0,0,8.26788494349158,10.1536309049566,0
"nucleosome binding",-15.0793795059318,0,0,9.26130118517498,17.7115228350159,1.74634447059404
"zinc ion binding",-14.1703144274744,0,0,8.1802528361393,15.9554266062156,0
"DNA-binding transcription factor activity, RNA polymerase II-specific",-13.967721493447,0,0,7.8514167632131,8.66092278994746,0
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",-13.6989183452713,0,0,6.75903941700602,13.0235545427313,0
"chromatin DNA binding",-13.4368251423601,0,0,6.77934657868274,15.9773769988829,1.4974746033564
"transcription corepressor activity",-13.4320469392613,0,0,5.51749808745302,15.8444153844792,0
"nucleosomal DNA binding",-12.037921629749,0,0,5.48995267256714,10.9350973252428,1.93737265315962
"transcription factor binding",-11.1640353301769,0,0,6.24192540107701,15.2137857942674,0
"chromatin-protein adaptor activity",-10.1701620914292,0,0,5.53344226241981,14.5081913918478,0
"histone binding",-9.4848994167625,0,4.02844290660016,17.2962782899829,21.4674537295153,0
"histone reader activity",-9.42656471938564,0,0,5.51749808745302,12.5573782564354,0
"DNA-binding transcription factor binding",-9.07604334193223,0,0,6.07233123960902,12.9309950864363,0
"mRNA binding",-9.02011916687415,0,0,4.69753025922632,30.1332344816703,0
"RNA polymerase II-specific DNA-binding transcription factor binding",-7.88081060778372,0,0,5.50499520956093,10.8787960607166,0
"transcription coactivator activity",-7.50826303590809,0,0,4.24720717617294,12.8022828869532,0
"catalytic activity, acting on DNA",-7.34614928823177,0,4.38463989138441,15.8054345287338,17.1586348168489,0
"histone modifying activity",-5.66274945318257,0,0,8.84004311585738,10.540902325758,0
"catalytic activity, acting on a nucleic acid",-5.32064095752589,3.99691490602562,14.0741238960963,23.290232015545,31.0004721792958,0
"ATP-dependent activity, acting on DNA",-4.96210272917807,0,4.11213339546937,10.7725546983508,13.5404675468736,0
"nucleic acid conformation isomerase activity",-3.51947772873128,4.23492135167887,8.17521521667462,10.0116901584542,17.1586348168489,0
"macromolecular conformation isomerase activity",-3.19411785001092,4.23492135167887,6.96629135283234,9.19125740785802,11.9803590544623,0
"helicase activity",-2.80347810415341,4.51883603135256,8.19078386564545,9.26130118517498,16.909462541057,0
"catalytic activity, acting on RNA",0,3.17135146861417,8.48846643814815,7.52649961303977,13.4592789774367,0
"snRNA binding",0,0,0,0,13.9945647160279,0
