"","ATRT_vs_EPN_like","ATRT_vs_Glial","ATRT_vs_MB","MB_vs_EPN_like","MB_vs_Glial","EPN_like_vs_Glial"
"chromatin binding",0,1.74743599725161,-8,8,8,1.4974746033564
"double-stranded DNA binding",0,1.37980134841045,-8,8,8,1.93737265315962
"catalytic activity, acting on a nucleic acid",3.99691490602562,8,-5.32064095752589,8,8,0
"histone binding",0,4.02844290660016,-8,8,8,0
"catalytic activity, acting on DNA",0,4.38463989138441,-7.34614928823177,8,8,0
"nucleosome binding",0,0,-8,8,8,1.74634447059404
"cis-regulatory region sequence-specific DNA binding",0,0,-8,7.49393581401493,8,1.40949934453475
"chromatin DNA binding",0,0,-8,6.77934657868274,8,1.4974746033564
"nucleic acid conformation isomerase activity",4.23492135167887,8,-3.51947772873128,8,8,0
"ATP-dependent activity, acting on DNA",0,4.11213339546937,-4.96210272917807,8,8,0
"helicase activity",4.51883603135256,8,-2.80347810415341,8,8,0
"catalytic activity, acting on RNA",3.17135146861417,8,0,7.52649961303977,8,0
"nucleosomal DNA binding",0,0,-8,5.48995267256714,8,1.93737265315962
"snoRNA binding",4.1463095962675,4.27998034502098,0,8,8,0
"macromolecular conformation isomerase activity",4.23492135167887,6.96629135283234,-3.19411785001092,8,8,0
"single-stranded DNA binding",0,4.27998034502098,-7.10944166340453,4.63188211029398,8,0
"isomerase activity",4.51883603135256,7.84307398750096,0,4.46487798928583,5.51993548009271,0
"single-stranded DNA helicase activity",2.96142480101722,5.99776053930525,0,5.51784401424022,7.5036565832746,0
"ATP-dependent activity",2.80985416892426,5.8118963222385,0,6.01758494212007,5.84477505317219,0
"ATP hydrolysis activity",2.71954712960378,5.99776053930525,-1.51255850453928,5.85637640274787,6.57267924750686,0
"ATP-dependent activity, acting on RNA",2.5183205151586,3.40651752748597,0,2.92136184519706,8,0
"RNA helicase activity",2.5183205151586,3.40651752748597,0,2.92136184519706,8,0
"catalytic activity, acting on a rRNA",2.49944211532225,4.27998034502098,0,5.48995267256714,4.56023678882603,0
"rRNA methyltransferase activity",2.49944211532225,4.27998034502098,0,5.48995267256714,4.56023678882603,0
"carbohydrate binding",2.24803800440129,1.60223092852416,4.71472665685998,0,-1.45415325544673,-1.33682355396632
