Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
PSMA6,-0.2243482329691986,0.5265043912712547,ATRT_vs_MB,PSMA6,5687,NS
CCT3,-0.31723769544080227,0.33706087647243016,ATRT_vs_MB,CCT3,7203,NS
PSMB1,-0.36391800467245616,0.2435765836147812,ATRT_vs_MB,PSMB1,5689,NS
PSMA1,-0.15669542406307002,0.6938035647983606,ATRT_vs_MB,PSMA1,5682,NS
PSMA3,-0.2177992094745349,0.5461020278280677,ATRT_vs_MB,PSMA3,5684,NS
HSPA8,-0.4521987938818377,0.17950072329125688,ATRT_vs_MB,HSPA8,3312,NS
PSMA7,-0.25766508843710767,0.4805233000426047,ATRT_vs_MB,PSMA7,5688,NS
RAN,-0.2593569158336173,0.5284520222679472,ATRT_vs_MB,RAN,5901,NS
TCP1,-0.37298836837070937,0.26247586184662725,ATRT_vs_MB,TCP1,6950,NS
PSMB3,-0.2483294680751662,0.5084987470306864,ATRT_vs_MB,PSMB3,5691,NS
XPO1,-0.4552559873030475,0.14268418815961253,ATRT_vs_MB,XPO1,7514,NS
CCT2,-0.292352709352663,0.4094671367264522,ATRT_vs_MB,CCT2,10576,NS
CCT7,-0.24491135130936925,0.5145750120689598,ATRT_vs_MB,CCT7,10574,NS
CCT5,-0.3034653950093258,0.3944085731700111,ATRT_vs_MB,CCT5,22948,NS
KPNB1,-0.24471450439710196,0.525028890307254,ATRT_vs_MB,KPNB1,3837,NS
PSMA4,-0.27593729458896377,0.46772513013219547,ATRT_vs_MB,PSMA4,5685,NS
IPO7,0.5819565424009703,0.0513425512543736,ATRT_vs_MB,IPO7,10527,NS
CAPZB,-0.18365855326772618,0.6693318150014861,ATRT_vs_MB,CAPZB,832,NS
PSMB2,-0.6626716650833941,0.035921913641204506,ATRT_vs_MB,PSMB2,5690,NS
EIF5A,0.10916142691008801,0.826833232326002,ATRT_vs_MB,EIF5A,1984,NS
CCT4,-0.19950154800086395,0.6413017082506154,ATRT_vs_MB,CCT4,10575,NS
USP5,-0.6742633231660449,0.027717818930329163,ATRT_vs_MB,USP5,8078,NS
PCBP1,-0.14478905590146596,0.7647380321512532,ATRT_vs_MB,PCBP1,5093,NS
CAP1,0.46986982172502323,0.1662701263459257,ATRT_vs_MB,CAP1,10487,NS
CAPZA2,-0.4688783020782914,0.192596302627888,ATRT_vs_MB,CAPZA2,830,NS
DDX6,-0.8470541011687196,0.006591027910317702,ATRT_vs_MB,DDX6,1656,NS
PSMC6,-0.10575492818809096,0.8252879805418316,ATRT_vs_MB,PSMC6,5706,NS
CBLL1,-1.9965428194136265,1.9189929005125823e-10,ATRT_vs_MB,CBLL1,79872,Down
PSMD12,0.010102666093789736,0.9831365690863191,ATRT_vs_MB,PSMD12,5718,NS
CKAP5,-0.9009003575268082,0.0025825544312395787,ATRT_vs_MB,CKAP5,9793,NS
ETF1,0.23836112214159044,0.5294973138478438,ATRT_vs_MB,ETF1,2107,NS
RAB7A,0.11350316441186692,0.8264669874915651,ATRT_vs_MB,RAB7A,7879,NS
PAK2,-0.21039997223614293,0.6045432736400612,ATRT_vs_MB,PAK2,5062,NS
AIMP1,-0.016689928618117023,0.9726835679043263,ATRT_vs_MB,AIMP1,9255,NS
DDX42,-1.0806002576282054,4.024316422778783e-4,ATRT_vs_MB,DDX42,11325,Down
ARPC4,0.16992369132793428,0.7313522393884228,ATRT_vs_MB,ARPC4,10093,NS
PSMD6,-0.1367865982229013,0.7627823748880335,ATRT_vs_MB,PSMD6,9861,NS
GDI2,-0.4758788237239422,0.20072075700692393,ATRT_vs_MB,GDI2,2665,NS
NAE1,-0.43099949535317705,0.1941065964324953,ATRT_vs_MB,NAE1,8883,NS
CCT8,-0.36015668666389544,0.34584077873217417,ATRT_vs_MB,CCT8,10694,NS
RACK1,0.48166105285663363,0.20061707635909667,ATRT_vs_MB,RACK1,10399,NS
COPS3,-0.41472511199518536,0.212012653801394,ATRT_vs_MB,COPS3,8533,NS
VPS4B,0.004069456174949693,0.9930774091643197,ATRT_vs_MB,VPS4B,9525,NS
VBP1,-0.6176984755233654,0.049110443243934786,ATRT_vs_MB,VBP1,7411,NS
SARS1,-0.3568282756182626,0.33706087647243016,ATRT_vs_MB,SARS1,6301,NS
RTCB,-0.769753934380276,0.018649561376508254,ATRT_vs_MB,RTCB,51493,NS
CCT6A,-0.41583528732732944,0.261972459504918,ATRT_vs_MB,CCT6A,908,NS
HSP90AA1,-0.19545306111021787,0.6869506330252193,ATRT_vs_MB,HSP90AA1,3320,NS
EEF1G,0.17230531920817427,0.7212435557382356,ATRT_vs_MB,EEF1G,1937,NS
SNRPE,-1.0130301348801183,0.007272788213221163,ATRT_vs_MB,SNRPE,6635,Down
RHOA,-0.10266609698862084,0.8417566203873486,ATRT_vs_MB,RHOA,387,NS
PSMC2,-0.06431697339527176,0.8975632123863271,ATRT_vs_MB,PSMC2,5701,NS
RANBP1,-1.1126239781163143,0.0011265899395649264,ATRT_vs_MB,RANBP1,5902,Down
MAPRE1,-0.9888268245614142,0.0040873230014508675,ATRT_vs_MB,MAPRE1,22919,NS
EIF3B,0.13215189078304945,0.7827651725154333,ATRT_vs_MB,EIF3B,8662,NS
EIF3M,0.5670080141255447,0.09474533581335633,ATRT_vs_MB,EIF3M,10480,NS
PSMD3,-0.13087590642964742,0.7888962741541896,ATRT_vs_MB,PSMD3,5709,NS
COPS5,-0.15978938586176028,0.7359006762462414,ATRT_vs_MB,COPS5,10987,NS
PSMD13,-0.13254486617332617,0.7877469703992673,ATRT_vs_MB,PSMD13,5719,NS
NAP1L4,-1.2139223868259847,4.024316422778783e-4,ATRT_vs_MB,NAP1L4,4676,Down
NRF1,-1.6554250074739763,1.1122570191375848e-6,ATRT_vs_MB,NRF1,4899,Down
UBA3,-0.2478054987191527,0.5381959317202618,ATRT_vs_MB,UBA3,9039,NS
PSMB7,-0.2834975851936221,0.4901141639632126,ATRT_vs_MB,PSMB7,5695,NS
PSMC5,-0.15553608360749038,0.7434893949435776,ATRT_vs_MB,PSMC5,5705,NS
VPS35,0.10061841614916034,0.8426859975495922,ATRT_vs_MB,VPS35,55737,NS
GSPT1,0.23181950956844588,0.5869064866921109,ATRT_vs_MB,GSPT1,2935,NS
ACTR2,0.3664840398812679,0.3557773398914594,ATRT_vs_MB,ACTR2,10097,NS
KIF5B,-0.4772099541643122,0.16001394302071456,ATRT_vs_MB,KIF5B,3799,NS
PSMD8,-0.04925421766137106,0.9176236225271972,ATRT_vs_MB,PSMD8,5714,NS
EEF2,0.6229797770846837,0.08996860785645219,ATRT_vs_MB,EEF2,1938,NS
ARF4,0.6883629626929597,0.07286195600531944,ATRT_vs_MB,ARF4,378,NS
EIF3A,0.16242657459656584,0.7231556485309526,ATRT_vs_MB,EIF3A,8661,NS
CAND1,-0.9864333786910358,0.004622294417207164,ATRT_vs_MB,CAND1,55832,NS
CZIB,-0.6808310223984613,0.04880757075579332,ATRT_vs_MB,CZIB,54987,NS
DDB1,-0.7370073765288083,0.02831784074315041,ATRT_vs_MB,DDB1,1642,NS
EIF4E,-0.09884185030571402,0.8426859975495922,ATRT_vs_MB,EIF4E,1977,NS
UBR4,0.28620144795438307,0.43204337124228065,ATRT_vs_MB,UBR4,23352,NS
WDR77,0.005676870055783212,0.990131654221602,ATRT_vs_MB,WDR77,79084,NS
RPL31,0.21985651352996527,0.6503443023852646,ATRT_vs_MB,RPL31,6160,NS
PPP1R10,-1.5481081091126754,1.400140020306279e-6,ATRT_vs_MB,PPP1R10,5514,Down
ACTR3,0.4149161205088028,0.3042797296016702,ATRT_vs_MB,ACTR3,10096,NS
NACA,0.25427776430876037,0.5879134065558564,ATRT_vs_MB,NACA,4666,NS
SYNCRIP,-0.6910188968309896,0.04997540750318681,ATRT_vs_MB,SYNCRIP,10492,NS
PSMD7,-0.26182416236403583,0.5440147844087967,ATRT_vs_MB,PSMD7,5713,NS
RPS3,0.29117718062578746,0.5320110082814794,ATRT_vs_MB,RPS3,6188,NS
SF3B6,-0.3815020069948645,0.28356912245347105,ATRT_vs_MB,SF3B6,51639,NS
PSMC3,-0.13590847599875744,0.7879379028173297,ATRT_vs_MB,PSMC3,5702,NS
PCBP2,-0.9384101596947829,0.009216268544117967,ATRT_vs_MB,PCBP2,5094,NS
RPS25,0.11170503468467885,0.8460481345819119,ATRT_vs_MB,RPS25,6230,NS
RPS4X,0.3024660488065365,0.5084987470306864,ATRT_vs_MB,RPS4X,6191,NS
GAPDH,0.2936097984936765,0.5707217794195054,ATRT_vs_MB,GAPDH,2597,NS
RPS3A,0.27329105967857714,0.55245662486253,ATRT_vs_MB,RPS3A,6189,NS
MBD3,-2.0490384737770313,1.328480965278824e-8,ATRT_vs_MB,MBD3,53615,Down
IST1,0.17342410427409405,0.7097126201053418,ATRT_vs_MB,IST1,9798,NS
DDX1,-0.664866927078247,0.06188743173064861,ATRT_vs_MB,DDX1,1653,NS
EIF2S1,0.1464335234748937,0.7737416680343547,ATRT_vs_MB,EIF2S1,1965,NS
UBA1,-0.03954905036632894,0.9418117685083666,ATRT_vs_MB,UBA1,7317,NS
RPL23,0.2553946663967217,0.5868955513456521,ATRT_vs_MB,RPL23,9349,NS
VCP,-0.12975589260901543,0.8150635450925688,ATRT_vs_MB,VCP,7415,NS
LRRC47,-0.9319406346655654,0.00533776782918563,ATRT_vs_MB,LRRC47,57470,NS
STRAP,-0.010918996353694865,0.9831365690863191,ATRT_vs_MB,STRAP,11171,NS
RNF2,-2.2561823888622143,1.3252603214522858e-9,ATRT_vs_MB,RNF2,6045,Down
VPS29,-0.023467798676914953,0.9635499064363867,ATRT_vs_MB,VPS29,51699,NS
RCOR2,-2.8654790999199626,4.5089381537348165e-13,ATRT_vs_MB,RCOR2,283248,Down
PPIE,-0.7356656238875665,0.023088853144491616,ATRT_vs_MB,PPIE,10450,NS
VPS33A,-0.3383196461727991,0.34763600357054153,ATRT_vs_MB,VPS33A,65082,NS
RPL14,0.26223645676650875,0.5791471940504967,ATRT_vs_MB,RPL14,9045,NS
TPI1,-0.5936245969059399,0.16281101935982642,ATRT_vs_MB,TPI1,7167,NS
PSMD2,-0.0500290760951394,0.9182306928131919,ATRT_vs_MB,PSMD2,5708,NS
HNRNPK,-0.9099876665599211,0.01622867085114797,ATRT_vs_MB,HNRNPK,3190,NS
EEF1D,0.47719195658218894,0.24656239665274557,ATRT_vs_MB,EEF1D,1936,NS
CDC42,0.1564266440900326,0.7759782029967532,ATRT_vs_MB,CDC42,998,NS
ARL8B,0.02652288618501686,0.9605238587448712,ATRT_vs_MB,ARL8B,55207,NS
CSDE1,0.00179229071883924,0.9971952913880703,ATRT_vs_MB,CSDE1,7812,NS
TBC1D15,-0.12955768856263106,0.789952309135359,ATRT_vs_MB,TBC1D15,64786,NS
RPL10A,0.3067576125968401,0.49101209242794336,ATRT_vs_MB,RPL10A,4736,NS
COPS2,-0.5229893783408315,0.14350107542775647,ATRT_vs_MB,COPS2,9318,NS
RAB5C,-0.2479584073789276,0.6081361267932385,ATRT_vs_MB,RAB5C,5878,NS
CORO1B,0.8622403476668161,0.014921003042203425,ATRT_vs_MB,CORO1B,57175,NS
VPS18,-0.13473166688601168,0.7806239776892089,ATRT_vs_MB,VPS18,57617,NS
PSMB4,-0.16716128166035915,0.7516639743381247,ATRT_vs_MB,PSMB4,5692,NS
SENP3,-1.6946559388354494,8.946434216897519e-7,ATRT_vs_MB,SENP3,26168,Down
ARPC2,0.39959261461328666,0.33825672597130935,ATRT_vs_MB,ARPC2,10109,NS
DBNL,-0.8716772516426943,0.010495599905711719,ATRT_vs_MB,DBNL,28988,NS
RPL4,0.22669860780795048,0.6532074116144714,ATRT_vs_MB,RPL4,6124,NS
GPS1,-0.4727748671610321,0.20563094904252394,ATRT_vs_MB,GPS1,2873,NS
WDR1,0.5806423861607755,0.14506184592165897,ATRT_vs_MB,WDR1,9948,NS
PPP2R1A,-0.6677901245821793,0.07796527850199014,ATRT_vs_MB,PPP2R1A,5518,NS
RPS8,0.3597176263259314,0.4401587400719317,ATRT_vs_MB,RPS8,6202,NS
CGGBP1,-2.6481973277944206,2.2132879734644428e-11,ATRT_vs_MB,CGGBP1,8545,Down
SKIC3,0.03609686548754354,0.938502037548519,ATRT_vs_MB,SKIC3,9652,NS
PA2G4,-0.3814450889600991,0.3596735392697766,ATRT_vs_MB,PA2G4,5036,NS
NME1,-0.8810859193521736,0.0235664768578423,ATRT_vs_MB,NME1,4830,NS
CFL1,0.10311194837195714,0.8617227938909626,ATRT_vs_MB,CFL1,1072,NS
RPL27A,0.2513997858921968,0.6373482508486967,ATRT_vs_MB,RPL27A,6157,NS
ARHGDIA,-0.6417777014962702,0.10230865534767712,ATRT_vs_MB,ARHGDIA,396,NS
QRICH1,-0.948118128821573,0.002283160609240472,ATRT_vs_MB,QRICH1,54870,NS
GET3,-0.24422999067819617,0.6185997049668462,ATRT_vs_MB,GET3,439,NS
SEC24C,-0.07215198428036729,0.8901228176921422,ATRT_vs_MB,SEC24C,9632,NS
RPS16,0.357799282929939,0.4371146196881737,ATRT_vs_MB,RPS16,6217,NS
RPL24,0.1499130555568442,0.7819067303314913,ATRT_vs_MB,RPL24,6152,NS
RARS1,0.24756196765286376,0.5919773503453398,ATRT_vs_MB,RARS1,5917,NS
RBM22,-1.2504361414221705,8.437732585004398e-5,ATRT_vs_MB,RBM22,55696,Down
HSPA4,-0.6096828507371477,0.1009568487486236,ATRT_vs_MB,HSPA4,3308,NS
PRMT5,-0.19493617621541048,0.6922498668642554,ATRT_vs_MB,PRMT5,10419,NS
PAFAH1B1,-0.9063519167441072,0.011858713739776554,ATRT_vs_MB,PAFAH1B1,5048,NS
YWHAB,-0.7688957338151248,0.05508921331720744,ATRT_vs_MB,YWHAB,7529,NS
RPS6,0.27139057180923487,0.5683087815034457,ATRT_vs_MB,RPS6,6194,NS
QARS1,0.6827974993656163,0.0533365703619245,ATRT_vs_MB,QARS1,5859,NS
DPP3,0.07565658933944164,0.8840791038622983,ATRT_vs_MB,DPP3,10072,NS
RPS7,0.21265051277901392,0.6878387256123826,ATRT_vs_MB,RPS7,6201,NS
PSMC1,-0.09571559428365362,0.8597310143336866,ATRT_vs_MB,PSMC1,5700,NS
STIP1,-0.42120986983857023,0.2959530661373427,ATRT_vs_MB,STIP1,10963,NS
CNOT1,-0.6762469413827752,0.03759477660087523,ATRT_vs_MB,CNOT1,23019,NS
CAB39,-0.9746818248288278,0.005115965141906512,ATRT_vs_MB,CAB39,51719,NS
POLR2B,-0.9357325917815267,0.003798430593318957,ATRT_vs_MB,POLR2B,5431,NS
SAR1A,0.20477352235413093,0.6678056700501125,ATRT_vs_MB,SAR1A,56681,NS
FRG1,-1.9488192396666513,1.6275913701885305e-7,ATRT_vs_MB,FRG1,2483,Down
CPSF3,-0.8836224433708182,0.007797698848048251,ATRT_vs_MB,CPSF3,51692,NS
PTGES3,-0.40649916918710005,0.36702481711046164,ATRT_vs_MB,PTGES3,10728,NS
EIF4G1,0.22382478261827643,0.6212785904584892,ATRT_vs_MB,EIF4G1,1981,NS
RAB14,0.016714099590696918,0.9782143602202972,ATRT_vs_MB,RAB14,51552,NS
CSK,-0.5053473404798474,0.17679866113560316,ATRT_vs_MB,CSK,1445,NS
NIF3L1,-0.5869958821904113,0.10874822644136943,ATRT_vs_MB,NIF3L1,60491,NS
RPS19,0.119137660821373,0.8335840026539442,ATRT_vs_MB,RPS19,6223,NS
BTF3L4,-0.1503475584841638,0.7819067303314913,ATRT_vs_MB,BTF3L4,91408,NS
TNPO1,0.04460570063432456,0.9307997817054832,ATRT_vs_MB,TNPO1,3842,NS
CFDP1,-1.0387051727871182,0.0023049106913114238,ATRT_vs_MB,CFDP1,10428,Down
PPP6C,0.0011064107513050203,0.9975590584397243,ATRT_vs_MB,PPP6C,5537,NS
PSMC4,-0.2796143086933398,0.5381959317202618,ATRT_vs_MB,PSMC4,5704,NS
SPEN,-1.4980283077333816,2.35250521217194e-6,ATRT_vs_MB,SPEN,23013,Down
SNRPD3,-0.6128984700272113,0.13440793493135755,ATRT_vs_MB,SNRPD3,6634,NS
VPS16,-0.2908911661938802,0.49128810376280113,ATRT_vs_MB,VPS16,64601,NS
EIF3D,0.22795410350258294,0.6225152382253993,ATRT_vs_MB,EIF3D,8664,NS
SRP54,-0.3659263651038671,0.34741150324630715,ATRT_vs_MB,SRP54,6729,NS
PAIP1,-0.39063776977588205,0.3105791938165789,ATRT_vs_MB,PAIP1,10605,NS
EIF3I,0.09290155991298832,0.8625531927987717,ATRT_vs_MB,EIF3I,8668,NS
RPS18,0.23632825683263547,0.6514569280111642,ATRT_vs_MB,RPS18,6222,NS
YTHDC1,-1.1093140262791508,0.001095088055670498,ATRT_vs_MB,YTHDC1,91746,Down
SMARCAD1,-0.9235043582065252,0.0017032549506364118,ATRT_vs_MB,SMARCAD1,56916,NS
GTF2B,-0.7715582294279457,0.015724581347983484,ATRT_vs_MB,GTF2B,2959,NS
CUL3,-1.062688483475469,0.0020528136221666256,ATRT_vs_MB,CUL3,8452,Down
EIF3L,0.18805045572170087,0.706120484567748,ATRT_vs_MB,EIF3L,51386,NS
SCFD1,0.1688123375366537,0.739232262521839,ATRT_vs_MB,SCFD1,23256,NS
TBCA,-0.7402559601497067,0.04997540750318681,ATRT_vs_MB,TBCA,6902,NS
DNAJC9,-1.4680939630050673,4.66911477812936e-5,ATRT_vs_MB,DNAJC9,23234,Down
RTF1,-1.1272679984630756,5.295007792240193e-4,ATRT_vs_MB,RTF1,23168,Down
RPS10,-0.025437292608916806,0.9644131818874611,ATRT_vs_MB,RPS10,6204,NS
AP1M1,-0.19509369423648337,0.6869506330252193,ATRT_vs_MB,AP1M1,8907,NS
OSBP,-0.1917501821167349,0.6774056050637881,ATRT_vs_MB,OSBP,5007,NS
LIG3,-1.3637994535494968,8.437732585004398e-5,ATRT_vs_MB,LIG3,3980,Down
RPL19,0.3222021463731153,0.515489162046909,ATRT_vs_MB,RPL19,6143,NS
ATG7,-0.004048349003301865,0.993516562960024,ATRT_vs_MB,ATG7,10533,NS
RAB11B,-1.0726687093163143,0.008704114384681475,ATRT_vs_MB,RAB11B,9230,Down
RTCA,0.07815932391394753,0.8818671034488121,ATRT_vs_MB,RTCA,8634,NS
CTR9,-0.16022992107865974,0.7068839243157201,ATRT_vs_MB,CTR9,9646,NS
EIF3G,-0.2639370401820429,0.5628369537852387,ATRT_vs_MB,EIF3G,8666,NS
RAB10,-0.36677167222836005,0.41190954503383825,ATRT_vs_MB,RAB10,10890,NS
RPA2,-0.6575745174182366,0.07952274357326525,ATRT_vs_MB,RPA2,6118,NS
ANKRD17,-0.6708996480508631,0.04152216845078621,ATRT_vs_MB,ANKRD17,26057,NS
CHMP4B,0.43762272894155885,0.2921975964603694,ATRT_vs_MB,CHMP4B,128866,NS
MAP1S,-0.7328001221527636,0.03366421949057188,ATRT_vs_MB,MAP1S,55201,NS
NPLOC4,-0.4154552971733665,0.2647371572783008,ATRT_vs_MB,NPLOC4,55666,NS
RIC8A,-0.38357654441247035,0.33932137884356467,ATRT_vs_MB,RIC8A,60626,NS
EMC1,0.28677154660634585,0.49919812775834194,ATRT_vs_MB,EMC1,23065,NS
UBE2M,-0.5541750968023571,0.16990168285947074,ATRT_vs_MB,UBE2M,9040,NS
RPS11,0.40719763607888027,0.38192325192347426,ATRT_vs_MB,RPS11,6205,NS
HNRNPH3,-1.3843279251405392,3.026932249958489e-4,ATRT_vs_MB,HNRNPH3,3189,Down
RPS17,0.4084482095154449,0.34763600357054153,ATRT_vs_MB,RPS17,6218,NS
UFD1,-0.6352312383110252,0.09416292676233008,ATRT_vs_MB,UFD1,7353,NS
AARS1,0.31364924558307195,0.501428508964684,ATRT_vs_MB,AARS1,16,NS
PFN1,0.7411346579525038,0.0740495043808391,ATRT_vs_MB,PFN1,5216,NS
POLR2A,-1.270648747736523,2.0130695126590874e-4,ATRT_vs_MB,POLR2A,5430,Down
ATF7IP,-1.4896029954673118,8.471330937197163e-6,ATRT_vs_MB,ATF7IP,55729,Down
RPL22,0.30343153434995784,0.5786863856085203,ATRT_vs_MB,RPL22,6146,NS
WTAP,-1.0126962298539048,0.002173156454853289,ATRT_vs_MB,WTAP,9589,Down
RPL9,0.29005886358805455,0.5502534986441047,ATRT_vs_MB,RPL9,6133,NS
GAPVD1,-0.3653563775345958,0.3576818174924289,ATRT_vs_MB,GAPVD1,26130,NS
USP48,-0.9633346022712779,0.0019981590642814523,ATRT_vs_MB,USP48,84196,NS
KPNA1,-0.10992374321894616,0.8305858781401813,ATRT_vs_MB,KPNA1,3836,NS
SAP30BP,-0.7084734413352294,0.03287918836810401,ATRT_vs_MB,SAP30BP,29115,NS
PPP6R3,-0.4269626479802753,0.24570270826598273,ATRT_vs_MB,PPP6R3,55291,NS
POLDIP2,-0.050532114582530596,0.9182306928131919,ATRT_vs_MB,POLDIP2,26073,NS
VPS35L,0.5021163065259096,0.1750183351626047,ATRT_vs_MB,VPS35L,57020,NS
SKIC2,-0.35302302130767416,0.3805971960387152,ATRT_vs_MB,SKIC2,6499,NS
PSMD4,-0.506963204673827,0.19324353198538893,ATRT_vs_MB,PSMD4,5710,NS
RAB21,-0.2057319886735378,0.6895220258820496,ATRT_vs_MB,RAB21,23011,NS
UBE2D3,-0.043661312254815954,0.9413233283330323,ATRT_vs_MB,UBE2D3,7323,NS
PTPA,-0.42517124258118244,0.33471857032236335,ATRT_vs_MB,PTPA,5524,NS
DCTN1,-0.9537729632345808,0.007764080132762601,ATRT_vs_MB,DCTN1,1639,NS
UBE2V1,-0.12367646778282904,0.826833232326002,ATRT_vs_MB,UBE2V1,7335,NS
EIF5,-0.141876938000145,0.8036824686842761,ATRT_vs_MB,EIF5,1983,NS
MTDH,-0.19358711441183374,0.7015422979105203,ATRT_vs_MB,MTDH,92140,NS
XRCC6,-1.1497473023496916,0.0030645234955171763,ATRT_vs_MB,XRCC6,2547,Down
RBM12,-1.073176653021516,0.0023911581008803683,ATRT_vs_MB,RBM12,10137,Down
UBE2N,-1.2831014978992457,0.0017011781083575547,ATRT_vs_MB,UBE2N,7334,Down
SRP68,-0.22083319322576145,0.6413017082506154,ATRT_vs_MB,SRP68,6730,NS
MAT2A,-0.7477566077232822,0.05376552536976926,ATRT_vs_MB,MAT2A,4144,NS
RPS9,0.3894558625482496,0.41025584396399273,ATRT_vs_MB,RPS9,6203,NS
ADPRS,-0.5615138291737054,0.1403578242492831,ATRT_vs_MB,ADPRS,54936,NS
PSMD1,0.01906722578420883,0.9738202393629598,ATRT_vs_MB,PSMD1,5707,NS
NARS1,-0.19075892505819425,0.7329737202879354,ATRT_vs_MB,NARS1,4677,NS
GLRX3,-0.16945491846972516,0.7557397776786495,ATRT_vs_MB,GLRX3,10539,NS
RPS2,0.40776464110750155,0.3710273156232374,ATRT_vs_MB,RPS2,6187,NS
UBE2K,-0.6004095560623206,0.13331332518791825,ATRT_vs_MB,UBE2K,3093,NS
HNRNPA2B1,-1.2430715636016814,0.002317228691356031,ATRT_vs_MB,HNRNPA2B1,3181,Down
MARS1,0.19962151316807208,0.690506365727019,ATRT_vs_MB,MARS1,4141,NS
RFC4,-0.47579133441795207,0.2031237770773212,ATRT_vs_MB,RFC4,5984,NS
PARK7,-0.4258837045985011,0.3805971960387152,ATRT_vs_MB,PARK7,11315,NS
EMC3,0.271111808587996,0.5517098279232747,ATRT_vs_MB,EMC3,55831,NS
SEC23A,0.1563869934885993,0.7733156233950073,ATRT_vs_MB,SEC23A,10484,NS
UBA6,-0.37910644724625797,0.37251498323980037,ATRT_vs_MB,UBA6,55236,NS
RPL7A,0.3274572231430568,0.4993318816502545,ATRT_vs_MB,RPL7A,6130,NS
RPL27,-0.08460015173213264,0.8901228176921422,ATRT_vs_MB,RPL27,6155,NS
USP9X,0.5267977453554842,0.15723344339008372,ATRT_vs_MB,USP9X,8239,NS
HSP90AB1,-0.012804888078029819,0.9833187544878619,ATRT_vs_MB,HSP90AB1,3326,NS
RPS14,0.14636887274393828,0.805423166929205,ATRT_vs_MB,RPS14,6208,NS
CRK,-0.9544267971559712,0.010109164722791131,ATRT_vs_MB,CRK,1398,NS
PRPF19,-0.583115373749088,0.1558867090450699,ATRT_vs_MB,PRPF19,27339,NS
CSE1L,-0.13314105653701702,0.8144107012828445,ATRT_vs_MB,CSE1L,1434,NS
CTDSPL2,-1.104108521272714,7.456272748426321e-4,ATRT_vs_MB,CTDSPL2,51496,Down
MEX3A,-3.2718720626153583,9.507043377538887e-14,ATRT_vs_MB,MEX3A,92312,Down
DNAJC7,-0.33553371470397053,0.4100833696609111,ATRT_vs_MB,DNAJC7,7266,NS
PHC2,-2.31333307272547,1.1986043785127939e-8,ATRT_vs_MB,PHC2,1912,Down
RPS13,0.16667732148255965,0.7806239776892089,ATRT_vs_MB,RPS13,6207,NS
DYNC1H1,-0.6490704044245845,0.11179487124947994,ATRT_vs_MB,DYNC1H1,1778,NS
GABPA,-1.7688356604455713,1.0149243012890813e-6,ATRT_vs_MB,GABPA,2551,Down
CPSF2,-0.860133155912365,0.01223411661306049,ATRT_vs_MB,CPSF2,53981,NS
THOP1,-0.8851170326293776,0.012615923983564701,ATRT_vs_MB,THOP1,7064,NS
EMC2,0.2798445385508792,0.5381959317202618,ATRT_vs_MB,EMC2,9694,NS
CRKL,-1.3117913704992077,6.744889355921579e-4,ATRT_vs_MB,CRKL,1399,Down
RPL8,0.15199777827296757,0.7960229718632114,ATRT_vs_MB,RPL8,6132,NS
XRCC5,-1.1055371512013998,0.005491493773175144,ATRT_vs_MB,XRCC5,7520,Down
GTF3C3,-1.0860753465644706,0.0013799807821272062,ATRT_vs_MB,GTF3C3,9330,Down
TAF6,-1.0641434191273191,6.744889355921579e-4,ATRT_vs_MB,TAF6,6878,Down
MTOR,-0.7119225949029726,0.037773593520826515,ATRT_vs_MB,MTOR,2475,NS
RPS5,0.2699640274161581,0.6053041073112044,ATRT_vs_MB,RPS5,6193,NS
SNRPA,-0.6489760940489582,0.09759654931123622,ATRT_vs_MB,SNRPA,6626,NS
SUPT6H,-0.8542777489962994,0.011251586673360067,ATRT_vs_MB,SUPT6H,6830,NS
SNX2,0.32058581433498645,0.4921621521687251,ATRT_vs_MB,SNX2,6643,NS
SRP72,-0.1461079904260636,0.787800482455144,ATRT_vs_MB,SRP72,6731,NS
RBBP5,-1.28163759887806,3.137719142445397e-4,ATRT_vs_MB,RBBP5,5929,Down
VAC14,-0.007839215356668205,0.9869976755631533,ATRT_vs_MB,VAC14,55697,NS
RPS15A,0.3520178056550094,0.4907711585863994,ATRT_vs_MB,RPS15A,6210,NS
AIMP2,0.5343975803016683,0.18158484434411284,ATRT_vs_MB,AIMP2,7965,NS
ZC3H18,-1.2331139997941705,5.680608037982474e-5,ATRT_vs_MB,ZC3H18,124245,Down
UMPS,-0.21872984923166783,0.6655213549458082,ATRT_vs_MB,UMPS,7372,NS
PPIH,-1.1156141940392814,0.0025844896256818854,ATRT_vs_MB,PPIH,10465,Down
DNAJA1,-0.007553968213674267,0.9884944805262644,ATRT_vs_MB,DNAJA1,3301,NS
RPL10,0.35215617310936054,0.4719225106416432,ATRT_vs_MB,RPL10,6134,NS
AP1G1,-0.11805415763772942,0.8362252857085518,ATRT_vs_MB,AP1G1,164,NS
H4C1,-1.6498906223886998,3.551485194368865e-4,ATRT_vs_MB,H4C1,8359,Down
