"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","29/211","182/3535",0.159340659340659,2.66952242070725,5.82579456058995,5.89599462445024e-07,0.000110584034201031,7.8465084696248e-05,"127829/5594/5879/5595/5878/1783/7879/1785/89953/6990/387/10121/998/5869/10540/51164/55860/1639/388/10000/55207/8976/23191/11258/4792/81873/3800/1781/64837",29
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","17/211","76/3535",0.223684210526316,3.74750561237216,6.09977893816762,1.34304320680055e-06,0.000110584034201031,7.8465084696248e-05,"5520/2771/5594/5879/5595/2776/10672/10715/3845/387/10000/4893/5525/5516/5518/5526/2773",17
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","13/211","46/3535",0.282608695652174,4.7347001854523,6.42285573009514,1.48639654842182e-06,0.000110584034201031,7.8465084696248e-05,"55970/2771/5594/5595/2776/2561/3845/4129/2778/59345/4893/54331/2773",13
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","19/211","94/3535",0.202127659574468,3.38635676111727,5.907462242494,1.63828198816342e-06,0.000110584034201031,7.8465084696248e-05,"55970/2771/5594/5879/5595/2776/57580/3845/387/998/5580/5906/59345/10000/4893/5829/4792/54331/2773",19
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","10/211","28/3535",0.357142857142857,5.98341232227488,6.66932601019045,2.36124683210456e-06,0.000127507328933646,9.0473036514322e-05,"5878/1783/396/5869/10540/2778/51164/1639/6810/1781",10
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","16/211","73/3535",0.219178082191781,3.67201194572486,5.81139354106256,3.71383661620244e-06,0.00016712264772911,0.00011858215160506,"5520/2771/5594/5595/2776/785/2778/10000/476/5525/5516/483/5518/5526/784/2773",16
"Organismal Systems","Nervous system","hsa04730","Long-term depression","12/211","46/3535",0.260869565217391,4.37049247887904,5.79649927872031,9.57355536311847e-06,0.000369265706863141,0.000262013094148505,"2771/5594/5595/2776/10672/3845/2767/2778/4893/5516/5518/2773",12
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","12/211","52/3535",0.230769230769231,3.86620488516223,5.24537037560661,3.68757788730558e-05,0.00114425425189225,0.00081190750036799,"55970/2771/5594/5595/2776/3845/2767/59345/10000/4893/54331/2773",12
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","15/211","78/3535",0.192307692307692,3.22183740430186,4.99866322522032,4.00543976887927e-05,0.00114425425189225,0.00081190750036799,"55970/5520/2771/2776/4129/2778/59345/10000/5525/5516/3800/5518/5526/54331/2773",15
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","12/211","53/3535",0.226415094339623,3.79325762317804,5.16153096115977,4.51952895442981e-05,0.00114425425189225,0.00081190750036799,"5520/2771/5594/5595/2776/2767/2778/10000/4792/5516/5518/2773",12
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","10/211","38/3535",0.263157894736842,4.40883013220254,5.32222627849825,5.01014527804664e-05,0.00114425425189225,0.00081190750036799,"55970/2771/2561/9568/5142/140679/2778/59345/54331/2773",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","12/211","54/3535",0.222222222222222,3.7230121116377,5.07970432497058,5.50937232392565e-05,0.00114425425189225,0.00081190750036799,"55970/2771/2776/2561/9568/2767/140679/2778/59345/6511/54331/2773",12
"Human Diseases","Substance dependence","hsa05034","Alcoholism","12/211","54/3535",0.222222222222222,3.7230121116377,5.07970432497058,5.50937232392565e-05,0.00114425425189225,0.00081190750036799,"55970/2771/5594/5595/3845/4129/2778/59345/4893/4915/54331/2773",12
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","18/211","110/3535",0.163636363636364,2.7414907367514,4.67445750561375,6.59225851713488e-05,0.00120264639862383,0.0008533397448325,"55970/5594/5879/5595/5878/9610/3845/387/998/5869/5906/59345/22808/10000/4893/4915/54331/10156",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","12/211","55/3535",0.218181818181818,3.6553209823352,4.9998012723287,6.68136888124348e-05,0.00120264639862383,0.0008533397448325,"55970/2771/2776/10672/2767/387/2778/885/59345/8660/54331/2773",12
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","9/211","33/3535",0.272727272727273,4.569151227919,5.18928880367874,8.89138301430022e-05,0.00150042088366316,0.00106462612408068,"5594/5595/2776/9568/3845/2767/3782/10000/4893",9
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","14/211","76/3535",0.184210526315789,3.08618109254178,4.63156232773008,0.000119172340306653,0.00189273716957626,0.00134299479478705,"5594/5879/5595/396/3845/387/998/5580/5906/10000/4893/9261/4915/4792",14
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","17/211","106/3535",0.160377358490566,2.68689081641778,4.44222095703118,0.000136989073486396,0.00200908968800573,0.00142555291702551,"9732/2771/5594/5879/5595/2776/9863/3845/387/998/2778/5906/22808/10000/4893/5909/2773",17
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","13/211","68/3535",0.191176470588235,3.20288541957067,4.62076026146589,0.000141380385452255,0.00200908968800573,0.00142555291702551,"5520/5594/5595/3845/387/998/10000/4893/5525/4792/5516/5518/5526",13
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","13/211","69/3535",0.188405797101449,3.15646679030153,4.55718892457097,0.000165149943313104,0.00222952423472691,0.00158196261489394,"55970/2771/5594/5595/3845/1910/2778/59345/10000/4893/4792/54331/2773",13
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","15/211","89/3535",0.168539325842697,2.82363278129826,4.38953736125174,0.000194112101784558,0.00249572702294432,0.00177084724435035,"2771/5594/5879/5595/9568/5142/387/2778/5906/10000/476/4792/3991/483/2773",15
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","14/211","80/3535",0.175,2.93187203791469,4.40294557170985,0.000211160190961341,0.00259151143452555,0.00183881123229493,"55970/2771/5594/5595/2776/10672/3845/59345/22808/10000/4893/3991/54331/2773",14
"Cellular Processes","Cell motility","hsa04814","Motor proteins","14/211","82/3535",0.170731707317073,2.86036296381921,4.29388406870248,0.00027663179272302,0.00324741669718328,0.00230420989819632,"1783/89953/6990/10121/10540/3797/51164/55860/1639/11258/3800/830/1781/64837",14
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","9/211","38/3535",0.236842105263158,3.96794711898229,4.63387307000669,0.000289155346242613,0.0032529976452294,0.00230816986912963,"5594/5879/5595/3845/998/10000/4893/5829/9261",9
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","9/211","39/3535",0.230769230769231,3.86620488516223,4.5341701770274,0.000356728916070275,0.00385267229355897,0.00273367000946485,"2771/5594/5595/2776/3845/1910/2778/4893/2773",9
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","10/211","48/3535",0.208333333333333,3.49032385466035,4.37617283930293,0.000409023181845503,0.00424754842685715,0.00301385502412476,"2771/5594/5595/2776/10672/5142/2767/387/2778/2773",10
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","18/211","127/3535",0.141732283464567,2.37451953576893,3.97417490689207,0.00043224219379786,0.0043224219379786,0.00306698164800041,"55970/2771/5594/5879/5595/2776/10672/3845/2767/387/2778/59345/10000/4893/5829/4792/54331/2773",18
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","13/211","79/3535",0.164556962025316,2.75691403203551,3.97851667710483,0.000661792265767237,0.00638156827704121,0.0045280523447232,"2771/5594/5595/2776/10672/1910/2767/387/10000/476/8660/483/2773",13
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","17/211","122/3535",0.139344262295082,2.33451169295315,3.7790109236243,0.000763396647556823,0.00693112478326658,0.00491799107428662,"55970/5594/5879/5595/3845/998/785/23162/5906/22808/10000/4893/57551/4137/9261/4915/784",17
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","9/211","43/3535",0.209302325581395,3.50655791910063,4.1659959870336,0.000770124975918509,0.00693112478326658,0.00491799107428662,"55970/2771/2561/9568/140679/59345/2571/54331/2773",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","22/211","180/3535",0.122222222222222,2.04765666140074,3.63456936525631,0.000841027416781595,0.00732507750100099,0.00519752087790323,"55800/5594/5879/5595/1002/2561/3845/57216/387/998/55914/1009/22808/4893/23191/57551/1013/7529/4792/81873/1952/1501",22
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","5/211","14/3535",0.357142857142857,5.98341232227488,4.70654071178625,0.000928059314481339,0.0078305004659363,0.00555614458011854,"57571/3176/55748/4129/224",5
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","10/211","54/3535",0.185185185185185,3.10251009303142,3.92217484719252,0.00109151513278252,0.00893057835912972,0.00633670667197509,"9722/55970/2771/5594/5595/2776/2778/59345/54331/2773",10
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","11/211","65/3535",0.169230769230769,2.83521691578564,3.76203937911555,0.00135424013201526,0.0107542598718859,0.00763070291104572,"2771/5594/5595/2776/3845/2767/2778/10000/4893/8660/2773",11
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","6/211","22/3535",0.272727272727273,4.569151227919,4.23039780333276,0.00140100055153484,0.0108077185404116,0.00766863459787492,"2771/2778/10000/3991/8660/2773",6
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","12/211","76/3535",0.157894736842105,2.64529807932153,3.65275125410505,0.00154819408343583,0.0116114556257687,0.00823892757851814,"5594/5879/5595/1785/274/998/5580/10000/3984/8613/81873/4082",12
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","11/211","68/3535",0.161764705882353,2.7101338165598,3.58716722674055,0.00198005482535085,0.0144490487255332,0.0102523464641211,"2771/5594/5595/2776/9568/3845/2778/5580/10000/4893/2773",11
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","10/211","59/3535",0.169491525423729,2.83958550887621,3.58963337482068,0.0022043924748303,0.0156627886369521,0.0111135576293383,"5594/5595/3845/387/5580/22808/10000/4893/9261/4792",10
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","8/211","41/3535",0.195121951219512,3.26898624436481,3.68134342444512,0.0024318958432457,0.016595154108438,0.0117751190944862,"5879/2776/387/2778/885/5906/476/483",8
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","18/211","147/3535",0.122448979591837,2.05145565335139,3.28036311253837,0.00245854134939822,0.016595154108438,0.0117751190944862,"55970/5594/5879/5595/9459/10672/3845/387/998/4478/22808/10000/4893/8976/23191/5829/3984/81873",18
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","9/211","51/3535",0.176470588235294,2.95650961806524,3.54545514054408,0.00273806886316345,0.0180311851964422,0.0127940573323684,"5594/5595/2776/3845/2767/998/2778/5580/4893",9
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","18/211","151/3535",0.119205298013245,1.99711245723612,3.1547244463933,0.003314267937841,0.0209046592888866,0.0148329356357792,"55970/5520/5594/5879/5595/9863/3845/5649/59345/10000/4893/4915/5525/7529/5516/5518/5526/54331",18
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","8/211","43/3535",0.186046511627907,3.11694037253389,3.51843658969987,0.00332926055341527,0.0209046592888866,0.0148329356357792,"5594/5879/5595/3845/998/5906/10000/4893",8
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","16/211","129/3535",0.124031007751938,2.07796024835593,3.14209471188849,0.00373180390413352,0.0228997057753648,0.0162485241758923,"55970/2771/5594/5879/5595/2776/3845/2767/59345/10000/4893/5829/3984/4792/54331/2773",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","21/211","190/3535",0.110526315789474,1.85170865552507,3.04028147243241,0.00390565585783098,0.0234339351469859,0.0166275875117015,"84631/10580/5594/5879/5595/9863/5375/387/998/4478/83700/1445/5906/10000/23136/8976/5829/199731/81873/22999/57863",21
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","10/211","64/3535",0.15625,2.61774289099526,3.29015359634565,0.00409062637642937,0.0240101982964333,0.0170364759842139,"55970/2771/5594/5595/2776/2778/59345/6511/54331/2773",10
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","9/211","56/3535",0.160714285714286,2.6925355450237,3.21624104418051,0.00525903214539857,0.0301148587874601,0.0213680479505565,"2771/5594/5595/2776/3845/2767/2778/4893/2773",9
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","5/211","20/3535",0.25,4.18838862559242,3.60219796855763,0.00535375267332623,0.0301148587874601,0.0213680479505565,"5594/5595/3845/476/483",5
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","13/211","100/3535",0.13,2.17796208530806,3.01031494121637,0.0058444750037438,0.0322042500206291,0.0228505789620058,"55970/64422/5594/5879/5595/57580/3845/59345/10000/4893/9261/4792/54331",13
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","14/211","113/3535",0.123893805309735,2.07566161976261,2.92764817429233,0.00661300873968594,0.0357102471943041,0.025338265065744,"64422/5594/5595/7879/3845/10652/5580/26100/22808/10000/4893/10533/5516/8660",14
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","11/211","80/3535",0.1375,2.30361374407583,2.97107688762574,0.00719957505122739,0.037204091605807,0.0263982248431067,"2771/5594/5595/2776/3845/387/785/2778/4893/784/2773",11
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","11/211","80/3535",0.1375,2.30361374407583,2.97107688762574,0.00719957505122739,0.037204091605807,0.0263982248431067,"5520/5594/5595/3845/10000/4893/6041/7529/4792/5516/5518",11
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","7/211","39/3535",0.179487179487179,3.00704824401507,3.17503411531351,0.00730302538928803,0.037204091605807,0.0263982248431067,"2776/2767/2778/885/3782/476/483",7
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/211","59/3535",0.152542372881356,2.55562695798859,3.0355373100204,0.0074671469849681,0.0373357349248405,0.0264916325782494,"5594/5879/5595/3845/998/5580/10000/4893/2152",9
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","11/211","81/3535",0.135802469135802,2.27517406822304,2.92479079942351,0.00790527575196645,0.0388077173278353,0.0275360801312516,"5594/5595/1785/10672/3845/387/2778/22808/10000/4893/8613",11
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","4/211","15/3535",0.266666666666667,4.46761453396524,3.39038567992458,0.00999475129637245,0.0475510696480622,0.0337399402571046,"5594/5595/3845/4893",4
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","5/211","23/3535",0.217391304347826,3.64207706573254,3.20240413821766,0.0100385591479242,0.0475510696480622,0.0337399402571046,"57571/55748/2571/51380/224",5
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","9/211","62/3535",0.145161290322581,2.43196758905366,2.86563342442806,0.010323084554397,0.0480557384428827,0.0340980288366653,"10203/5594/5595/2776/10672/2767/387/2778/5580",9
