"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","86/747","183/3535",0.469945355191257,2.22390472637362,8.79970960771428,8.59427136474227e-16,2.62984703761113e-13,1.4565028312879e-13,"55616/5878/5869/5868/11311/8976/998/387/1785/6642/7879/30845/8724/64145/9815/11031/22905/27131/100287171/23325/10890/10938/9146/64744/30844/112936/160/10254/10552/11021/274/26052/30011/51100/830/9897/9922/50807/387680/51019/23096/4088/55680/29934/7456/60682/1173/58533/79643/23111/51699/9101/116985/3105/10094/10096/10093/23396/81873/10097/9798/1175/8411/55048/116987/8027/5338/7189/9230/55737/29924/3800/84249/382/27183/409/30846/3798/3133/3265/4087/3107/253725/3106/83737/147179",86
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","72/747","182/3535",0.395604395604396,1.87210379981464,6.25222048153866,4.65395582296356e-09,7.12055240913425e-07,3.94361519735334e-07,"5595/391/112574/127829/5594/5878/5869/5879/10006/5868/6990/23191/63916/4646/5290/8976/998/387/1785/7879/257364/55207/55823/1783/3071/55770/9844/10552/57617/10787/64601/9367/65082/2597/26999/23339/10810/23265/4615/388/27072/5898/4792/5602/89953/10094/10096/208/10093/81873/10097/347733/834/207/7189/51164/10121/3551/3800/55860/382/5585/1499/79443/1778/3798/5601/3265/64837/1781/10640/60412",72
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","38/747","76/3535",0.5,2.3661311914324,6.23119168281217,1.65273503498404e-08,1.68578973568372e-06,9.33650318008528e-07,"5595/2771/5578/5594/2768/5879/5520/5290/387/2776/10672/5295/10715/56848/3845/2534/4217/6093/5526/5728/5525/4893/2773/5602/2770/208/23236/2207/5516/5338/5515/207/5521/5330/5601/3265/427/55844",38
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","39/747","81/3535",0.481481481481481,2.27849670286083,6.02459898034411,4.0776107310059e-08,3.11937220921951e-06,1.72761928339987e-06,"5595/5578/5594/22808/2768/1608/8613/5290/387/1785/2778/10672/5295/56894/56848/3845/26052/2549/5781/2534/5899/114/5898/4893/8526/2915/208/23236/23396/2207/5338/207/7248/55326/382/5330/6654/3265/7249",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","29/747","54/3535",0.537037037037037,2.54140016857554,5.90755072254724,1.16450338406652e-07,6.53782320100392e-06,3.62087903461173e-06,"55970/2771/5578/2892/59345/2776/2778/2767/140679/2788/2890/2561/2783/6506/2891/9568/6511/2782/2899/114/2773/2893/2770/2915/23236/43/79627/5330/6536",29
"Organismal Systems","Nervous system","hsa04730","Long-term depression","26/747","46/3535",0.565217391304348,2.67475699901053,5.91735222912493,1.3585441376177e-07,6.53782320100392e-06,3.62087903461173e-06,"5595/2771/5578/5594/369/2768/2892/3709/2776/2778/10672/2767/2890/3845/2977/2891/4842/4893/2773/2983/2770/23236/5516/5515/5330/3265",26
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","37/747","78/3535",0.474358974358974,2.2447911303333,5.75362145887705,1.49558047081789e-07,6.53782320100392e-06,3.62087903461173e-06,"55970/2771/5578/2892/3709/5520/1312/59345/4129/2776/2778/2788/2890/2783/2891/2782/5526/5525/2773/5602/2893/2770/817/208/23236/5516/5515/207/5521/3800/5330/409/3798/5601/5530/4128/55844",37
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","27/747","52/3535",0.519230769230769,2.45713623725672,5.47863392069804,7.89328576252753e-07,2.72254483417048e-05,1.50784216821964e-05,"5595/55970/2771/5578/5594/3709/59345/5290/2776/2767/5295/2788/3845/2783/2534/2782/114/4893/2773/2770/817/208/23236/43/207/5330/3265",27
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","35/747","76/3535",0.460526315789474,2.17933136052984,5.37916110187632,8.00748480638378e-07,2.72254483417048e-05,1.50784216821964e-05,"5595/5578/5594/55616/5879/8613/5290/998/1785/10163/5295/2934/10552/1793/56848/274/3635/4082/50807/10810/85477/3636/10094/10096/208/10093/23396/81873/10097/5338/207/382/7409/1073/3984",35
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","36/747","80/3535",0.45,2.12951807228916,5.28885110231839,1.1158740931901e-06,3.29613074909493e-05,1.82551444996314e-05,"5595/55970/2771/5594/22808/5565/3709/59345/2776/5562/10672/187/5327/643246/2788/56848/3845/2783/84557/4088/2782/5571/114/4842/4893/2773/5563/2770/208/23236/3991/8678/207/5330/3265/4087",36
