"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","104/693","125/3535",0.832,4.2440404040404,18.2327394038553,2.39757811429466e-55,6.30563044059496e-53,6.10751477536114e-53,"55660/79228/9128/8683/58517/1665/84321/23450/10450/10946/27339/51362/23350/9343/55110/11338/23451/10523/23020/80145/6629/9984/3183/23658/51639/10286/10594/6628/9939/3178/100534599/10291/6627/6626/4686/84991/9410/10992/6634/9775/22985/84844/10285/22827/8175/8563/56259/6636/6432/51691/51690/9879/6431/10915/4670/5093/3192/3190/6635/9416/6631/8896/6427/10465/55702/56949/6625/7919/11325/10907/6434/10262/27258/6633/57819/84950/10713/6426/4809/6429/6632/55696/55119/151903/7536/1655/10772/9716/24148/6637/11157/988/27238/6428/10084/2521/51503/22916/51340/9092/26121/22794/9129/1659",104
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","61/693","88/3535",0.693181818181818,3.535927456382,11.8944776136439,1.21111447362594e-24,1.59261553281812e-22,1.54257738219726e-22,"7341/3838/79228/53371/57510/7175/79711/1434/79023/84321/8480/5905/7329/10284/55110/9688/29107/4928/10482/10250/80145/9631/9984/23165/9939/57122/5901/10762/4686/79902/5903/9818/5411/55746/23279/129401/8086/9775/22985/65109/8563/8021/2733/7514/23636/348995/6613/4927/7919/10921/9972/55705/51808/23534/22916/3843/23511/22794/64328/3837/6396",61
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","33/693","41/3535",0.804878048780488,4.10569105691057,9.87589769961475,4.51183165122007e-17,3.95537241423626e-15,3.83109915647458e-15,"5694/5693/5695/5688/5708/5682/5685/10213/5713/5687/5686/5707/5689/5717/9861/5714/5683/5684/5705/5709/5719/11047/5702/5701/5704/5691/5700/5706/10197/5692/5690/5710/5718",33
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","24/693","27/3535",0.888888888888889,4.53423120089787,9.10195951437713,1.19735389409407e-14,7.87260185366852e-13,7.62525374659908e-13,"5111/3978/4172/2237/4176/4171/4173/5984/4174/4175/5425/5558/5424/6119/6118/5985/6117/6742/79621/5982/84153/5557/54107/10535",24
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","32/693","46/3535",0.695652173913043,3.54852876592007,8.59025041493287,1.78328072133635e-13,9.34754020730231e-12,9.05385123140748e-12,"84128/84135/23160/134430/29107/10482/10556/10813/5822/10199/5901/22803/65083/26354/10436/23560/10607/7514/10885/1736/55226/4809/55127/2091/6949/3692/23195/10528/10799/51602/10248/10940",32
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","34/693","51/3535",0.666666666666667,3.4006734006734,8.52642445488796,2.13251867847201e-13,9.34754020730231e-12,9.05385123140748e-12,"10200/5393/23517/3329/23658/23016/26986/22803/8761/5394/9125/23404/51691/51690/51010/23019/54512/51013/56915/5073/55802/27258/22894/3313/57819/87178/11340/80153/11157/25904/196513/4848/4849/29883",34
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","39/693","74/3535",0.527027027027027,2.68837018837019,7.24720570466451,1.40443066664878e-10,5.27664664755186e-09,5.11086047111286e-09,"5111/4085/4172/4176/4171/4173/983/4174/4175/64682/9126/9184/23595/4999/3066/1874/23244/8243/51433/8379/1017/1387/29945/29882/11200/2810/10735/9319/23063/5591/1875/5000/546/1022/472/1021/9978/51434/996",39
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","38/693","74/3535",0.513513513513513,2.61943761943762,6.9513176877791,6.61348257853598e-10,2.1741823976937e-08,2.10587208421804e-08,"11052/29894/10284/1477/55110/29107/10978/11051/10482/10250/1479/4440/10914/51692/9939/26986/8761/4686/5411/8189/51585/8731/9775/22985/53981/65109/26528/2733/29101/10898/8106/7919/10921/1478/2521/22916/79869/22794",38
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","23/693","34/3535",0.676470588235294,3.45068330362448,7.08954638286165,1.22316590938528e-09,3.57436260187031e-08,3.46206023475131e-08,"5111/3978/5984/2068/5425/5424/6119/6118/5434/5985/8450/6117/5437/4331/5436/5430/5982/1642/54107/5887/1022/9978/5441",23
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","14/693","17/3535",0.823529411764706,4.20083184789067,6.53171543613783,4.17622716564261e-08,1.09834774456401e-06,1.06383892009001e-06,"5111/4436/3978/2956/5984/4292/5425/5424/6119/6118/5985/6117/6742/5982",14
