"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","30/349","52/3535",0.576923076923077,5.84361913158475,11.6444242718843,7.56963166360827e-18,1.99838275919258e-15,1.44221403275063e-15,"6598/5977/55274/6944/51412/54556/26039/57459/3066/8295/29117/6605/65980/53615/57492/55193/605/8089/5928/10902/6601/8289/86/8099/6599/64769/51377/51773/10933/6595",30
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","14/349","29/3535",0.482758620689655,4.88983302045252,6.9606068103024,1.26842164413709e-07,1.67431657026096e-05,1.20833851362534e-05,"23429/6045/1912/57332/3066/4149/3054/5928/11335/6015/10238/80012/3607/8473",14
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","22/349","78/3535",0.282051282051282,2.85688046433032,5.48788066612585,3.10756661815919e-06,0.000273465862398009,0.000197357739609408,"10000/3800/2786/55844/1385/5332/5515/2770/5567/2776/5566/5530/2773/408/5518/2778/207/2932/2931/2782/6300/5526",22
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","16/349","48/3535",0.333333333333333,3.37631327602674,5.48556593684837,6.81219508457778e-06,0.000449604875582133,0.000324475607975941,"4209/2767/5144/1385/5332/2770/10672/5567/65268/2776/5566/9943/2773/408/2778/5894",16
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","14/349","39/3535",0.358974358974359,3.63602968187495,5.47797426942596,9.77568978130013e-06,0.000516156420452647,0.000372505231666384,"1910/1385/5332/3845/2770/5567/2776/5566/4893/2773/2778/2932/1857/5894",14
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","20/349","73/3535",0.273972602739726,2.77505200769321,5.07144921316411,1.42845344555305e-05,0.000628519516043344,0.000453596620430005,"10000/55844/1385/9254/5332/781/5515/2770/490/9252/5567/2776/5566/2773/5518/2778/207/478/6300/5526",20
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","19/349","69/3535",0.27536231884058,2.78912835845687,4.96677934102238,2.1718685284685e-05,0.000819104702165262,0.00059114015586887,"10000/4792/2786/1910/1385/5332/3845/2770/5567/5566/4893/2773/408/2778/207/2782/6714/6300/5894",19
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","18/349","65/3535",0.276923076923077,2.80493718316068,4.86045731095374,3.29915384083385e-05,0.00108872076747517,0.000785719533145956,"10000/2767/1385/6777/5332/3845/2770/5567/2776/5566/4893/2773/2778/207/2932/1399/6300/5894",18
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","21/349","86/3535",0.244186046511628,2.47334577197308,4.57752168046169,5.82964716650961e-05,0.00171002983550949,0.00123411244109736,"6598/55274/5925/51412/10000/29117/6605/57492/55193/6601/8289/86/6599/3845/4893/4089/207/2932/1857/6595/5894",21
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","14/349","48/3535",0.291666666666667,2.9542741165234,4.51131575664545,0.00013623282174092,0.0031933053746301,0.00230457844022348,"5925/10000/4792/3066/1487/6777/1488/3845/4893/4089/207/1399/5894/613",14
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","11/349","32/3535",0.34375,3.48182306590258,4.6671186015333,0.000141896855644213,0.0031933053746301,0.00230457844022348,"5137/1385/5332/2770/5567/2776/5566/5530/5534/2773/2778",11
"Human Diseases","Substance dependence","hsa05034","Alcoholism","15/349","54/3535",0.277777777777778,2.81359439668895,4.4443487810485,0.000145150244301368,0.0031933053746301,0.00230457844022348,"10014/3066/2786/1385/8841/3845/2770/5567/5566/4893/2773/2778/2782/10013/5894",15
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","9/349","23/3535",0.391304347826087,3.96349819359661,4.71861377907549,0.000187246379977408,0.00344054367782547,0.00248300799715474,"23013/3066/7090/1487/1488/9612/7088/196403/1857",9
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","26/349","127/3535",0.204724409448819,2.07364122464635,4.07787910712547,0.000193848200283527,0.00344054367782547,0.00248300799715474,"5925/10000/4792/2786/2767/1385/5332/7248/3845/2770/10672/5567/2776/5566/5530/5534/4893/2773/2778/207/2932/2782/6714/1399/6300/5894",26
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","19/349","80/3535",0.2375,2.40562320916905,4.20836100209395,0.000195485436240084,0.00344054367782547,0.00248300799715474,"10014/10000/2786/4209/3991/4899/5332/3845/2770/10672/5567/2776/5566/4893/2773/4089/207/2782/5894",19
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","15/349","56/3535",0.267857142857143,2.71310888252149,4.27636598453127,0.0002266381587303,0.00373952961904995,0.00269878333751212,"2767/5332/3845/2770/5567/2776/5566/10381/4893/2773/347733/7846/2778/6714/5894",15
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","13/349","46/3535",0.282608695652174,2.86252647315311,4.20778930846699,0.000334264376368724,0.00480430190973299,0.00346721948030969,"2786/5332/3845/2770/5567/2776/5566/4893/2773/2561/2778/2782/5894",13
"Organismal Systems","Nervous system","hsa04730","Long-term depression","13/349","46/3535",0.282608695652174,2.86252647315311,4.20778930846699,0.000334264376368724,0.00480430190973299,0.00346721948030969,"2767/5332/2781/5515/3845/2770/10672/2776/4893/2773/5518/2778/5894",13
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","14/349","52/3535",0.269230769230769,2.72702226140622,4.15189125991896,0.00034576415259442,0.00480430190973299,0.00346721948030969,"10000/2786/2767/1385/5332/3845/2770/5567/2776/5566/4893/2773/207/2782",14
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","16/349","65/3535",0.246153846153846,2.49327749614283,4.02119895978893,0.000405245044159817,0.00534923458290958,0.00386049226278562,"23411/79718/7090/57216/1487/5332/1488/4163/7088/5567/5566/5530/5534/4089/2932/1857",16
