"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","15/231","45/3535",0.333333333333333,5.1010101010101,7.31987433981806,6.38519528534539e-08,1.56437284490962e-05,1.50556183570249e-05,"5264/373156/6342/30/3155/51/3295/10901/5825/51268/5195/54677/8310/8443/10455",15
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","11/231","39/3535",0.282051282051282,4.31623931623932,5.50568928956392,2.3926884373841e-05,0.00293104333579552,0.00282085373670546,"6319/1374/6342/30/51/3295/37/1892/8310/3032/3030",11
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","6/231","14/3535",0.428571428571429,6.55844155844156,5.50938715774076,0.00014052223936161,0.0109919954635397,0.0105787625513765,"6319/6342/30/51/3295/8310",6
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","9/231","33/3535",0.272727272727273,4.17355371900826,4.84243719019257,0.000179461150425138,0.0109919954635397,0.0105787625513765,"1374/30/51/37/1892/8310/3032/3030/10455",9
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","7/231","22/3535",0.318181818181818,4.86914600550964,4.81289766171554,0.000339410662208415,0.0156442074137346,0.0150560793154739,"2720/3074/9517/3073/5660/10558/2760",7
"Genetic Information Processing","Translation","hsa03010","Ribosome","19/231","125/3535",0.152,2.32606060606061,3.99080431997423,0.00038312344686697,0.0156442074137346,0.0150560793154739,"6135/6232/6205/6189/6208/6146/6207/6217/219927/51116/6191/6133/6188/6228/6204/28977/63875/6210/6165",19
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","21/231","152/3535",0.138157894736842,2.11423444976077,3.71250134853317,0.000714813262526148,0.0250184641884152,0.0240779204219334,"51135/6135/9636/5610/6232/6205/6189/6208/6146/6207/6217/6772/6774/6191/6133/29110/6188/6228/6204/6210/6165",21
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","5/231","13/3535",0.384615384615385,5.88578088578089,4.66584416518572,0.000951634703098343,0.0291438127823867,0.0280481807228985,"4126/2720/3074/3073/2519",5
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","5/231","14/3535",0.357142857142857,5.46536796536797,4.42596016605108,0.00140225273850764,0.0381724356593746,0.0367373816872177,"11253/3074/4124/3073/84061",5
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","7/231","28/3535",0.25,3.82575757575758,3.96885540265399,0.00168033864901579,0.0411682969008869,0.0396206165662671,"51/55902/55862/1892/8310/8801/3030",7
