"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","62/529","183/3535",0.33879781420765,2.26398917433657,7.36518253641081,3.7555568782329e-11,1.1304226203481e-08,8.53895037577166e-09,"11031/64744/23325/30011/9897/30844/100287171/26052/6642/8723/9815/387680/55616/29934/30845/5868/5878/116987/4734/10890/22905/11021/7456/8724/8027/5869/4088/51019/23527/27131/9829/7879/8976/11311/8411/30846/58533/8853/50807/51100/9146/409/112936/408/387/9922/51699/3799/10097/9372/10093/378/3105/5156/60682/55737/3798/1213/9230/3106/4087/3480",62
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","35/529","99/3535",0.353535353535354,2.36247159687613,5.76746672548805,2.71333655325006e-07,4.08357151264134e-05,3.08463523948428e-05,"3685/3693/5868/5878/23673/11151/5869/6891/6890/4842/7879/534/9554/8411/200576/5879/9146/347733/1536/51606/3122/2209/1535/8417/3105/4074/523/526/3115/7280/529/2212/3123/3113/3106",35
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","25/529","64/3535",0.390625,2.61032017958412,5.45307581657937,1.77982314432054e-06,0.000178575588813494,0.00013489185935903,"5305/5578/5290/5295/1608/22876/3628/1606/8867/3709/8776/5297/3635/5330/9807/200576/3705/5291/5336/23236/5579/80271/10423/9677/55529",25
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","27/529","79/3535",0.341772151898734,2.28386494699816,4.84074985164495,1.34755209721094e-05,0.00101403295315123,0.000765976981572533,"817/3685/196527/4035/9844/3693/5868/5878/575/488/5869/1374/64601/7879/6300/5879/57617/6868/65082/55823/1793/834/56848/23355/9392/51552/714",27
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","31/529","106/3535",0.292452830188679,1.95429254199807,4.1842472588214,0.000101517715196087,0.00611136645480443,0.00461638452260101,"5578/9732/51466/5290/5295/5906/2246/57568/54518/22808/5330/5908/6300/5879/5898/83660/5587/5291/387/26037/3643/9855/23236/2533/5156/5579/5899/6494/7409/2776/3480",31
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","46/529","182/3535",0.252747252747253,1.68896321070234,4.00296294402524,0.000129419918644079,0.00649256591864465,0.00490433375914406,"391/5290/9844/51429/5868/5878/9367/4615/6990/5869/23191/64601/7879/8976/26999/3071/6300/10006/55845/5879/57617/65082/5898/55823/257364/5291/347733/4646/387/3831/834/3799/10097/10093/10787/127829/4074/5788/7280/10640/55770/5420/9475/3798/51209/23265",46
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","18/529","51/3535",0.352941176470588,2.35850105637718,4.09894995379383,0.000237529843372214,0.0102137832650052,0.00771525506291702,"5305/5290/22876/3628/8867/8776/5297/3635/5330/9807/200576/3705/5291/5336/23236/80271/10423/9677",18
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","28/529","98/3535",0.285714285714286,1.90926275992439,3.82894648579204,0.00033798115839391,0.0127165410845709,0.00960578029119534,"391/5290/5295/9815/6093/9844/4615/6196/7456/8976/7454/6300/5879/1793/5291/8935/387/6195/834/10097/10093/2533/2932/6197/7409/9475/2212/2776",28
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","19/529","58/3535",0.327586206896552,2.18906850922365,3.82987984916845,0.000480687248362331,0.0149692533861664,0.0113074269327223,"5290/5295/5836/6196/1374/376497/5571/5562/5524/5291/6195/3643/5565/5579/2932/8660/6197/10999/5770",19
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","24/529","81/3535",0.296296296296296,1.97997619547714,3.74251448328517,0.00049731738824473,0.0149692533861664,0.0113074269327223,"5578/5290/5295/26052/1608/1606/2915/22808/5330/2768/5898/2534/8613/5291/387/6654/5336/3643/23236/2207/7248/5156/56848/5899",24
