"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","79/467","125/3535",0.632,4.78398286937901,16.8031619767763,1.29998594836042e-40,3.31496416831908e-38,3.22943877697958e-38,"22827/58517/55660/27339/22985/9128/9343/9410/8683/29896/6429/10594/9939/23020/6626/56259/9775/6628/10286/84950/51691/9416/10772/6634/6432/10946/6627/10291/51639/25766/11338/55110/1665/23450/11157/7919/6427/80145/8175/3183/10713/6635/6431/10523/6631/8563/3190/57819/11325/6434/6625/23451/51503/10992/6629/9984/84991/6428/1655/6633/6637/84844/24148/10450/153527/4670/84321/10907/27258/27238/6636/8896/51729/6632/988/23658/9092/9879/3192",79
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","50/467","88/3535",0.568181818181818,4.30090519758614,12.2325720127865,1.03288210121102e-22,1.31692467904405e-20,1.28294829413579e-20,"7175/5901/79711/51194/79023/22985/8480/4928/5976/10284/53371/9972/10250/5411/57122/10921/7329/9939/9688/9775/30000/55746/5903/129401/7341/7514/51808/5905/55110/79902/9631/65109/8021/7919/23636/23165/80145/23279/8563/348995/4927/9984/1434/84321/8086/3843/2733/26019/9818/9670",50
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","30/467","41/3535",0.731707317073171,5.53872669347678,11.4032473575236,1.42237792498844e-18,1.20902123624018e-16,1.17782873788517e-16,"5693/5695/5708/5694/5688/5682/5705/5685/5707/5702/5713/5706/5714/5683/5717/5687/5684/5689/9861/5701/5686/11047/5704/5691/10213/5719/5709/5710/5700/5690",30
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","14/467","17/3535",0.823529411764706,6.23378259226603,8.43832516767894,1.92586290171705e-10,1.22773759984462e-08,1.19606222317164e-08,"6118/4292/5111/6117/5425/5424/4436/6119/5984/5982/2956/3978/5985/5983",14
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","18/467","34/3535",0.529411764705882,4.00743166645673,6.87389994963907,3.16138798172523e-08,1.61230787067987e-06,1.57071066039401e-06,"1069/1642/6118/5111/6117/5425/5424/6119/5984/5982/3978/2068/5434/5985/5983/1022/4331/2067",18
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","32/467","96/3535",0.333333333333333,2.5231977159172,5.9025522969462,2.24110441994497e-07,8.18723817365418e-06,7.97600911860634e-06,"5693/5695/5708/5694/5688/5682/5705/5685/5707/5702/5713/5706/5714/5683/5717/5687/5684/5689/9861/5701/5686/11047/5704/5691/4800/10213/5719/5709/5710/6311/5700/5690",32
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","14/467","24/3535",0.583333333333333,4.4155960028551,6.54968989276059,2.27345537031085e-07,8.18723817365418e-06,7.97600911860634e-06,"5111/7515/5425/5424/11284/8505/5984/5982/2237/5423/3978/5985/5983/252969",14
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","27/467","74/3535",0.364864864864865,2.7618785809364,5.97523611479309,2.5685453093817e-07,8.18723817365418e-06,7.97600911860634e-06,"4440/1477/1479/22985/5976/10284/10250/5411/51692/10921/8189/9939/53981/9775/29894/11052/55110/29101/65109/51585/7919/11051/1478/10978/23283/2733/26019",27
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","58/467","244/3535",0.237704918032787,1.79932951872784,5.0480175804923,2.23910423224941e-06,6.34412865804e-05,6.18045144808025e-05,"5693/7175/5695/79023/8480/4928/5708/53371/9972/5694/5688/57122/83544/5682/5705/5685/5707/5702/5713/5706/9688/5714/55746/5683/5903/129401/5717/6432/5687/79902/5684/9631/5689/8021/9861/23636/23165/5701/23279/5686/11047/5704/5691/348995/4927/6428/10213/5719/5709/56893/5710/6311/6647/2733/5700/10383/9818/5690",58
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","19/467","52/3535",0.365384615384615,2.76581288090924,5.00418838238696,1.56793173547226e-05,0.000399822592545427,0.000389507252180478,"8607/10856/9112/86/6604/5928/5977/53615/6605/8289/605/65980/6601/51773/8089/55274/6598/8467/196528",19
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","12/467","27/3535",0.444444444444444,3.36426362122294,4.81074153979622,6.52097781721522e-05,0.00151168122126353,0.00147268015776344,"6118/5111/6117/5425/5424/6119/5984/5982/2237/3978/5985/5983",12
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","8/467","14/3535",0.571428571428571,4.3254817987152,4.86350778847949,0.000126799505764668,0.00269448949749919,0.00262497222460189,"6118/10111/4361/6117/5425/5424/6119/4683",8
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","6/467","10/3535",0.6,4.54175588865096,4.37525227419054,0.00067628591326093,0.0129829678489176,0.0126480099580787,"6118/4292/6117/6119/11201/2067",6
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","8/467","17/3535",0.470588235294118,3.56216148129487,4.13092277528236,0.000712790391705281,0.0129829678489176,0.0126480099580787,"2960/8148/6879/2963/2962/2068/1022/4331",8
