"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","89/483","125/3535",0.712,5.21101449275362,19.066857747548,2.46958522252476e-51,6.54440083969062e-49,6.39492594464306e-49,"25766/10569/29896/56949/6431/79228/6430/3183/6426/10084/84991/57187/4686/22985/9984/11157/10772/153527/55660/6432/80145/220988/51729/7919/84844/58517/10291/22916/23020/4670/3190/10465/23451/10946/6428/27339/6434/100534599/84321/6427/10450/10915/3178/9716/9410/55702/4809/9128/2521/10594/10523/7536/51691/6429/10992/6628/8175/5093/11017/6626/56259/6634/6632/11338/51362/51503/6627/55696/23350/6635/26121/151903/25949/25804/57819/10285/27238/6637/6636/6631/51340/6633/10262/6629/9939/9879/10286/9092/84950",89
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","36/483","52/3535",0.692307692307692,5.06688963210702,11.7517324268761,2.94301603781857e-20,3.89949625010961e-18,3.81043129107036e-18,"8295/605/3066/65980/6944/54556/51773/57492/55274/26039/51412/5928/10902/10933/6599/9112/8467/8289/86/6605/8089/196528/6604/29117/6602/57459/5977/51377/8099/53615/6601/55929/6597/7528/64769/6595",36
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","37/483","74/3535",0.5,3.65942028985507,9.19637371321396,3.87511795914926e-14,3.42302086391518e-12,3.34483865947621e-12,"8732/4440/51585/11051/11052/10284/5411/8106/4686/22985/26528/7919/53981/22916/80335/10921/23435/1479/10914/8189/10250/29894/2521/29101/29107/8731/51692/1477/79869/10978/10898/9939/1478/23283/53918/55844/10767",37
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","23/483","51/3535",0.450980392156863,3.30065359477124,6.58281758864941,3.81054732014668e-08,2.52448759959718e-06,2.46682800198969e-06,"55802/23019/23517/11157/10200/51013/9125/5393/51691/9924/51010/25804/57819/56915/22894/4849/54512/80153/23404/23016/118460/4848/4850",23
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","18/483","34/3535",0.529411764705882,3.87468030690537,6.69957927308275,5.42095379148217e-08,2.87310550948555e-06,2.80748343727287e-06,"5983/3978/5430/5424/5434/5111/8450/2068/1022/5437/5431/1642/5425/6117/5436/5432/6118/10714",18
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","16/483","29/3535",0.551724137931034,4.03798100949525,6.53420372873983,1.4264073270238e-07,6.2999656943551e-06,6.15607372715533e-06,"23429/3066/6045/11335/1912/5928/57332/3054/10238/6015/7874/8473/4149/1387/3607/7528",16
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","11/483","17/3535",0.647058823529412,4.73572037510657,6.14137303162344,1.58490129983178e-06,5.99998349222032e-05,5.86294315426494e-05,"4436/4292/5983/3978/2956/5424/5111/5425/6117/6118/10714",11
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","13/483","24/3535",0.541666666666667,3.96437198067633,5.79612147852478,2.93815226337938e-06,9.7326293724442e-05,9.51033495778063e-05,"5423/5983/3978/7515/23583/328/5424/5111/3980/7374/252969/5425/10714",13
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","28/483","88/3535",0.318181818181818,2.32872200263505,5.02075921865067,7.33115731985512e-06,0.000203706109348472,0.000199053437536144,"7329/79228/10284/57187/5411/4686/22985/9984/6613/80145/7919/8480/22916/10921/84321/10762/10250/29107/7514/7175/1434/10073/9939/5903/23165/129401/348995/64328",28
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","10/483","16/3535",0.625,4.57427536231884,5.69971235349805,7.68702299428197e-06,0.000203706109348472,0.000199053437536144,"10621/55718/5430/5434/10623/5437/5431/5436/5432/84265",10
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","13/483","27/3535",0.481481481481481,3.52388620504562,5.23644363245693,1.59194712308389e-05,0.000383514534197483,0.000374755016534581,"5983/3978/10535/5557/5424/4171/5111/84153/5558/5425/6117/6118/10714",13
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","23/483","74/3535",0.310810810810811,2.27477477477477,4.40821831499445,7.35127550707811e-05,0.00162340667447975,0.00158632787258001,"3066/9126/4999/546/10274/5885/5925/10735/9184/5000/472/4171/23595/4085/5111/1022/23063/8243/64682/1387/1021/11200/25836",23
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","9/483","17/3535",0.529411764705882,3.87468030690537,4.7258580243346,0.000135405367998263,0.00276018634765691,0.0026971433625565,"6880/6874/2969/6878/6877/2960/2068/1022/2958",9
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","8/483","14/3535",0.571428571428571,4.18219461697723,4.74539442135266,0.00016189421395044,0.00306442619263332,0.00299443433321866,"5424/4361/472/10111/5425/6117/6118/10714",8
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","13/483","39/3535",0.333333333333333,2.43961352657005,3.59589567569797,0.00134441209537632,0.0237512803516483,0.0232087982780754,"11052/6827/4298/7514/79869/25920/7251/6829/1387/1025/5903/11168/51497",13
