"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","27/349","99/3535",0.272727272727273,2.76243813493097,5.88610495037477,4.7773637037514e-07,0.000143798647482917,0.000117171130839376,"6890/7059/527/6891/7879/3678/2212/3685/9341/2209/8411/653361/3920/9902/11151/1535/10952/4074/3107/2214/3689/3106/3105/1536/929/29927/821",27
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","26/349","98/3535",0.26530612244898,2.687269750307,5.60571343234089,1.40575010986473e-06,0.000211565391534642,0.000172389355578148,"837/5580/3428/841/51135/8767/4615/5594/6772/387/11337/2633/5586/3709/10135/3551/1535/4939/4940/10379/1536/1508/8737/3661/8517/3606",26
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","27/349","111/3535",0.243243243243243,2.46379617439789,5.18559171152296,5.43071035891416e-06,0.000544881272677721,0.000443984390746316,"6890/841/6891/4734/51135/6892/4615/7431/695/960/567/6774/9636/6772/965/5610/3551/3107/4939/4791/3106/4940/3105/10379/8737/3661/8517",27
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","15/349","45/3535",0.333333333333333,3.37631327602674,5.30909306217025,1.32973755630566e-05,0.00100062751112001,0.000815339080576889,"30/3295/373156/8310/8540/6342/8443/10455/5825/5190/54677/1384/26063/6648/3155",15
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","32/349","153/3535",0.209150326797386,2.11847107515403,4.68065650761801,2.21413579006297e-05,0.00133290974561791,0.0010860918717572,"837/5580/8767/3678/10163/7094/4615/960/5594/387/83660/5216/64121/3709/5829/10096/1793/3551/10097/3059/10095/5747/10109/81/8737/929/7335/7414/3661/8517/10241/3606",32
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","20/349","76/3535",0.263157894736842,2.66551048107374,4.85737893994185,2.7385178098006e-05,0.00137382310124997,0.00111942920997112,"3636/5580/10163/1785/2212/5578/5594/85477/2209/8613/3985/3635/653361/10096/1793/10097/10095/10109/2214/5788",20
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","23/349","98/3535",0.23469387755102,2.37720016373312,4.57555139328261,5.09169424176414e-05,0.00218942852395858,0.00178400715538503,"391/51135/3678/10163/4615/2212/5594/387/5586/5829/10096/1793/3551/10097/9815/10095/5747/10109/4772/6197/3661/8517/3606",23
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","16/349","57/3535",0.280701754385965,2.84321117981199,4.64270228490395,7.59117813326031e-05,0.00285618077263919,0.00232729540138112,"53358/391/3678/10163/1785/387/5829/10096/1793/10097/867/3059/10095/5747/10109/7414",16
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","29/349","147/3535",0.197278911564626,1.99822622458726,4.09109007845869,0.000165070130540263,0.00538028375075706,0.00438400459495155,"55845/4478/9459/3678/10163/79784/3685/5594/3071/85477/387/55970/3985/3696/5216/5829/10096/1793/10097/10095/8826/5747/10109/3691/6237/3689/81/3655/7414",29
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","12/349","38/3535",0.315789473684211,3.19861257728849,4.50936916213713,0.00017874696846369,0.00538028375075706,0.00438400459495155,"51135/4615/2212/5594/6772/2209/653361/1535/2214/3689/1536/1915",12
