"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","117/815","125/3535",0.936,4.0598282208589,19.0634933722672,5.86894142689551e-67,1.73720666236107e-64,1.67419276493546e-64,"55660/9128/6426/6432/27339/22985/4686/29896/58517/80145/10946/6434/3183/10523/10291/79228/10772/56949/11338/25766/9775/84991/6431/3190/11157/6428/55110/6627/10084/6429/8175/7919/23020/23451/9410/10450/6629/22916/9343/23450/8683/55702/9984/10569/6427/23350/10992/6628/3178/9939/84321/6626/51729/100534599/4670/84844/7536/6634/57187/1665/51691/10465/10594/56259/6635/6430/10262/10286/153527/6633/51639/22827/151903/6636/220988/10285/11325/6637/10915/57819/55696/6631/4809/9879/2521/51503/8563/9716/25804/6632/27238/6625/5093/11017/51340/51690/1655/9092/10907/51362/26121/23658/84950/3192/22794/27258/8896/24148/9416/25949/10713/55119/27316/22938/988/10189/8449",117
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","67/815","88/3535",0.761363636363636,3.30235638594534,11.9707364401744,1.51652848999915e-26,2.24446216519875e-24,2.16304853047248e-24,"7329/5411/10284/22985/4686/10921/80145/79228/6613/8480/9775/55110/29107/7919/57510/10762/22916/9984/9939/84321/10250/57187/7175/1434/3838/7514/10482/51808/7341/8563/53371/4928/23165/9688/5901/5905/8086/9972/129401/5903/23636/9631/79902/57122/79023/55746/65109/348995/22794/23279/9818/4927/8021/23511/55705/5976/79711/23534/3843/30000/10189/11269/3840/26019/10073/23039/64328",67
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","44/815","52/3535",0.846153846153846,3.67012741859368,10.6165777818221,3.94471572634794e-21,3.8921195166633e-19,3.75094021698348e-19,"3066/605/5928/86/8289/6605/6599/65980/53615/51773/8295/55274/8089/8467/6602/51412/6601/26039/9112/10902/10933/57492/5977/51377/57459/6598/54556/29117/6944/196528/8607/8099/10856/54815/6597/64769/1108/5931/6604/54108/7528/55929/55193/1107",44
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","34/815","41/3535",0.829268292682927,3.59688762531797,9.15400741450271,5.12074408542431e-16,3.78935062321399e-14,3.65189907144734e-14,"5694/5693/5695/5688/5717/5708/5682/5685/5683/5713/5706/5687/5707/5714/5701/5705/5684/11047/5709/5689/5702/5719/5710/5704/5691/23198/10213/9861/10197/5700/5692/5718/5690/5686",34
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","49/815","74/3535",0.662162162162162,2.87207759907146,8.90771947810148,1.53960505102697e-15,9.11446190207964e-14,8.7838519753328e-14,"11052/5411/4440/10284/11051/22985/4686/10921/26528/29894/51585/53981/9775/10914/55110/29107/7919/1479/22916/9939/51692/8106/8189/8731/10250/1477/80335/10978/8732/10482/23435/10898/2521/8761/79869/1478/29101/81608/23283/65109/22794/23293/55339/26986/5976/10189/11269/26019/5501",49
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","25/815","27/3535",0.925925925925926,4.01613269711429,8.61053545641849,1.89737748348437e-14,9.36039558518957e-13,9.02086487761869e-13,"4172/4171/2237/5111/4176/5984/4173/3978/4175/5983/10535/5424/4174/5982/5425/5558/5985/84153/5557/6118/10714/6117/6119/79621/6742",25
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","35/815","46/3535",0.760869565217391,3.3002133902374,8.59457059788383,2.55177255470341e-14,1.07903525170316e-12,1.03989528169116e-12,"29107/7514/10482/10556/4809/10248/1736/22803/10940/10799/23195/5901/55651/84128/26354/6949/51602/55505/10607/134430/23560/1457/23160/10199/65083/10813/1460/79631/5822/10436/2091/4931/10528/55127/54433",35
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","37/815","51/3535",0.725490196078431,3.14675808973896,8.45194666776424,5.90192455657368e-14,2.18371208593226e-12,2.10450204583088e-12,"11157/55802/10200/23517/51691/80153/5393/23019/57819/8761/22803/9125/25804/51013/23016/51690/4849/56915/51010/29883/4848/23658/54512/23404/11340/22894/27258/25904/26986/23644/3329/118460/5073/9924/87178/170506/3313",37
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","27/815","34/3535",0.794117647058823,3.44442439552508,7.83876486642843,4.34222876144962e-12,1.42811079265454e-10,1.37630876532497e-10,"5111/5984/3978/5983/5430/5424/5436/5434/5982/1642/5437/5425/8450/5985/6118/2068/5431/5887/5432/1022/10714/6117/6119/5441/9978/4331/2067",27
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","21/815","24/3535",0.875,3.79524539877301,7.52034513455531,3.31835228867824e-11,9.8223227744876e-10,9.46603652875583e-10,"2237/7515/5111/5984/3978/5983/328/5424/5423/5982/5425/5985/8505/3980/23583/252969/10714/11284/142/7374/3146",21
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","16/815","16/3535",1,4.33742331288344,7.32300411438899,5.68461217330911e-11,1.42093115657476e-09,1.36938955701195e-09,"10621/10623/5430/5436/5434/11128/5437/5431/55718/5432/5441/84265/51082/661/9533/84172",16
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","43/815","74/3535",0.581081081081081,2.52039462775659,7.23434159288354,5.76053171584363e-11,1.42093115657476e-09,1.36938955701195e-09,"3066/9126/4172/9184/5885/4085/4171/5111/8243/10735/4176/4999/4173/4175/10274/546/4174/983/23595/4089/23063/1387/11200/23244/8379/5000/1874/64682/5925/1021/1017/1022/10971/25836/51433/5591/7532/9978/472/9319/29945/51434/7027",43
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","16/815","17/3535",0.941176470588235,4.08228076506676,6.97230479614793,7.59870622393542e-10,1.60658360163206e-08,1.54830780953872e-08,"6880/2960/2959/6874/2969/2958/6877/2962/2068/8148/6879/6878/2963/1022/2957/4331",16
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","16/815","17/3535",0.941176470588235,4.08228076506676,6.97230479614793,7.59870622393542e-10,1.60658360163206e-08,1.54830780953872e-08,"4436/4292/2956/5111/5984/3978/5983/5424/5982/5425/5985/6118/10714/6117/6119/6742",16
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","49/815","96/3535",0.510416666666667,2.21389314928425,6.59975196509606,1.29371766893146e-09,2.55293620002474e-08,2.4603332510907e-08,"2959/5694/5693/9698/5649/5695/4800/5688/5717/5708/5682/5685/5683/5713/5706/5687/23369/5707/5714/5701/5705/5684/11047/5709/5689/5702/5719/5710/10000/5704/5691/10213/9861/5700/5692/5718/5690/5686/5332/4287/11273/6667/7419/3516/7186/10939/10528/6712/4976",49
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","21/815","29/3535",0.724137931034483,3.14089274381214,6.33600597614319,2.09330461436082e-08,3.87261353656752e-07,3.7321417795512e-07,"3066/5928/11335/6045/23429/3054/10238/7874/11091/1912/57332/1387/4149/6015/8473/5931/3607/1460/7528/221937/7027",21
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","11/815","14/3535",0.785714285714286,3.4079754601227,4.94095259230789,1.67393969622172e-05,0.000291462441224487,0.000280890190511508,"5424/5425/6118/4361/10111/10714/6117/6119/472/4683/6742",11
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","80/815","244/3535",0.327868852459016,1.42210600422408,3.74007341137495,0.000201870132676059,0.00331964218178409,0.00319922841843346,"6432/4686/8480/6428/29107/10762/3178/5694/5693/7175/3181/9782/10482/220988/23435/5695/2521/53371/56893/4928/23165/9688/5688/9972/5717/129401/5903/23636/9631/5708/5682/79902/57122/79023/55746/5685/203068/5683/5713/5706/348995/23279/5687/5707/5714/5701/5705/9818/5684/11047/5709/5689/4927/5702/8021/5719/23511/5710/5704/5691/29979/5608/10213/9861/57679/5700/5692/5718/5690/5686/11273/2882/10452/5532/3831/836/55255/637/7186/10189",80
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","19/815","39/3535",0.487179487179487,2.1131036652509,3.82569047158884,0.000370601100880485,0.00577357504529597,0.00556414949244384,"11052/6827/6829/4298/25920/7514/7936/79869/6598/7469/51497/1387/5901/9972/5903/1025/23534/11168/7251",19
