"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","70/815","153/3535",0.457516339869281,1.98444203857412,6.81360087165642,2.09582500826038e-10,6.45514102544196e-08,4.56669238641998e-08,"837/3709/1793/6093/823/824/10163/960/826/5595/4615/5594/5295/3611/387/3551/10097/9844/5336/10096/7094/63916/8767/10109/3059/10093/10094/29108/83660/834/8717/998/5291/5333/831/7189/5580/5330/10552/8737/64121/113026/8976/10670/10095/5601/87/3661/3678/643246/3688/7335/8517/5879/8678/4790/29110/23236/10241/5216/58528/81873/55072/81/929/1147/718/5331/5829/3606",70
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","78/815","183/3535",0.426229508196721,1.8487378054913,6.45319386561033,1.21787355502992e-09,1.87552527474608e-07,1.32684118890102e-07,"27131/11031/8724/23527/9897/4088/23325/55616/6642/30844/30011/23111/100287171/7879/55680/1785/5868/51019/387/64744/160/30845/10097/9815/8411/387680/10096/6643/4734/10109/10093/10094/5878/253725/11311/51100/58533/8766/998/55048/9922/7189/22905/5869/3107/867/3133/7456/10552/83737/3105/9798/1175/3106/8976/2060/51699/10890/10254/57403/50807/10095/1173/9230/116985/29934/60682/8853/26052/830/55737/64145/81873/9559/10617/80230/10938/128866",78
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","49/815","98/3535",0.5,2.16871165644172,6.42182212859345,3.20817483666856e-09,3.29372616564639e-07,2.33014803926453e-07,"837/3709/140609/84168/2633/5595/4615/11337/5594/3428/10379/387/3551/3716/55914/9051/2634/5586/8767/6041/5027/29108/834/841/1536/1535/6772/7189/5580/5330/79671/8737/5601/3661/51135/643246/8517/5585/4790/115361/29110/23236/10135/4940/55072/1147/5331/3606/57506",49
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","48/815","98/3535",0.489795918367347,2.12445223488168,6.17862601498717,1.11277889989007e-08,8.56839752915356e-07,6.06171663887487e-07,"391/1793/6093/10163/6196/5595/4615/5594/5295/387/3551/10097/9815/9844/5586/10096/63916/10109/10093/10094/29108/834/7454/8935/998/5291/7189/6197/7456/10552/2212/8976/10095/5601/3661/3678/51135/2533/3688/8517/5879/5585/4790/29110/81873/1147/5829/3606",48
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","74/815","182/3535",0.406593406593407,1.76356772062294,5.78887407888976,3.92778300621991e-08,2.41951433183146e-06,1.71168648902636e-06,"391/837/55845/257364/112574/5595/4615/3071/5594/51429/7879/1785/5868/387/3551/23191/10097/27072/9844/55207/10096/6237/10006/63916/8767/10109/10093/64601/10094/5878/9367/55823/29108/5788/127829/57617/834/65082/8717/2597/841/1499/998/5291/23339/7189/5869/10552/6990/302/8737/8976/10787/79443/4646/10095/5601/51135/6281/8517/5286/5879/5585/4790/4074/5216/1783/81873/55770/929/1147/23265/3606/23207",74
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","39/815","79/3535",0.493670886075949,2.14125961015765,5.61485766221412,2.11616999752558e-07,9.77998731051387e-06,6.91885636799854e-06,"1793/3685/4035/1374/5595/196527/8754/5594/3693/7879/5868/84466/27072/9844/817/56848/64601/6868/5878/55823/57617/834/65082/240/23339/5869/5777/383/102/5879/9261/5781/575/140885/23166/713/712/3690/714",39
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","31/815","57/3535",0.543859649122807,2.35894952104187,5.66113600776524,2.41075811976982e-07,9.77998731051387e-06,6.91885636799854e-06,"391/53358/1793/10163/5295/3611/1785/387/10097/9844/10096/63916/10109/3059/10093/10094/1499/998/5291/867/10552/8976/1495/10095/3678/3688/5879/1496/26052/81873/5829",31
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","26/815","44/3535",0.590909090909091,2.56302286670385,5.71010863090038,2.54025644428932e-07,9.77998731051387e-06,6.91885636799854e-06,"2771/5595/4615/5594/387/29108/3689/834/7189/3684/5601/3661/3678/51135/3688/4790/720/721/929/713/712/718/714/715/716/710",26
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","37/815","76/3535",0.486842105263158,2.11164029706167,5.36195817071899,6.81897751075057e-07,2.15694967121717e-05,1.52593500321926e-05,"3636/5578/1793/10163/55616/3635/5595/8613/5594/5295/1785/2934/3985/10097/85477/5336/10096/2209/56848/10109/10093/10094/5788/7454/998/5291/5580/10552/2212/653361/50807/10095/4067/5879/8853/2214/81873",37
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","23/815","38/3535",0.605263157894737,2.62528253148208,5.51315845325948,7.0030833481077e-07,2.15694967121717e-05,1.52593500321926e-05,"5595/4615/5594/3716/2209/3689/1536/1535/6772/7189/2212/653361/5777/3684/3122/51135/3688/4790/2214/3115/718/3127/3123",23
