;ATRT;EPN;HGG;LGG;MB
EBF3;0;0;0;0;0.07797423
DPF2;-0.121991169;0;0;0;0
DNAJC2;0;0;0.14198969;0;0
DHPS;0;0;0;0;0.128992272
ERBB2;0;0.175557395;0;0;0
DDX47;0.131601014;0;-0.007833198;0;0
DACH1;0;0;-0.042129757;0;0.095587104
EIF2B1;0;0;0.165543926;0;0
EPPK1;0;0.2162948;0;0;0
CUL9;0;0.051815276;0;0;0
CPNE2;0;0;0.149650621;0;0
CORO2B;-0.057412183;0;0;0;0
ANP32B;0;0;0;-0.035890182;0
EPS8;0;0;0;0.095051467;0
C12orf45;0;0;0;0;0.105043969
C19orf66;0;0;0;0.112590901;0
C21orf2;-0.174473581;0;0;0;0
ARID4A;0;0;0;0;0.102307655
ARSB;0;-0.189399889;0;0;0
ACOT8;0;0;0.163528925;0;0
ADGRL2;0.152660506;0;0;0;0
AKAP12;0;0;0;0.074148386;0
KCNB2;0;0;0;0;0.057303837
KCTD12;0;0;0;0.081416281;0
KCTD15;0;0;0;0;0.084709173
KPNA2;0;0;0;-0.084918062;0
LATS1;0;0;0;-0.187801803;0
IGFBPL1;0;0;0;0;0.119667225
MAD2L1;0;0;0;-0.056299734;0
MAP9;-0.119807732;0;0;0;0
HMGB3;0;0;0;-0.071942207;0
KANK2;0;0;0;0.224547102;0
KIAA0930;0;-0.142125723;0;0;0
IFT74;0;0.034769912;0;0;0
IFT81;0;0.052831011;0;0;0
GPS2;-0.007174106;0;0;0;0.172020373
GRIA1;0;0;0;0.165284186;0
HIST2H3A;0;0;0;-0.070199037;0
WDR89;0;0;0;0;0.154318494
WRAP53;0;0;0;-0.117055006;0
ZFPM2;0;0;-0.035470405;0;0.13444775
TRIO;0;-0.106790298;0;0;0
TRMT61A;0;0;0;-0.129275417;0
TSTA3;0;0.075749006;0;0;0
UFD1;0;0;0.103808706;0;0
USP11;0;0;0.212739658;0;0
SUOX;0;0;0;0.183899893;0
TBC1D2;0;0;0;-0.077638967;0
SORBS3;0;0;0;0.051075055;0
SPP1;0;0;0.108106529;-0.023616845;0
SPRYD4;0;-0.082394;0;0;0
PCBP4;0;-0.144040546;0;0;0.140887928
PDLIM3;-0.051513882;0;0.044008066;0;0
RAB27A;0;0;0;0;-0.062811348
RANBP1;0;0;0;-0.095519912;0
PLEKHO2;0;0;0;0.081970229;0
NFATC4;0.092341365;0;-0.08913227;0;0
