"","EPN03","EPN04","GN01","GN03","EPN02","EPNO5","EPN01","GN02","HGG01","MB04","MB06","MB02","MB01","MB03","MB05","MB07","GN06","HGG04","A01","LGG02","LGG03","LGG04","PA01","PA02","PA03","PA04","PA05","PA06","PA07","GN04","GN05","A02","HGG02","ATRT02","ATRT01","ATRT03","HGG03","LGG01"
"EPN03",1,0.78721205241939,0.740355115423923,0.721792396645697,0.88624883014636,0.843958101533578,0.853171950471352,0.768666917847164,0.755815412426785,0.671951656195952,0.594676960028268,0.617520989771569,0.610648568024685,0.605687603694695,0.620680352941496,0.61347396826952,0.707693088585463,0.586101899189881,0.697220417626579,0.756950594977679,0.685238264540142,0.70558379227156,0.657032128079819,0.671355684604713,0.664544834963428,0.657412219294874,0.7248318828787,0.707375049776394,0.665252054195987,0.755858749547047,0.653344059007403,0.579316636619288,0.716747536655403,0.600419926579876,0.606915765829393,0.614002566310205,0.643263235326861,0.661165063762136
"EPN04",0.78721205241939,1,0.691988691063074,0.729232488375471,0.764995797211602,0.7424764110396,0.790015344889287,0.750055411477957,0.705731255135995,0.633433089312295,0.537481497906267,0.599669641836066,0.564146549220934,0.580611594013405,0.589502859830148,0.579174462026895,0.673894083424872,0.576533155265789,0.660507607608556,0.724660837760966,0.687057446759463,0.697740242341551,0.636997144288106,0.672424924101923,0.656965619765276,0.673205999505409,0.693616736401557,0.687246659017019,0.650281993754393,0.723702166050263,0.627312397548001,0.609714791117926,0.68931745459633,0.590896252893528,0.607558510694814,0.61573506677152,0.646830371578979,0.676678684617992
"GN01",0.740355115423923,0.691988691063074,1,0.669548794905366,0.673500041451731,0.681891448758287,0.719846974207073,0.703336231060785,0.879766067315073,0.725997000328436,0.640033481787325,0.680437630390397,0.644673866592208,0.665090780163948,0.674652979325634,0.649051117380332,0.673873822289057,0.6045860193833,0.608475276619073,0.715261200822836,0.673368535957778,0.658836645850904,0.583761752583296,0.655638277160958,0.592702143058667,0.640103520793523,0.649793570390925,0.651774661822464,0.623265258341635,0.674782228038688,0.586188720978143,0.588213126667356,0.676152448828476,0.645767481482355,0.643236213649747,0.656031265869403,0.647141952389254,0.712878028887994
"GN03",0.721792396645697,0.729232488375471,0.669548794905366,1,0.717011180222979,0.634133623545488,0.73693152365054,0.786369267859897,0.687970528097959,0.652090503056351,0.587743530501516,0.603775443085628,0.570034088072216,0.607895698556599,0.613319739539164,0.585445946217287,0.622509766276668,0.515235818498017,0.571072636278741,0.631740071493495,0.618076185386037,0.626150600156643,0.581673643540821,0.615151005164428,0.5749023044282,0.608850769904538,0.581051724498442,0.610138116596296,0.594524200772821,0.699242036370795,0.521373423708041,0.580269222347759,0.66670762105793,0.625923269902229,0.651504063536279,0.682861103351285,0.662539562121005,0.65440382196401
"EPN02",0.88624883014636,0.764995797211602,0.673500041451731,0.717011180222979,1,0.81169428229578,0.808380680485891,0.749701323995357,0.698372777340352,0.588729285344089,0.522027445741283,0.532407781619692,0.5198296941907,0.552966828559283,0.54064716452606,0.53825685149244,0.685471145346145,0.589769174896324,0.726411782434296,0.726666126731395,0.660483371700382,0.68632283566168,0.670799117596835,0.65281824705493,0.663138669352722,0.640282104122118,0.708581059649397,0.705503784962388,0.663801544304915,0.74283211966302,0.677960369093827,0.580770119717499,0.676745373117478,0.523557553838427,0.535677919345843,0.545719478901678,0.587450004169334,0.6147214394721
"EPNO5",0.843958101533578,0.7424764110396,0.681891448758287,0.634133623545488,0.81169428229578,1,0.778592178453808,0.744785432412041,0.716927865361962,0.570197333146655,0.473086586593921,0.531130318052304,0.49777320182977,0.515079113010419,0.515801689564478,0.5262972335493,0.760565292383572,0.650219441854177,0.798947516655816,0.768111460588312,0.755261757082211,0.777386330373909,0.751482320839325,0.738762367532887,0.771708436754478,0.724653436823027,0.825728193483514,0.790557596665644,0.743873844211484,0.796701604242631,0.765495294274276,0.62838434189496,0.70911231834308,0.493053543437601,0.568796778743636,0.538292946205328,0.627432493955242,0.663138127641767
"EPN01",0.853171950471352,0.790015344889287,0.719846974207073,0.73693152365054,0.808380680485891,0.778592178453808,1,0.798662713936738,0.764323593998435,0.717632265475859,0.648924799691718,0.644602151301453,0.620460009129659,0.662122765655664,0.650412774484131,0.659130031063837,0.703558889384467,0.609142987483056,0.701321241045975,0.746951879397998,0.702542915230285,0.717617098785436,0.692261866516012,0.706597200043405,0.685442151532134,0.690630105320144,0.70166428286788,0.721660768643853,0.69144326127869,0.73767616284887,0.626942459797783,0.680570393267939,0.713066269666336,0.646825592114958,0.679547583880913,0.682399184239273,0.676357418278824,0.705726929650237
"GN02",0.768666917847164,0.750055411477957,0.703336231060785,0.786369267859897,0.749701323995357,0.744785432412041,0.798662713936738,1,0.744353554701946,0.66640662266283,0.568000562451877,0.62845774473273,0.5920716419957,0.627431639034325,0.603862251020541,0.627350427260733,0.742495403174089,0.700000299558055,0.73022612318442,0.809810173331794,0.806669159495198,0.816092931407568,0.746422984325487,0.792514202212801,0.744186387129729,0.779409752147378,0.761649228344586,0.808495533693792,0.760443176091676,0.788015330227025,0.705071956495438,0.709560171844015,0.727624427727182,0.603772249929853,0.68914767127159,0.671526847239921,0.733195810852795,0.772650038094137
"HGG01",0.755815412426785,0.705731255135995,0.879766067315073,0.687970528097959,0.698372777340352,0.716927865361962,0.764323593998435,0.744353554701946,1,0.727093662271938,0.646367156543315,0.686018822880797,0.645913034697088,0.701734586739328,0.671277096418728,0.688972020339783,0.712362008158018,0.652213773458617,0.685266358204056,0.740964440419101,0.720401471317052,0.72084246290025,0.694482464058602,0.712294393943657,0.675910443319787,0.673161919476251,0.691318611560859,0.712666818602488,0.704793032936793,0.71537740267303,0.624386030000687,0.68136909304338,0.721076265896586,0.648233467268844,0.692125890103812,0.684290134391334,0.702275847850135,0.724030210009645
"MB04",0.671951656195952,0.633433089312295,0.725997000328436,0.652090503056351,0.588729285344089,0.570197333146655,0.717632265475859,0.66640662266283,0.727093662271938,1,0.754170262703897,0.76274768619933,0.73358728726688,0.775100763654472,0.783786937484116,0.764194449720323,0.596006836511885,0.55085853945959,0.527618906777712,0.644388879988871,0.604593973973187,0.591415189117089,0.538341661173191,0.602497658573533,0.527609549964598,0.590568369047848,0.550974548431493,0.585568857750562,0.559417759603014,0.614233963493719,0.490507349880325,0.616065608324535,0.612723635315044,0.704496990803735,0.668520761347236,0.709277592077046,0.64702851543263,0.694565587085148
