"","EPN03","EPN04","GN01","GN03","EPN02","EPNO5","EPN01","GN02","HGG01","MB04","MB06","MB02","MB01","MB03","MB05","MB07","GN06","HGG04","A01","LGG02","LGG03","LGG04","PA01","PA02","PA03","PA04","PA05","PA06","PA07","GN04","GN05","A02","HGG02","ATRT02","ATRT01","ATRT03","HGG03","LGG01"
"EPN03",1,0.78394342072074,0.740503049212779,0.72680938379721,0.883882260706224,0.836730717827932,0.85185944041319,0.770682558199098,0.75726330369887,0.674383570523673,0.592755490194444,0.624864303286543,0.615674788063847,0.614714393701248,0.625271490519276,0.624076829276787,0.709053703598605,0.590525134883179,0.668047861129868,0.770297982197514,0.683861229006993,0.70273159120637,0.640180686226114,0.674664801296673,0.65168241891407,0.659463823393305,0.716105348172761,0.703980396009733,0.6555523217183,0.751762343166533,0.630270689251293,0.542512709029998,0.720205920883164,0.59349974991444,0.616724298339651,0.622537408074162,0.657100847212633,0.670948885693874
"EPN04",0.78394342072074,1,0.686517209047542,0.727043888796862,0.759969293962128,0.741710145981048,0.783875807422724,0.744485760721108,0.702487539558389,0.627777180039281,0.530290313150426,0.594743683346168,0.559084996900432,0.578749075767931,0.582952003900319,0.578356601167301,0.67401156908676,0.573408146056834,0.630744756508463,0.730810830357844,0.679350868973942,0.687916678210705,0.617928132203324,0.66676622949459,0.639952178437343,0.665830499003075,0.681368856030828,0.677425546453519,0.637474789594903,0.720680488930865,0.599400202503132,0.564423389339638,0.691640809947317,0.578580276603007,0.609418106497432,0.612220842777568,0.652885325789165,0.679024668827005
"GN01",0.740503049212779,0.686517209047542,1,0.669713390858186,0.671975006245993,0.68509945075861,0.718252234992415,0.698511088056974,0.874563157227723,0.721991843887147,0.632643049492473,0.678484237054013,0.642192126617974,0.663444449318252,0.669917203899219,0.654711386628214,0.674048321888473,0.60150431012455,0.581392697067242,0.718055085985274,0.664223306048201,0.652477741794547,0.567785510335299,0.651641809223592,0.577977493715657,0.634181174752414,0.644473470497234,0.643007263918445,0.609171644278316,0.675744944157731,0.567030496395406,0.537669947089119,0.674830700185462,0.630159211249601,0.638079258610657,0.649049794714305,0.652472558900637,0.708182907902267
"GN03",0.72680938379721,0.727043888796862,0.669713390858186,1,0.720540839144419,0.642180116663939,0.73661208708943,0.788679600144163,0.69036696517893,0.653522912240644,0.58588099169074,0.60292739773664,0.568090139600202,0.609635998040486,0.611618369909369,0.588588363073659,0.628809036384112,0.527495111337751,0.555570514518926,0.652152980324363,0.62208979127521,0.627967778122548,0.568269457871508,0.618613096219931,0.567140815614404,0.612316558278262,0.583742709061194,0.616985771873968,0.58632755561455,0.700153844467361,0.5117866538162,0.536279944282456,0.67223240581551,0.620449741175438,0.657017678093052,0.683001381308179,0.670038293684578,0.664228903616213
"EPN02",0.883882260706224,0.759969293962128,0.671975006245993,0.720540839144419,1,0.801890591043577,0.806366186906853,0.751065059489891,0.700763045753228,0.590639453787641,0.521685107932507,0.538665584303588,0.526176978987039,0.563446018328308,0.546679028222085,0.549020709093302,0.688720068979474,0.592624462572955,0.699805588618541,0.738624851231752,0.660035745909614,0.683928165273286,0.656989912151552,0.656270995401155,0.651231644241252,0.641892601082494,0.700587753597302,0.703609659764109,0.655954535868064,0.737107838401281,0.653655774924989,0.545009569956132,0.681612478725037,0.520808781682399,0.546047279086761,0.552589576474839,0.602674711898717,0.62696541681189
"EPNO5",0.836730717827932,0.741710145981048,0.68509945075861,0.642180116663939,0.801890591043577,1,0.776351769131145,0.747396328363524,0.720532369734354,0.574415254418316,0.474077400244381,0.540991549082733,0.507271120471649,0.524566246866059,0.526173456605808,0.543341418906287,0.759725022545016,0.654947137341183,0.77129800120388,0.782235060186958,0.755823527787176,0.776274534467053,0.736400191066243,0.742822173904732,0.758971297533231,0.730256344821734,0.814617123783319,0.789995378290858,0.739926371127948,0.792834257605747,0.744343365793364,0.591506770442799,0.719737213387396,0.492278100095643,0.582600693579981,0.553274777922275,0.647831247592228,0.678072813581808
"EPN01",0.85185944041319,0.783875807422724,0.718252234992415,0.73661208708943,0.806366186906853,0.776351769131145,1,0.800541342227215,0.764541046743264,0.71454592090194,0.644092894619524,0.643994220033004,0.621289210595185,0.664419671990807,0.651282862536569,0.66148390417549,0.707554010817876,0.610368052337806,0.676962557589807,0.756576848709351,0.701878519774643,0.715032760321846,0.677382729802465,0.708434017652928,0.67416353320968,0.689871189378698,0.696267791544247,0.718096582643675,0.681426510574249,0.735293506995907,0.603899988816325,0.628410085389464,0.715567257889869,0.637770761496716,0.681964678330614,0.682875464430688,0.685451552911702,0.713418824857526
"GN02",0.770682558199098,0.744485760721108,0.698511088056974,0.788679600144163,0.751065059489891,0.747396328363524,0.800541342227215,1,0.746241765185967,0.667099332859893,0.565009595158497,0.626174295974832,0.587851369325751,0.631947086184265,0.606499061365662,0.632240590646784,0.753017035953829,0.699991162888432,0.714220845592166,0.823136039773761,0.81298213895807,0.820779352221973,0.739801634014246,0.798739524322134,0.740260838452256,0.784142732221065,0.761733814809652,0.816159997910358,0.759857557485882,0.790970634908944,0.687876416305348,0.66377343400084,0.734540346156349,0.592212539249669,0.691890622377432,0.673386466198371,0.747914314061023,0.783005905207844
"HGG01",0.75726330369887,0.702487539558389,0.874563157227723,0.69036696517893,0.700763045753228,0.720532369734354,0.764541046743264,0.746241765185967,1,0.723891315632864,0.637991747657202,0.676741681846243,0.638090256837545,0.696317521872899,0.666421147051908,0.688644174913349,0.716523371357712,0.656885443964708,0.661779095705864,0.750167242837468,0.716792332073741,0.719179790372854,0.680727173694003,0.709309186247683,0.664779973492836,0.67248034522891,0.691289589000177,0.711294465970946,0.693792652814545,0.715564547069883,0.608433086593391,0.632323166408498,0.721551024649527,0.63326847060456,0.683927775463347,0.679532090199166,0.707847460228509,0.72789928837847
"MB04",0.674383570523673,0.627777180039281,0.721991843887147,0.653522912240644,0.590639453787641,0.574415254418316,0.71454592090194,0.667099332859893,0.723891315632864,1,0.748927599006083,0.764986057627701,0.735895945104384,0.775456346891284,0.783500079806132,0.767492983591764,0.598208835918715,0.55243837881947,0.507999963221082,0.65440125060899,0.605126634515459,0.589060196439295,0.526090761533693,0.600563076072851,0.513181270271506,0.585388622907036,0.548520809725205,0.583735888827754,0.55079367010262,0.612623723437194,0.475374645634096,0.566809899543818,0.617344915156974,0.697955380293845,0.669389478840477,0.707107007418432,0.65154225806575,0.695736275546269
