#node	identifier	x_position	y_position	color	annotation
ABCB6	9606.ENSP00000265316	0.5927692307692308	0.28249001331557927	rgb(255,0,0)	ATP-binding cassette sub-family B member 6, mitochondrial; Binds heme and porphyrins and functions in their ATP- dependent uptake into the mitochondria. Plays a crucial role in heme synthesis; Belongs to the ABC transporter superfamily. ABCB family. Heavy Metal importer (TC 3.A.1.210) subfamily.
AK7	9606.ENSP00000267584	0.6666153846153847	0.5892809587217045	rgb(255,175,101)	Adenylate kinase 7; Nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Has highest activity toward AMP, and weaker activity toward dAMP, CMP and dCMP. Also displays broad nucleoside diphosphate kinase activity. Involved in maintaining ciliary structure and function.
ANKRD45	9606.ENSP00000331268	0.2826153846153846	0.45505992010652463	rgb(178,171,0)	Ankyrin repeat domain 45.
ARMC3	9606.ENSP00000298032	0.40076923076923077	0.253728362183755	rgb(187,255,101)	Armadillo repeat containing 3.
ARVCF	9606.ENSP00000263207	0.3343076923076923	0.6659786950732357	rgb(14,178,0)	Armadillo repeat protein deleted in velo-cardio-facial syndrome; Involved in protein-protein interactions at adherens junctions; Belongs to the beta-catenin family.
B9D1	9606.ENSP00000261499	0.3638461538461538	0.3507989347536618	rgb(101,255,163)	B9 domain-containing protein 1; Component of the tectonic-like complex, a complex localized at the transition zone of primary cilia and acting as a barrier that prevents diffusion of transmembrane proteins between the cilia and plasma membranes. Required for ciliogenesis and sonic hedgehog/SHH signaling (By similarity); Belongs to the B9D family.
BAD	9606.ENSP00000378040	0.7626153846153847	0.8481358189081226	rgb(0,178,157)	Bcl2-associated agonist of cell death; Promotes cell death. Successfully competes for the binding to Bcl-X(L), Bcl-2 and Bcl-W, thereby affecting the level of heterodimerization of these proteins with BAX. Can reverse the death repressor activity of Bcl-X(L), but not that of Bcl-2 (By similarity). Appears to act as a link between growth factor receptor signaling and the apoptotic pathways.
BAIAP3	9606.ENSP00000324510	0.4967692307692308	0.7714380825565913	rgb(101,199,255)	BAI1-associated protein 3; Functions in endosome to Golgi retrograde transport. In response to calcium influx, may interact with SNARE fusion receptors and membrane phospholipids to mediate endosome fusion with the trans- Golgi network. By promoting the recycling of secretory vesicle transmembrane proteins, it indirectly controls dense-core secretory vesicle biogenesis, maturation and their ability to mediate the constitutive and regulated secretion of neurotransmitters and hormones. May regulate behavior and food intake by controlling calcium-stimulated exocytosis of neurotransmitters [...] 
CAST	9606.ENSP00000422176	0.7847692307692309	0.17703062583222373	rgb(0,28,178)	Calpastatin; Specific inhibition of calpain (calcium-dependent cysteine protease). Plays a key role in postmortem tenderization of meat and have been proposed to be involved in muscle protein degradation in living tissue; Belongs to the protease inhibitor I27 (calpastatin) family.
CCDC170	9606.ENSP00000239374	0.651846153846154	0.7043275632490014	rgb(150,101,255)	Coiled-coil domain containing 170.
CFAP298	9606.ENSP00000290155	0.6887692307692308	0.253728362183755	rgb(239,117,117)	Cilia- and flagella-associated protein 298; Plays a role in motile cilium function, possibly by acting on outer dynein arm assembly. Seems to be important for initiation rather than maintenance of cilium motility (By similarity). Required for correct positioning of the cilium at the apical cell surface, suggesting an additional role in the planar cell polarity (PCP) pathway (By similarity). May suppress canonical Wnt signaling activity (By similarity); Belongs to the CFAP298 family.
CFAP52	9606.ENSP00000339449	0.2826153846153846	0.4071238348868176	rgb(239,124,117)	Cilia- and flagella-associated protein 52; May play a role in cell growth and/or survival. Belongs to the CFAP52 family.
CRB2	9606.ENSP00000362734	0.2530769230769231	0.6180426098535287	rgb(239,130,117)	Protein crumbs homolog 2; Apical polarity protein that plays a central role during the epithelial-to-mesenchymal transition (EMT) at gastrulation, when newly specified mesodermal cells move inside the embryo. Acts by promoting cell ingression, the process by which cells leave the epithelial epiblast and move inside the embryo to form a new tissue layer. The anisotropic distribution of CRB2 and MYH10/myosin-IIB at cell edges define which cells will ingress: cells with high apical CRB2 are probably extruded from the epiblast by neighboring cells with high levels of apical MYH10/myosin-II [...] 
CROCC2	9606.ENSP00000397968	0.4967692307692308	0.13868175765645807	rgb(239,137,117)	Ciliary rootlet coiled-coil, rootletin family member 2; Belongs to the rootletin family.
DGLUCY	9606.ENSP00000428263	0.20876923076923076	0.8768974700399468	rgb(239,144,117)	D-glutamate cyclase, mitochondrial; D-glutamate cyclase that converts D-glutamate to 5-oxo-D- proline.
DNAAF1	9606.ENSP00000367815	0.23830769230769233	0.7522636484687084	rgb(239,151,117)	Dynein assembly factor 1, axonemal; Cilium-specific protein required for the stability of the ciliary architecture. Plays a role in cytoplasmic preassembly of dynein arms. Involved in regulation of microtubule-based cilia and actin-based brush border microvilli.
DNAAF3	9606.ENSP00000436975	0.6887692307692308	0.10992010652463383	rgb(239,158,117)	Dynein assembly factor 3, axonemal; Required for the assembly of axonemal inner and outer dynein arms. Involved in preassembly of dyneins into complexes before their transport into cilia.
DNAH5	9606.ENSP00000265104	0.4967692307692308	0.28249001331557927	rgb(239,165,117)	Dynein heavy chain 5, axonemal; Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Required for structural and functional integrity of the cilia of ependymal cells lining the brain ventricles.
DNAH9	9606.ENSP00000262442	0.3416923076923077	0.30166444740346204	rgb(239,171,117)	Dynein heavy chain 9, axonemal; Force generating protein required for cilia beating in respiratory epithelia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP.
DNAL1	9606.ENSP00000452037	0.7995384615384616	0.8960719041278296	rgb(239,178,117)	Dynein light chain 1, axonemal; Part of the multisubunit axonemal ATPase complexes that generate the force for cilia motility and govern beat frequency (By similarity). Component of the outer arm dynein (ODA). May be involved in a mechanosensory feedback mechanism controlling ODA activity based on external conformational cues by tethering the outer arm dynein heavy chain (DNAH5) to the microtubule within the axoneme (By similarity). Important for ciliary function in the airways and for the function of the cilia that produce the nodal flow essential for the determination of the left-rig [...] 
DPCD	9606.ENSP00000359170	0.4967692307692308	0.18661784287616512	rgb(239,185,117)	Protein DPCD; May play a role in the formation or function of ciliated cells.
DPP7	9606.ENSP00000360635	0.5927692307692308	0.18661784287616512	rgb(239,192,117)	Dipeptidyl peptidase 2; Plays an important role in the degradation of some oligopeptides.
DTHD1	9606.ENSP00000401597	0.5927692307692308	0.13868175765645807	rgb(239,199,117)	Death domain containing 1.
DYNC2H1	9606.ENSP00000497174	0.6767692307692309	0.3400133155792277	rgb(239,206,117)	Cytoplasmic dynein 2 heavy chain 1; May function as a motor for intraflagellar retrograde transport. Functions in cilia biogenesis. May play a role in transport between endoplasmic reticulum and Golgi or organization of the Golgi in cells (By similarity).
