#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTL6B	EP400	9606.ENSP00000160382	9606.ENSP00000374212	0	0	0	0	0	0.811	0.540	0	0.909
ACTL6B	TRRAP	9606.ENSP00000160382	9606.ENSP00000352925	0	0	0	0	0	0.795	0.540	0	0.901
ACTL6B	PBRM1	9606.ENSP00000160382	9606.ENSP00000386593	0	0	0	0	0.118	0.485	0.800	0	0.901
ACTL6B	DMAP1	9606.ENSP00000160382	9606.ENSP00000361363	0	0	0	0	0.093	0.859	0.540	0	0.936
ACTL6B	DPF2	9606.ENSP00000160382	9606.ENSP00000252268	0	0	0	0	0.129	0.783	0.540	0	0.905
ACTL6B	SMARCB1	9606.ENSP00000160382	9606.ENSP00000340883	0	0	0	0	0.161	0.659	0.720	0	0.912
ACTL6B	SMARCD1	9606.ENSP00000160382	9606.ENSP00000378414	0	0	0	0	0.115	0.769	0.800	0	0.955
ACTL6B	SMARCC2	9606.ENSP00000160382	9606.ENSP00000449396	0	0	0	0	0	0.684	0.720	0	0.907
ALYREF	DDX5	9606.ENSP00000421592	9606.ENSP00000225792	0	0	0	0	0.133	0.488	0.800	0	0.903
ALYREF	DDX39A	9606.ENSP00000421592	9606.ENSP00000242776	0	0	0	0	0.300	0.917	0.500	0	0.968
ALYREF	SRSF1	9606.ENSP00000421592	9606.ENSP00000258962	0	0	0	0	0.672	0.657	0.500	0	0.938
ALYREF	THOC1	9606.ENSP00000421592	9606.ENSP00000261600	0	0	0	0	0.081	0.831	0.900	0	0.983
ALYREF	THOC7	9606.ENSP00000421592	9606.ENSP00000295899	0	0	0	0	0.155	0.787	0.900	0	0.980
ALYREF	U2AF2	9606.ENSP00000421592	9606.ENSP00000307863	0	0	0	0	0.643	0.645	0.500	0	0.931
ALYREF	SRSF7	9606.ENSP00000421592	9606.ENSP00000325905	0	0	0	0	0.547	0.616	0.500	0	0.905
ALYREF	NCBP2	9606.ENSP00000421592	9606.ENSP00000326806	0	0	0	0	0.142	0.788	0.500	0	0.901
ALYREF	SARNP	9606.ENSP00000421592	9606.ENSP00000337632	0	0	0	0	0.359	0.332	0.900	0	0.953
ALYREF	CHTOP	9606.ENSP00000421592	9606.ENSP00000357679	0	0	0	0	0.594	0.292	0.900	0	0.968
ALYREF	NCBP1	9606.ENSP00000421592	9606.ENSP00000364289	0	0	0	0	0.140	0.829	0.500	0	0.920
ALYREF	THOC5	9606.ENSP00000421592	9606.ENSP00000420306	0	0	0	0	0.255	0.837	0.900	0	0.986
ALYREF	SRRT	9606.ENSP00000421592	9606.ENSP00000480421	0	0	0	0	0.519	0.616	0.800	0	0.959
ALYREF	NXF1	9606.ENSP00000421592	9606.ENSP00000436679	0	0	0	0	0.125	0.996	0.900	0	0.999
ANP32A	SET	9606.ENSP00000417864	9606.ENSP00000361777	0	0	0	0	0.237	0.628	0.800	0	0.938
ANP32E	BRD8	9606.ENSP00000463154	9606.ENSP00000254900	0	0	0	0	0.058	0.345	0.900	0	0.932
ANP32E	MCRS1	9606.ENSP00000463154	9606.ENSP00000349640	0	0	0	0	0	0	0.900	0	0.900
ANP32E	TRRAP	9606.ENSP00000463154	9606.ENSP00000352925	0	0	0	0	0.056	0.345	0.900	0	0.932
ANP32E	EP400	9606.ENSP00000463154	9606.ENSP00000374212	0	0	0	0	0.049	0.368	0.900	0	0.934
ANP32E	INO80C	9606.ENSP00000463154	9606.ENSP00000391457	0	0	0	0	0	0	0.900	0	0.900
APEX1	FEN1	9606.ENSP00000216714	9606.ENSP00000305480	0	0	0	0	0.406	0.310	0.800	0	0.911
AQR	NCBP1	9606.ENSP00000156471	9606.ENSP00000364289	0	0	0	0	0.920	0	0	0	0.920
AQR	RBM8A	9606.ENSP00000156471	9606.ENSP00000463058	0	0	0	0	0.067	0.937	0	0	0.938
AQR	SLU7	9606.ENSP00000156471	9606.ENSP00000297151	0	0	0	0	0.109	0.937	0	0	0.941
AQR	SNRNP200	9606.ENSP00000156471	9606.ENSP00000317123	0	0	0	0	0.259	0.989	0	0	0.992
AQR	ISY1	9606.ENSP00000156471	9606.ENSP00000273541	0	0	0	0	0.067	0.965	0.800	0	0.993
AQR	SNRPE	9606.ENSP00000156471	9606.ENSP00000400591	0	0	0	0	0.060	0.976	0.900	0	0.997
AQR	DHX8	9606.ENSP00000156471	9606.ENSP00000262415	0	0	0	0	0.467	0.964	0.900	0	0.997
AQR	SNW1	9606.ENSP00000156471	9606.ENSP00000451129	0	0	0	0	0.068	0.978	0.900	0	0.997
AQR	XAB2	9606.ENSP00000156471	9606.ENSP00000351137	0	0	0	0	0.139	0.997	0.900	0	0.999
AQR	RBM22	9606.ENSP00000156471	9606.ENSP00000199814	0	0	0	0	0.074	0.989	0.900	0	0.998
AQR	CDC5L	9606.ENSP00000156471	9606.ENSP00000360532	0	0	0	0	0.257	0.996	0.900	0	0.999
AQR	BCAS2	9606.ENSP00000156471	9606.ENSP00000358554	0	0	0	0	0.049	0.991	0.900	0	0.999
AQR	CRNKL1	9606.ENSP00000156471	9606.ENSP00000366557	0	0	0	0	0.149	0.979	0.900	0	0.998
ARHGEF2	TUBB3	9606.ENSP00000354837	9606.ENSP00000320295	0	0	0	0	0.050	0	0.900	0	0.900
ARHGEF2	TUBB	9606.ENSP00000354837	9606.ENSP00000339001	0	0	0	0	0.067	0	0.900	0	0.902
ARID1A	DPF2	9606.ENSP00000320485	9606.ENSP00000252268	0	0	0	0	0.100	0.990	0.540	0	0.995
ARID1A	SMARCC1	9606.ENSP00000320485	9606.ENSP00000254480	0	0	0	0	0.271	0.940	0.900	0	0.995
ARID1A	ARID1B	9606.ENSP00000320485	9606.ENSP00000490491	0	0	0	0.927	0.437	0.846	0.900	0	0.990
ARID1A	SMARCD1	9606.ENSP00000320485	9606.ENSP00000378414	0	0	0	0	0.141	0.992	0.900	0	0.999
ARID1A	SMARCA4	9606.ENSP00000320485	9606.ENSP00000343896	0	0	0	0	0.250	0.998	0.900	0	0.999
ARID1A	SMARCE1	9606.ENSP00000320485	9606.ENSP00000323967	0	0	0	0	0.097	0.991	0.900	0	0.999
ARID1A	SMARCB1	9606.ENSP00000320485	9606.ENSP00000340883	0	0	0	0	0.076	0.991	0.900	0	0.999
