#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	ALDH2	9606.ENSP00000379845	9606.ENSP00000261733	0	0	0	0	0.156	0.099	0.918	0	0.932
ABAT	ALDH5A1	9606.ENSP00000379845	9606.ENSP00000314649	0	0	0	0	0.263	0.134	0.946	0	0.962
ABAT	CNDP2	9606.ENSP00000379845	9606.ENSP00000325548	0	0	0	0	0.057	0.058	0.925	0	0.928
ABAT	ALDH9A1	9606.ENSP00000379845	9606.ENSP00000346827	0	0	0	0	0.155	0.099	0.918	0	0.932
ABAT	ALDH6A1	9606.ENSP00000379845	9606.ENSP00000450436	0	0	0	0	0.204	0	0.900	0	0.917
ABI1	NCKAP1	9606.ENSP00000365312	9606.ENSP00000354251	0	0	0	0	0.060	0.908	0.900	0	0.990
ABI1	WASF2	9606.ENSP00000365312	9606.ENSP00000483313	0	0	0	0	0.195	0.915	0.900	0	0.992
ABI1	CYFIP2	9606.ENSP00000365312	9606.ENSP00000479719	0	0	0	0	0.089	0.861	0.800	0	0.972
ABI1	CYFIP1	9606.ENSP00000365312	9606.ENSP00000481038	0	0	0	0	0.224	0.838	0.800	0	0.972
ACADS	ACSS3	9606.ENSP00000242592	9606.ENSP00000449535	0	0	0	0	0.189	0	0.915	0	0.928
ACADS	ALDH6A1	9606.ENSP00000242592	9606.ENSP00000450436	0	0	0	0	0.228	0.062	0.900	0	0.921
ACADS	ECHDC1	9606.ENSP00000242592	9606.ENSP00000436585	0	0	0	0	0.384	0.091	0.948	0	0.968
ACAN	TNR	9606.ENSP00000387356	9606.ENSP00000356646	0	0	0	0	0.123	0.886	0.500	0	0.945
ACSS3	ECHDC1	9606.ENSP00000449535	9606.ENSP00000436585	0	0	0	0	0.192	0	0.915	0	0.928
ACSS3	ALDH6A1	9606.ENSP00000449535	9606.ENSP00000450436	0	0	0	0	0.121	0	0.900	0	0.908
ACYP2	ALDH2	9606.ENSP00000475986	9606.ENSP00000261733	0	0	0	0	0.049	0	0.900	0	0.900
ACYP2	ALDH9A1	9606.ENSP00000475986	9606.ENSP00000346827	0	0	0	0	0.056	0	0.900	0	0.901
ADCYAP1R1	GNB1	9606.ENSP00000483721	9606.ENSP00000367872	0	0	0	0	0	0.922	0.500	0	0.959
ADD1	ADD3	9606.ENSP00000264758	9606.ENSP00000348381	0	0	0	0.938	0.248	0.753	0.900	0	0.979
ADGRG1	GNB1	9606.ENSP00000455215	9606.ENSP00000367872	0	0	0	0	0.065	0.941	0	0	0.942
ADGRG1	GNA13	9606.ENSP00000455215	9606.ENSP00000400717	0	0	0	0	0	0.967	0	0	0.967
ADGRL3	GNB4	9606.ENSP00000422533	9606.ENSP00000232564	0	0	0	0	0.060	0.967	0	0	0.967
ADGRL3	GNB5	9606.ENSP00000422533	9606.ENSP00000261837	0	0	0	0	0.060	0.967	0	0	0.967
ADGRL3	GNB2	9606.ENSP00000422533	9606.ENSP00000305260	0	0	0	0	0.060	0.967	0	0	0.967
ADGRL3	GNB1	9606.ENSP00000422533	9606.ENSP00000367872	0	0	0	0	0.060	0.967	0	0	0.967
AGPAT3	AGPAT5	9606.ENSP00000291572	9606.ENSP00000285518	0	0	0	0.634	0.049	0	0.900	0	0.900
AGPAT3	PLPP4	9606.ENSP00000291572	9606.ENSP00000381302	0	0	0	0	0	0.065	0.914	0	0.916
AGPAT3	MBOAT2	9606.ENSP00000291572	9606.ENSP00000302177	0	0	0	0	0.091	0.169	0.900	0	0.917
AGPAT5	PLPP4	9606.ENSP00000285518	9606.ENSP00000381302	0	0	0	0	0	0.065	0.914	0	0.916
AGPAT5	MBOAT2	9606.ENSP00000285518	9606.ENSP00000302177	0	0	0	0	0.091	0.169	0.900	0	0.917
AHCYL1	AHCYL2	9606.ENSP00000358814	9606.ENSP00000315931	0	0	0	0.984	0.060	0.651	0.900	0	0.964
AHCYL1	KYAT1	9606.ENSP00000358814	9606.ENSP00000399415	0	0	0	0	0.062	0	0.900	0	0.902
AHCYL2	KYAT1	9606.ENSP00000315931	9606.ENSP00000399415	0	0	0	0	0.067	0	0.900	0	0.902
AK3	RRM2B	9606.ENSP00000371230	9606.ENSP00000251810	0	0	0	0	0.066	0	0.925	0	0.927
AK3	NT5E	9606.ENSP00000371230	9606.ENSP00000257770	0	0	0	0	0.042	0	0.900	0	0.900
AKR1C3	CBR1	9606.ENSP00000369927	9606.ENSP00000290349	0	0	0	0	0.142	0.045	0.905	0	0.916
AKR1C3	PTGDS	9606.ENSP00000369927	9606.ENSP00000360687	0	0	0	0	0.067	0.055	0.900	0	0.904
AKR1C3	HSD17B8	9606.ENSP00000369927	9606.ENSP00000363794	0	0	0	0	0.104	0.045	0.905	0	0.912
AKR1C3	CYP1B1	9606.ENSP00000369927	9606.ENSP00000478561	0	0	0	0	0.073	0.045	0.900	0	0.903
AKT2	MAPK1	9606.ENSP00000375892	9606.ENSP00000215832	0	0	0	0.592	0.083	0.110	0.900	0	0.911
AKT2	MAPK3	9606.ENSP00000375892	9606.ENSP00000263025	0	0	0	0.587	0.062	0.110	0.900	0	0.909
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.042	0.098	0.900	0	0.906
AKT2	TSC1	9606.ENSP00000375892	9606.ENSP00000298552	0	0	0	0	0.054	0.136	0.900	0	0.911
AKT2	MAP3K5	9606.ENSP00000375892	9606.ENSP00000351908	0	0	0	0.610	0	0.071	0.900	0	0.903
AKT2	PIK3R1	9606.ENSP00000375892	9606.ENSP00000428056	0	0	0	0	0.066	0.093	0.900	0	0.907
ALDH2	CNDP2	9606.ENSP00000261733	9606.ENSP00000325548	0	0	0	0	0.058	0	0.900	0	0.901
ALDH2	GATM	9606.ENSP00000261733	9606.ENSP00000379895	0	0	0	0	0.139	0.053	0.905	0	0.916
ALDH2	ALDH6A1	9606.ENSP00000261733	9606.ENSP00000450436	0	0	0	0.734	0.112	0.465	0.900	0	0.948
ALDH2	MAOB	9606.ENSP00000261733	9606.ENSP00000367309	0	0	0	0	0.101	0	0.918	0	0.923
ALDH2	MAOA	9606.ENSP00000261733	9606.ENSP00000340684	0	0	0	0	0.084	0	0.918	0	0.922
ALDH6A1	ALDH9A1	9606.ENSP00000450436	9606.ENSP00000346827	0	0	0	0.758	0.110	0.114	0.900	0	0.914
ALDH6A1	ECHDC1	9606.ENSP00000450436	9606.ENSP00000436585	0	0	0	0	0.146	0.127	0.900	0	0.918
ALDH9A1	CNDP2	9606.ENSP00000346827	9606.ENSP00000325548	0	0	0	0	0.085	0	0.900	0	0.904
ALDH9A1	MAOA	9606.ENSP00000346827	9606.ENSP00000340684	0	0	0	0	0.057	0	0.918	0	0.919
ALDH9A1	GATM	9606.ENSP00000346827	9606.ENSP00000379895	0	0	0	0	0.100	0.053	0.905	0	0.912
ALDH9A1	MAOB	9606.ENSP00000346827	9606.ENSP00000367309	0	0	0	0	0.063	0	0.918	0	0.920
ALDOC	TKT	9606.ENSP00000378731	9606.ENSP00000391481	0	0	0	0	0.089	0.091	0.932	0	0.939
ALDOC	PFKM	9606.ENSP00000378731	9606.ENSP00000496597	0	0	0	0	0.132	0	0.932	0	0.938
ALDOC	GAPDH	9606.ENSP00000378731	9606.ENSP00000380070	0	0	0	0	0.279	0.091	0.938	0	0.956
ANK2	ITPR2	9606.ENSP00000349588	9606.ENSP00000370744	0	0	0	0	0.042	0.085	0.900	0	0.904
ANK2	CD44	9606.ENSP00000349588	9606.ENSP00000398632	0	0	0	0	0	0	0.900	0	0.900
AP2A1	NCALD	9606.ENSP00000351926	9606.ENSP00000379256	0	0	0	0	0	0	0.900	0	0.900
AP2A1	EPS15	9606.ENSP00000351926	9606.ENSP00000360798	0	0	0	0	0.067	0.879	0.540	0	0.943
AP2A1	AP2S1	9606.ENSP00000351926	9606.ENSP00000470176	0	0	0	0	0.248	0.992	0.900	0	0.999
AP2A1	AP2M1	9606.ENSP00000351926	9606.ENSP00000403362	0	0	0	0	0.570	0.988	0.900	0	0.999
AP2M1	EPS15	9606.ENSP00000403362	9606.ENSP00000360798	0	0	0	0	0.057	0.830	0.540	0	0.920
AP2M1	NCALD	9606.ENSP00000403362	9606.ENSP00000379256	0	0	0	0	0.056	0	0.900	0	0.901
AP2M1	AP2S1	9606.ENSP00000403362	9606.ENSP00000470176	0	0	0	0	0.498	0.997	0.900	0	0.999
AP2S1	EPS15	9606.ENSP00000470176	9606.ENSP00000360798	0	0	0	0	0.049	0.821	0.540	0	0.915
AP2S1	NCALD	9606.ENSP00000470176	9606.ENSP00000379256	0	0	0	0	0.055	0	0.900	0	0.901
APOE	LRP1	9606.ENSP00000252486	9606.ENSP00000243077	0	0	0	0	0.086	0.722	0.900	0	0.972
APOE	DBI	9606.ENSP00000252486	9606.ENSP00000486361	0	0	0	0	0.067	0	0.900	0	0.902
ARHGEF26	RHOG	9606.ENSP00000348828	9606.ENSP00000339467	0	0	0	0	0	0	0.900	0	0.900
ARHGEF6	MRAS	9606.ENSP00000250617	9606.ENSP00000289104	0	0	0	0	0	0.053	0.900	0	0.901
