#node	identifier	x_position	y_position	color	annotation
ABAT	9606.ENSP00000379845	0.8224666935809448	0.5647313691507799	rgb(255,0,0)	4-aminobutyrate aminotransferase, mitochondrial; Catalyzes the conversion of gamma-aminobutyrate and L-beta- aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.
ABCC3	9606.ENSP00000285238	0.691299959628583	0.1623050259965338	rgb(255,175,101)	Canalicular multispecific organic anion transporter 2; May act as an inducible transporter in the biliary and intestinal excretion of organic anions. Acts as an alternative route for the export of bile acids and glucuronides from cholestatic hepatocytes (By similarity).
ABHD14B	9606.ENSP00000420065	0.17753330641905535	0.8501733102253034	rgb(178,171,0)	Protein ABHD14B; Has hydrolase activity towards p-nitrophenyl butyrate (in vitro). May activate transcription.
ABI1	9606.ENSP00000365312	0.3094267258780783	0.7214904679376084	rgb(187,255,101)	Abl interactor 1; May act in negative regulation of cell growth and transformation by interacting with nonreceptor tyrosine kinases ABL1 and/or ABL2. May play a role in regulation of EGF-induced Erk pathway activation. Involved in cytoskeletal reorganization and EGFR signaling. Together with EPS8 participates in transduction of signals from Ras to Rac. In vitro, a trimeric complex of ABI1, EPS8 and SOS1 exhibits Rac specific guanine nucleotide exchange factor (GEF) activity and ABI1 seems to act as an adapter in the complex. Regulates ABL1/c-Abl- mediated phosphorylation of ENAH. Recru [...] 
ABLIM1	9606.ENSP00000277895	0.15718611223253937	0.45164644714038127	rgb(14,178,0)	Actin-binding LIM protein 1; May act as scaffold protein (By similarity). May play a role in the development of the retina. Has been suggested to play a role in axon guidance.
ABR	9606.ENSP00000303909	0.18770690351231328	0.15138648180242634	rgb(101,255,163)	Active breakpoint cluster region-related protein; Protein with a unique structure having two opposing regulatory activities toward small GTP-binding proteins. The C-terminus is a GTPase-activating protein domain which stimulates GTP hydrolysis by RAC1, RAC2 and CDC42. Accelerates the intrinsic rate of GTP hydrolysis of RAC1 or CDC42, leading to down-regulation of the active GTP-bound form. The central Dbl homology (DH) domain functions as guanine nucleotide exchange factor (GEF) that modulates the GTPases CDC42, RHOA and RAC1. Promotes the conversion of CDC42, RHOA and RAC1 from the GD [...] 
ACADS	9606.ENSP00000242592	0.7537949132014534	0.48401213171577123	rgb(0,178,157)	Short-chain specific acyl-CoA dehydrogenase, mitochondrial; Short-chain specific acyl-CoA dehydrogenase is one of the acyl-CoA dehydrogenases that catalyze the first step of mitochondrial fatty acid beta-oxidation, an aerobic process breaking down fatty acids into acetyl-CoA and allowing the production of energy from fats (By similarity). The first step of fatty acid beta-oxidation consists in the removal of one hydrogen from C-2 and C-3 of the straight-chain fatty acyl-CoA thioester, resulting in the formation of trans-2-enoyl- CoA (By similarity). Among the different mitochondrial ac [...] 
ACAN	9606.ENSP00000387356	0.24366168752523215	0.17634315424610053	rgb(101,199,255)	Aggrecan core protein 2; This proteoglycan is a major component of extracellular matrix of cartilagenous tissues. A major function of this protein is to resist compression in cartilage. It binds avidly to hyaluronic acid via an N-terminal globular region.
ACSBG1	9606.ENSP00000258873	0.4522204279370206	0.7082322357019065	rgb(0,28,178)	Long-chain-fatty-acid--CoA ligase ACSBG1; Catalyzes the conversion of fatty acids such as long-chain and very long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation. Can activate diverse saturated, monosaturated and polyunsaturated fatty acids ; Belongs to the ATP-dependent AMP-binding enzyme family. Bubblegum subfamily.
ACSF2	9606.ENSP00000401831	0.08597093257973355	0.6481802426343155	rgb(150,101,255)	Medium-chain acyl-CoA ligase ACSF2, mitochondrial; Acyl-CoA synthases catalyze the initial reaction in fatty acid metabolism, by forming a thioester with CoA. Has some preference toward medium-chain substrates. Plays a role in adipocyte differentiation.
ACSS3	9606.ENSP00000449535	0.7777755349212757	0.46802426343154246	rgb(239,117,117)	Acyl-CoA synthetase short-chain family member 3, mitochondrial; Catalyzes the synthesis of acetyl-CoA from short-chain fatty acids. Propionate is the preferred substrate. Can utilize acetate and butyrate with a much lower affinity (By similarity); Belongs to the ATP-dependent AMP-binding enzyme family.
ACY1	9606.ENSP00000384296	0.7879491320145338	0.8337954939341422	rgb(239,118,117)	Aminoacylase-1; Involved in the hydrolysis of N-acylated or N-acetylated amino acids (except L-aspartate); Belongs to the peptidase M20A family.
ACYP2	9606.ENSP00000475986	0.7792289059345984	0.6470103986135182	rgb(239,119,117)	Acylphosphatase-2; Its physiological role is not yet clear.
ADCYAP1R1	9606.ENSP00000483721	0.48383124747678646	0.1623050259965338	rgb(239,120,117)	Pituitary adenylate cyclase-activating polypeptide type I receptor; This is a receptor for PACAP-27 and PACAP-38. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. May regulate the release of adrenocorticotropin, luteinizing hormone, growth hormone, prolactin, epinephrine, and catecholamine. May play a role in spermatogenesis and sperm motility. Causes smooth muscle relaxation and secretion in the gastrointestinal tract.
ADD1	9606.ENSP00000264758	0.43768671780379487	0.6099653379549393	rgb(239,121,117)	Alpha-adducin; Membrane-cytoskeleton-associated protein that promotes the assembly of the spectrin-actin network. Binds to calmodulin.
ADD3	9606.ENSP00000348381	0.39626564392410174	0.6165944540727903	rgb(239,122,117)	Gamma-adducin; Membrane-cytoskeleton-associated protein that promotes the assembly of the spectrin-actin network. Plays a role in actin filament capping. Binds to calmodulin. Belongs to the aldolase class II family. Adducin subfamily.
ADGRG1	9606.ENSP00000455215	0.471114251110214	0.18024263431542464	rgb(239,122,117)	Adhesion G-protein coupled receptor G1; Receptor involved in cell adhesion and probably in cell-cell interactions. Mediates cell matrix adhesion in developing neurons and hematopoietic stem cells. Receptor for collagen III/COL3A1 in the developing brain and involved in regulation of cortical development, specifically in maintenance of the pial basement membrane integrity and in cortical lamination (By similarity). Binding to the COL3A1 ligand inhibits neuronal migration and activates the RhoA pathway by coupling to GNA13 and possibly GNA12. Plays a role in the maintenance of hematopoie [...] 
ADGRL3	9606.ENSP00000422533	0.5150787242632217	0.25160311958405546	rgb(239,123,117)	Adhesion G protein-coupled receptor L3; Plays a role in cell-cell adhesion and neuron guidance via its interactions with FLRT2 and FLRT3 that are expressed at the surface of adjacent cells. Plays a role in the development of glutamatergic synapses in the cortex. Important in determining the connectivity rates between the principal neurons in the cortex. Belongs to the G-protein coupled receptor 2 family. LN-TM7 subfamily.
AGPAT3	9606.ENSP00000291572	0.6709527654420671	0.23717504332755635	rgb(239,124,117)	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma; Converts 1-acyl-sn-glycerol-3-phosphate (lysophosphatidic acid or LPA) into 1,2-diacyl-sn-glycerol-3-phosphate (phosphatidic acid or PA) by incorporating an acyl moiety at the sn-2 position of the glycerol backbone. Acts on LPA containing saturated or unsaturated fatty acids C16:0-C20:4 at the sn-1 position using C18:1, C20:4 or C18:2-CoA as the acyl donor. Also acts on lysophosphatidylcholine, lysophosphatidylinositol and lysophosphatidylserine using C18:1 or C20:4-CoA. Has a preference for arachidonoyl-CoA as a donor (By similarit [...] 
AGPAT5	9606.ENSP00000285518	0.7200040371417037	0.22001733102253035	rgb(239,125,117)	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon; Converts 1-acyl-sn-glycerol-3-phosphate (lysophosphatidic acid or LPA) into 1,2-diacyl-sn-glycerol-3-phosphate (phosphatidic acid or PA) by incorporating an acyl moiety at the sn-2 position of the glycerol backbone. Acts on LPA containing saturated or unsaturated fatty acids C15:0-C20:4 at the sn-1 position using C18:1-CoA as the acyl donor. Also acts on lysophosphatidylethanolamine using oleoyl-CoA, but not arachidonoyl- CoA, and lysophosphatidylinositol using arachidonoyl-CoA, but not oleoyl-CoA. Activity toward lysophosphatidyl [...] 
AHCYL1	9606.ENSP00000358814	0.3250504642712959	0.22274696707105718	rgb(239,126,117)	S-adenosylhomocysteine hydrolase-like protein 1; Multifaceted cellular regulator which coordinates several essential cellular functions including regulation of epithelial HCO3(-) and fluid secretion, mRNA processing and DNA replication. Regulates ITPR1 sensitivity to inositol 1,4,5-trisphosphate competing for the common binding site and acting as endogenous 'pseudoligand' whose inhibitory activity can be modulated by its phosphorylation status. In the pancreatic and salivary ducts, at resting state, attenuates inositol 1,4,5-trisphosphate-induced calcium release by interacting with ITP [...] 
